freq,longitude,latitude,story_ids,story_place
1,9.4116545,55.04862654,26716,"26716=>Åbenrå (1)"
5,9.74794645,57.16692875,"21552 21648 26383 25918 21767","21552=>Åby (3)<br>21648=>Åby (3)<br>26383=>Åby (3)<br>25918=>Birkelse (4667)<br>21767=>Rævkjærgård (2632)"
1,9.78313657,57.40131627,21552,"21552=>Lyngby (747)"
1,9.29617367,57.09917817,21589,"21589=>Ågård (7)"
2,8.41671166,56.73685182,"21589 21797","21589=>Tyholm (2516)<br>21797=>Tyholm (2516)"
4,9.12743054,55.13081541,"26294 26245 26246 26285","26294=>Agerskov (12)<br>26245=>Gestrup (4426)<br>26246=>Gestrup (4426)<br>26285=>Gjestruplund (4427)"
1,8.24072529,56.77887529,21531,"21531=>Agger (14)"
1,9.93214951,57.04020941,25049,"25049=>Ålborg (27)"
3,8.77858359,55.33618399,"25049 25925 26705","25049=>Ribe (945)<br>25925=>Ribe herred (944)<br>26705=>Ribe herred (944)"
4,9.37836463,56.45780394,"25049 21770 26272 26708","25049=>Viborg (2887)<br>21770=>Viborg (2887)<br>26272=>Viborg (2887)<br>26708=>Viborg (2887)"
1,8.70673568,56.32170455,25049,"25049=>Tvis (4060)"
1,9.8414759,54.96362819,24982,"24982=>Als (39)"
1,8.41666096,55.5895359,21769,"21769=>Alslev (41)"
1,8.4446389,55.90317791,21769,"21769=>Lønborg (4188)"
3,10.64140852,55.86326329,"25066 24981","25066=>Alstrup (43)<br>25066=>Østerby (881)<br>24981=>Besser (1583)"
10,10.55290497,55.96474501,"25066 21596 24969 24970 24973 24978 25064 25065 25970 26231","25066=>Nordby (825)<br>21596=>Nordby (825)<br>24969=>Nordby (825)<br>24970=>Nordby (825)<br>24973=>Nordby (825)<br>24978=>Nordby (825)<br>25064=>Nordby (825)<br>25065=>Nordby (825)<br>25970=>Nordby (825)<br>26231=>Nordby (825)"
3,9.26398226,56.70269291,"21744 21784 21752","21744=>Alstrup (45)<br>21784=>Alstrup (45)<br>21752=>Hestbæk (456)"
5,9.28273477,56.72716896,"21784 21498 26317 21415 21785","21784=>Ullits (2818)<br>21498=>Ullits (2818)<br>26317=>Søkbæk (2817)<br>21415=>Ullits (2818)<br>21785=>Ullits (2818)"
1,10.087681,56.356834,26305,"26305=>Alstrup (46)"
1,10.08609309,56.38771491,26305,"26305=>Ginderup (345)"
4,9.74889991,56.8216214,"21452 21747 21446 21792","21452=>Årestrup (54)<br>21747=>Torstedlund (2700)<br>21446=>Ersted (2697)<br>21792=>Torstedlund (2700)"
2,10.19506313,56.16685115,"25004 25918","25004=>Århus (55)<br>25918=>Århus (55)"
3,9.85763259,57.11839779,"25918 21504","25918=>Rødslet (2620)<br>25918=>Vadum (2621)<br>21504=>Rødslet (2620)"
1,9.90594911,55.480346,21565,"21565=>Asperup (74)"
1,9.97344,55.76938,21495,"21495=>Åstrup (99)"
1,8.794384,56.265473,26252,"26252=>Avlum (107)"
1,9.38319082,55.70244629,21502,"21502=>Balle (113)"
2,9.64459232,55.79600588,"26238 26319","26238=>Båstrup (118)<br>26319=>Øster-Snede (880)"
3,10.57176875,55.84903122,"26230 24975","26230=>Bisgård (129)<br>26230=>Vadstrup (1582)<br>24975=>Onsbjærg (1576)"
7,10.59139922,55.83257606,"26230 26233 24978 24974 26229 26234","26230=>Pilemark (4613)<br>26233=>Brundby (4610)<br>26233=>Pilemark (4613)<br>24978=>Brundby (4610)<br>24974=>Ørby (4612)<br>26229=>Ørby (4612)<br>26234=>Pilemark (4613)"
2,10.03387302,57.51267197,"21731 26302","21731=>Bjærgby (131)<br>26302=>Snævre (2249)"
1,9.982402,57.462549,21731,"21731=>Bagterp (2233)"
6,10.11557169,57.38471485,"25051 26685 25043 26300","25051=>Boller (156)<br>25051=>Hvidstedgård (2304)<br>25051=>Tidemandsholm (2311)<br>26685=>Tårs (1166)<br>25043=>Sæsing (2307)<br>26300=>Sæsing (2307)"
1,9.463359,56.275297,25233,"25233=>Dalsgård (221)"
5,10.28792117,57.15748006,"25147 25148 26314","25147=>Dronninglund (242)<br>25147=>Dronninglund storskov (2289)<br>25148=>Dronninglund (242)<br>25148=>Dronninglund storskov (2289)<br>26314=>Dronninglund (242)"
1,10.35104153,57.24032431,26314,"26314=>Voer (2285)"
3,9.11742998,55.5219207,"26243 25191","26243=>Drostrup (243)<br>26243=>Læborg (4339)<br>25191=>Læborg (4339)"
1,8.810434,56.6441,26263,"26263=>Ejstrup (270)"
1,9.292717,55.984939,26610,"26610=>Ejstrup (272)"
1,10.22297261,56.24079763,25056,"25056=>Elsted (275)"
1,9.58719864,56.45039719,21708,"21708=>Fårdal (287)"
1,10.28306119,56.4446316,21457,"21457=>Favsing (298)"
1,9.28827377,56.41466039,26709,"26709=>Finderup (304)"
1,10.50362009,57.45082532,25917,"25917=>Flade (310)"
2,9.27023832,56.73474316,21498,"21498=>Fovlum (316)<br>21498=>Stistrup (2819)"
1,9.33595226,56.77379815,21498,"21498=>Fandrup (2841)"
1,9.616642,56.613601,21522,"21522=>Fristrup (321)"
1,10.271326,56.790397,26227,"26227=>Fruerlund (328)"
3,10.12013506,57.06520776,"26225 26226 26310","26225=>Gandrup (336)<br>26226=>Vester-Hassing (2646)<br>26310=>Vester-Hassing (2646)"
1,9.73981585,56.22900602,21665,"21665=>Gjern (350)"
3,10.43087602,56.45704946,26321,"26321=>Gjesing (351)<br>26321=>Løvenholm (3367)<br>26321=>Løvenholms skov (3368)"
1,8.92627143,55.75784153,26255,"26255=>Grindsted (366)"
1,9.61833913,56.27388691,21560,"21560=>Grønbæk (367)"
4,10.00262436,57.36224501,"25071 26221 26284","25071=>Guldager (372)<br>25071=>Høgsted (2313)<br>26221=>Guldager (372)<br>26284=>Guldager (372)"
2,9.76257845,56.36791677,"21464 21604","21464=>Hagenstrup mølle (383)<br>21604=>Hvorslev (3227)"
1,10.09670998,55.5001816,26249,"26249=>Hårslev (408)"
5,9.68866011,56.1539,"26273 21696 21475 21686 25062","26273=>Hårup (410)<br>21696=>Linå (702)<br>21475=>Mollerup (791)<br>21686=>Mollerup (791)<br>25062=>Mollerup (791)"
1,9.5470055,56.16936133,26273,"26273=>Silkeborg skov (3602)"
1,9.22969026,56.90156343,21752,"21752=>Randum (2855)"
1,8.73479715,57.01500974,21640,"21640=>Hillerslev (459)"
1,8.747864,55.149745,26574,"26574=>Hjemsted (465)"
2,10.60044103,55.21933629,21435,"21435=>Holme (498)<br>21435=>Gislev (2106)"
2,10.17886939,56.11241107,26291,"26291=>Holme (500)<br>26291=>Skåde (1032)"
6,9.65366138,55.88982838,"21417 21630 21677 21441 21561 25149","21417=>Hornum (522)<br>21630=>Hornum (522)<br>21677=>Hornum (522)<br>21441=>Rask (3746)<br>21561=>Rask (3746)<br>25149=>Trebjærg (3750)"
1,10.76863181,56.28251394,25912,"25912=>Hyllested (569)"
1,9.523129,56.4897,21620,"21620=>Ingstrup (577)"
2,9.01342881,56.66903046,"21739 21682","21739=>Jebjærg (581)<br>21682=>Ilbjærg (2909)"
1,8.9884204,56.70460706,21739,"21739=>Roslev (2953)"
1,12.16277647,55.00013266,21429,"21429=>Kalvhave (591)"
1,9.58826623,55.84747798,25058,"25058=>Kalvhave (593)"
3,9.66958207,57.21084237,"21504 21767","21504=>Kås (602)<br>21504=>Lundergård (2377)<br>21767=>Bedholm (2374)"
1,9.04102754,56.78036175,21668,"21668=>Kjeldgård (630)"
1,10.16468114,56.36638954,21592,"21592=>Klavsholm (641)"
2,10.55570458,55.7971772,"25154 26233","25154=>Kolby (655)<br>26233=>Kolby (655)"
5,9.40914342,56.19449478,"21580 21603 25924 26500 26673","21580=>Kragelund (666)<br>21603=>Kragelund (666)<br>25924=>Kragelund (666)<br>26500=>Kragelund (666)<br>26673=>Kragelund (666)"
2,10.0483414,56.4586074,"21603 21444","21603=>Randers (923)<br>21444=>Randers (923)"
1,10.135746,56.333812,21685,"21685=>Langskov (688)"
