freq,longitude,latitude,story_ids,story_place
3,9.4116545,55.04862654,"29413 29462 29675","29413=>Åbenrå (1)<br>29462=>Åbenrå (1)<br>29675=>Åbenrå (1)"
12,8.77858359,55.33618399,"29413 29431 23387 23481 23605 29308 29424 29426 29613 29647 29756 29631","29413=>Ribe (945)<br>29431=>Ribe (945)<br>23387=>Ribe (945)<br>23481=>Ribe (945)<br>23605=>Ribe (945)<br>29308=>Ribe (945)<br>29424=>Ribe (945)<br>29426=>Ribe (945)<br>29613=>Ribe (945)<br>29647=>Ribe (945)<br>29756=>Ribe (945)<br>29631=>Øster-Vedsted (4352)"
2,9.18041262,56.11327889,"29413 29301","29413=>Toftlund (4418)<br>29301=>Toftlund (4418)"
1,9.40756732,54.98983283,29462,"29462=>Stybbæk (4521)"
3,9.74794645,57.16692875,"29617 23824","29617=>Åby (3)<br>29617=>Birkelse (4667)<br>23824=>Ry å (980)"
1,9.05474062,56.1479359,23365,"23365=>Agerskov (11)"
1,9.12743054,55.13081541,29754,"29754=>Agerskov (12)"
3,9.27989612,56.14515128,"23238 23260 23399","23238=>Agerskov (13)<br>23260=>Agerskov (13)<br>23399=>Bording (161)"
1,9.17347087,56.31082534,23260,"23260=>Bøgelund (152)"
8,9.86197942,55.85797729,"23260 29484 29741 23536 29398 29412 29452 29672","23260=>Horsens (525)<br>29484=>Horsens (525)<br>29741=>Horsens (525)<br>23536=>Horsens (525)<br>29398=>Horsens (525)<br>29412=>Horsens (525)<br>29452=>Horsens (525)<br>29672=>Horsens (525)"
1,9.619828,56.275047,23260,"23260=>Iller (574)"
13,8.25410165,56.08699748,"23260 23259 23371 23388 23524 23947 23973 23997 29510 29535 29536 29648 29650","23260=>Ringkjøbing (949)<br>23259=>Ringkjøbing (949)<br>23371=>Ringkjøbing (949)<br>23388=>Ringkjøbing (949)<br>23524=>Ringkjøbing (949)<br>23947=>Ringkjøbing (949)<br>23973=>Ringkjøbing (949)<br>23997=>Ringkjøbing (949)<br>29510=>Ringkjøbing (949)<br>29535=>Ringkjøbing (949)<br>29536=>Ringkjøbing (949)<br>29648=>Ringkjøbing (949)<br>29650=>Ringkjøbing (949)"
1,9.5470055,56.16936133,23260,"23260=>Silkeborg (1017)"
2,9.61833913,56.27388691,"23260 23261","23260=>Ans (3177)<br>23261=>Ans (3177)"
1,9.43240349,56.25517925,23260,"23260=>Vinderslevgård (3185)"
5,8.61016464,56.36097923,"23260 23563 23259 23378 29699","23260=>Holstebro (3961)<br>23563=>Holstebro (3961)<br>23259=>Holstebro (3961)<br>23378=>Holstebro (3961)<br>29699=>Holstebro (3961)"
1,9.01802188,56.20596981,23260,"23260=>Ildsgård (4071)"
2,8.702898,56.08892904,"23260 23336","23260=>Vorgod (4153)<br>23336=>Fjelstervang (4151)"
13,8.24072529,56.77887529,"23310 23470 23957 23958 23959 23960 29654 23961 23962 23963 23965 29340","23310=>Agger (14)<br>23470=>Agger (14)<br>23957=>Agger (14)<br>23958=>Agger (14)<br>23959=>Agger (14)<br>23960=>Agger (14)<br>23960=>Tyborøn (1262)<br>29654=>Agger (14)<br>23961=>Tyborøn (1262)<br>23962=>Tyborøn (1262)<br>23963=>Tyborøn (1262)<br>23965=>Tyborøn (1262)<br>29340=>Tyborøn (1262)"
1,9.71390405,57.06848707,23310,"23310=>Gjøl (2384)"
4,8.31670931,56.75720487,"23470 23960 23800 29643","23470=>Vestervig (2520)<br>23960=>Vestervig (2520)<br>23800=>Randrup (924)<br>29643=>Vestervig kloster (2521)"
22,8.17369803,56.62066705,"23470 23957 23958 23959 23308 29643 29340 23296 23297 23299 23304 23936 23967 23968 23982 23990 23991 29381 29653 23956","23470=>Harboøre (3991)<br>23957=>Flyvholm (3990)<br>23957=>Nørre-Langer (3994)<br>23958=>Nørre-Langer (3994)<br>23959=>Harboøre (3991)<br>23959=>Nørre-Langer (3994)<br>23308=>Harboøre (3991)<br>29643=>Harboøre (3991)<br>29340=>Harboøre (3991)<br>23296=>Harboøre (3991)<br>23297=>Harboøre (3991)<br>23299=>Harboøre (3991)<br>23304=>Harboøre (3991)<br>23936=>Harboøre (3991)<br>23967=>Harboøre (3991)<br>23968=>Harboøre (3991)<br>23982=>Harboøre (3991)<br>23990=>Harboøre (3991)<br>23991=>Harboøre (3991)<br>29381=>Harboøre (3991)<br>29653=>Harboøre (3991)<br>23956=>Nørre-Langer (3994)"
4,8.41671166,56.73685182,"23959 29643 29326 29757","23959=>Tyholm (2516)<br>29643=>Tyholm (2516)<br>29326=>Tyholm (2516)<br>29757=>Tyholm (2516)"
2,10.14363148,56.67328465,23619,"23619=>Ajstrup (18)<br>23619=>Norup (839)"
5,9.93214951,57.04020941,"23219 23309 29335 29343 29538","23219=>Ålborg (27)<br>23309=>Ålborg (27)<br>29335=>Ålborg (27)<br>29343=>Ålborg (27)<br>29538=>Ålborg (27)"
