freq,longitude,latitude,story_ids,story_place
2,9.74794645,57.16692875,"22900 22949","22900=>Åby (3)<br>22949=>Åby (3)"
3,9.12743054,55.13081541,"29245 29255 29256","29245=>Agerskov (12)<br>29255=>Agerskov (12)<br>29256=>Agerskov (12)"
2,8.24072529,56.77887529,"22975 29123","22975=>Agger (14)<br>29123=>Agger (14)"
1,8.63217387,55.46388899,29090,"29090=>Allerup (33)"
2,10.28886161,56.75487617,"23023 29055","23023=>Als (38)<br>29055=>Als (38)"
3,10.19194129,56.76065659,"29055 29290","29055=>Skelum (2753)<br>29055=>Veddum (2754)<br>29290=>Skelum (2753)"
2,9.8414759,54.96362819,"29226 29254","29226=>Als (39)<br>29254=>Als (39)"
3,12.62629466,55.62123328,"29238 29261 29273","29238=>Amager (47)<br>29261=>Amager (47)<br>29273=>Amager (47)"
1,9.23692909,55.48401691,28928,"28928=>Andst (53)"
1,8.66601797,55.57442035,29082,"29082=>Årre (57)"
1,10.00194886,55.89344365,22752,"22752=>Ås (66)"
1,11.4970398,55.81491731,22795,"22795=>Asnæs (71)"
2,9.90594911,55.480346,"22815 22816","22815=>Asperup (74)<br>22816=>Båring (115)"
1,10.12307693,56.44894159,22762,"22762=>Assentoft (79)"
1,10.31384379,57.48321395,28959,"28959=>Åsted (80)"
2,10.88655,56.428273,"22807 22854","22807=>Åstrup (101)<br>22854=>Åstrup (101)"
1,10.19922035,57.5422646,23050,"23050=>Bindslev (127)"
1,8.73114513,56.8682726,22892,"22892=>Bjærgby (132)"
1,8.15001308,55.96646108,22837,"22837=>Bjærggård (142)"
1,12.44955107,54.99609429,22858,"22858=>Borre (166)"
1,10.37665808,56.33447364,22927,"22927=>Borup (175)"
2,9.507208,56.363111,"22725 22744","22725=>Brandstrup (187)<br>22744=>Brandstrup (187)"
1,11.700954,54.715152,29200,"29200=>Brejning (197)"
2,10.22994745,56.60811234,"23141 22739","23141=>Demstrup (226)<br>22739=>Råby (917)"
14,10.18655208,56.57922546,"23141 22739 22788 22789 22796 22798 22803 22805 22806 22830 22906 22923 22958 23018","23141=>Tørring (1217)<br>22739=>Øster-Tørslev (3270)<br>22788=>Tørring (1217)<br>22789=>Tørring (1217)<br>22796=>Tørring (1217)<br>22798=>Tørring (1217)<br>22803=>Tørring (1217)<br>22805=>Tørring (1217)<br>22806=>Tørring (1217)<br>22830=>Tørring (1217)<br>22906=>Tørring (1217)<br>22923=>Tørring (1217)<br>22958=>Tørring (1217)<br>23018=>Tørring (1217)"
1,8.80624546,55.11730256,22859,"22859=>Døstrup (231)"
1,10.70248201,56.22370281,29288,"29288=>Dråby (234)"
8,10.28306119,56.4446316,"22726 22794 22817 22829 22921 22947 22994","22726=>Drammelstrup (235)<br>22726=>Favsing (298)<br>22794=>Favsing (298)<br>22817=>Favsing (298)<br>22829=>Favsing (298)<br>22921=>Favsing (298)<br>22947=>Favsing (298)<br>22994=>Favsing (298)"
1,11.87018356,55.14565068,28940,"28940=>Fårup (292)"
1,8.78632945,56.59122572,28940,"28940=>Hostrup (531)"
2,10.069656,56.2089,"22875 29161","22875=>Fårup (296)<br>29161=>Fårup (296)"
1,9.99211737,56.4052325,22875,"22875=>Værum (3316)"
1,9.940009,56.625619,28882,"28882=>Fjelsted (308)"
1,10.15333015,56.64244951,28882,"28882=>Kastbjærg (605)"
2,9.9843203,56.65025328,"28882 22990","28882=>Mariager (768)<br>22990=>Mariager (768)"
1,8.79464452,56.88904662,23101,"23101=>Flade (311)"
2,8.9366792,55.45078486,"28986 29020","28986=>Fovling (315)<br>29020=>Fovling (315)"
3,9.11742998,55.5219207,"22761 22944 23123","22761=>Gammelby (335)<br>22944=>Gammelby (335)<br>23123=>Læborg (4339)"
1,9.70370454,55.63840667,29239,"29239=>Gårslev (339)"
6,8.48301381,55.6233681,"22931 22952 23000 29117 29211 29230","22931=>Gjellerup (349)<br>22952=>Gjellerup (349)<br>23000=>Gjellerup (349)<br>29117=>Gjellerup (349)<br>29211=>Gjellerup (349)<br>29230=>Varde (1293)"
11,8.49162946,55.80164939,"22952 29230 22963 22742 22791 22889 22894 22930 22983 22993 23020","22952=>Lyne (4193)<br>29230=>Lyne (4193)<br>22963=>Lyne (4193)<br>22742=>Lyne (4193)<br>22791=>Lyne (4193)<br>22889=>Lyne (4193)<br>22894=>Lyne (4193)<br>22930=>Lyne (4193)<br>22983=>Lyne (4193)<br>22993=>Lyne (4193)<br>23020=>Lyne (4193)"
2,10.89117652,56.40594271,"23124 28919","23124=>Grenå (364)<br>28919=>Grenå (364)"
2,8.92627143,55.75784153,"29095 28931","29095=>Grindsted (366)<br>28931=>Udtoft (4283)"
1,10.010862,56.940995,22770,"22770=>Gunderup (376)"
1,9.88182547,56.11098135,22928,"22928=>Hårby (401)"
1,9.99088175,56.05949507,22928,"22928=>Stilling (3573)"
1,9.76258507,55.85186739,22786,"22786=>Hatting (418)"
2,9.73267011,56.02420768,22840,"22840=>Hem (445)<br>22840=>Dørup (3658)"
2,8.73479715,57.01500974,"22735 22995","22735=>Hillerslev (459)<br>22995=>Hillerslev (459)"
1,9.54388431,56.3380454,29098,"29098=>Højbjærg (478)"
2,9.43240349,56.25517925,"29098 29164","29098=>Vinderslev (3184)<br>29164=>Vinderslev (3184)"
1,8.700485,54.963031,29024,"29024=>Højer egn (484)"
1,8.99217015,55.22956772,29097,"29097=>Højrup (491)"
7,10.30030868,56.55153665,"29103 28948 28978 29034 29104 29113","29103=>Holbæk (496)<br>29103=>Holbækgård (3343)<br>28948=>Kare (3340)<br>28978=>Kare (3340)<br>29034=>Kare (3340)<br>29104=>Kare (3340)<br>29113=>Kare (3340)"
1,11.706104,55.737404,22980,"22980=>Hørby (507)"
8,9.65366138,55.88982838,"22755 22778 22800 22801 22809 22823 23088 22973","22755=>Hornum (522)<br>22778=>Hornum (522)<br>22800=>Hornum (522)<br>22801=>Hornum (522)<br>22809=>Hornum (522)<br>22823=>Hornum (522)<br>23088=>Hornum (522)<br>22973=>Rask mølle (3747)"
1,9.86197942,55.85797729,29071,"29071=>Horsens egn (523)"
1,9.87059793,56.34485987,29067,"29067=>Hovlbjærg (541)"
1,9.872761,56.344184,29067,"29067=>Hovlbjærg (542)"
1,10.76863181,56.28251394,28943,"28943=>Hyllested (569)"
1,12.16277647,55.00013266,22913,"22913=>Kalvhave (591)"
1,10.26879621,56.35776556,28980,"28980=>Karlby (596)"
1,10.86238959,56.47355037,22833,"22833=>Karlby (597)"
1,10.06132516,56.60052834,28881,"28881=>Kjærby (620)"
4,10.03578012,56.53842593,"28881 28893 28976 29012","28881=>Spentrup (3288)<br>28893=>Spentrup (3288)<br>28976=>Spentrup (3288)<br>29012=>Spentrup (3288)"
1,9.04102754,56.78036175,29089,"29089=>Kjeldgård (630)"
1,8.98817125,56.76991976,29089,"29089=>Østergård (885)"
3,10.55570458,55.7971772,"28913 28985 29075","28913=>Kolby (655)<br>28985=>Kolby (655)<br>29075=>Hårmark (1567)"
3,10.59139922,55.83257606,"28913 28985 29010","28913=>Ørby (4612)<br>28985=>Pilemark (4613)<br>29010=>Brundby (4610)"
2,9.49149073,55.49190407,"28908 29009","28908=>Kolding (656)<br>29009=>Kolding (656)"
2,9.40914342,56.19449478,"28962 29048","28962=>Kragelund (666)<br>29048=>Kragelund (666)"
2,8.73269709,56.59971085,"28891 29054","28891=>Lime (699)<br>29054=>Lime (699)"
1,10.2483525,56.38890938,22828,"22828=>Lime (700)"
1,9.68866011,56.1539,22754,"22754=>Linå (702)"
1,10.13688564,57.42516618,28930,"28930=>Lørslev (720)"
3,10.03894551,56.84529275,"28902 29066 28884","28902=>Lyngby (748)<br>29066=>Lyngby (748)<br>28884=>Terndrup (2732)"
1,9.923186,54.924232,29216,"29216=>Majbølgård (762)"
4,9.56918805,55.01426547,"29216 29259 29264 29270","29216=>Varnæs (4524)<br>29259=>Varnæs (4524)<br>29264=>Varnæs (4524)<br>29270=>Varnæs (4524)"
3,9.33453634,56.97674443,"22760 22767 22779","22760=>Næsborg (802)<br>22767=>Næsborg (802)<br>22779=>Næsborg (802)"
1,9.46847879,56.98422923,22760,"22760=>Kjølby (2873)"
1,10.12774216,56.3615738,29088,"29088=>Nielstrup (817)"
6,10.55290497,55.96474501,"28899 28967 28973 28975 29031 29064","28899=>Nordby (825)<br>28967=>Nordby (825)<br>28973=>Nordby (825)<br>28975=>Nordby (825)<br>29031=>Nordby (825)<br>29064=>Nordby (825)"
1,9.76072121,55.80959324,29124,"29124=>Ølsted (856)"
4,10.33760845,56.50255801,"28879 22727 22845 22996","28879=>Ørsted (871)<br>22727=>Bode (3347)<br>22845=>Bode (3347)<br>22996=>Bode (3347)"
2,9.333894,56.286321,"23118 22968","23118=>Ovstrup (897)<br>22968=>Torning (3189)"
3,9.14028051,56.62178612,"23118 28926 28922","23118=>Lundø (2994)<br>28926=>Lundø (2994)<br>28922=>Lundø (2994)"
1,10.0483414,56.4586074,22941,"22941=>Randers (923)"
1,10.94768309,55.73466966,22925,"22925=>Refsnæs (933)"
4,8.77858359,55.33618399,"22954 22860 29187 29230","22954=>Ribe herred (944)<br>22860=>Ribe (945)<br>29187=>Ribe (945)<br>29230=>Ribe (945)"
3,8.61786553,55.80774922,"22860 22993 29201","22860=>Ølgod (4255)<br>22993=>Ølgod (4255)<br>29201=>Ølgod (4255)"
1,8.31588601,55.83310891,29230,"29230=>Nørre-Bork (4180)"
2,8.40857756,55.82287889,29230,"29230=>Esbøl (4184)<br>29230=>Sønder-Vium (4185)"
1,9.80910592,56.2073677,29193,"29193=>Røgind (965)"
9,9.7076326,56.07812985,"22738 22758 22878 22917 22929 22970 22989 23102 29051","22738=>Ry (979)<br>22758=>Ry (979)<br>22878=>Ry (979)<br>22917=>Ry (979)<br>22929=>Ry (979)<br>22970=>Ry (979)<br>22989=>Ry (979)<br>23102=>Ry (979)<br>29051=>Ry (979)"
2,9.74490166,56.20847193,"22917 23091","22917=>Skanderup (1037)<br>23091=>Skanderup (1037)"
2,9.861989,55.001004,"29028 29118","29028=>Sjellerup (1023)<br>29118=>Sjellerup (1023)"
1,9.85202605,57.47912237,29251,"29251=>Skallerup (1033)"
1,8.76125305,55.1559085,28894,"28894=>Skjærbæk (1053)"
1,10.309553,57.288205,22997,"22997=>Skjæve (1057)"
1,9.948025,56.15654904,23098,"23098=>Skovby (1067)"
1,9.94012695,56.1357368,23098,"23098=>Store-Ring (3534)"
1,11.88288025,55.32946632,28909,"28909=>Skudderløse (1079)"
