freq,longitude,latitude,story_ids,story_place
1,8.24072529,56.77887529,18727,"18727=>Agger (14)"
2,9.8414759,54.96362819,"18728 18757","18728=>Als (39)<br>18757=>Als (39)"
1,10.28886161,56.75487617,18728,"18728=>Hurup (552)"
2,9.78611904,56.16882659,18715,"18715=>Dallerup (216)<br>18715=>Tovstrup (1236)"
1,9.05474062,56.1479359,18807,"18807=>Gjellerup (348)"
1,8.92627143,55.75784153,18739,"18739=>Grindsted (366)"
1,10.010862,56.940995,18709,"18709=>Gunderup (376)"
2,9.99749113,57.45913657,"18746 18752","18746=>Hjørring (469)<br>18752=>Hjørring (469)"
1,9.78428526,56.63226828,18798,"18798=>Hobro (475)"
1,9.49068388,55.66364171,18716,"18716=>Højen (483)"
6,9.15762141,56.13579896,"18770 18771 18772","18770=>Højris (487)<br>18770=>Ikast (4079)<br>18771=>Højris (487)<br>18771=>Ikast (4079)<br>18772=>Højris (487)<br>18772=>Ikast (4079)"
1,8.53207921,55.72494883,18775,"18775=>Horne (516)"
1,8.61786553,55.80774922,18775,"18775=>Ølgod (4255)"
1,8.36724634,55.57513827,18744,"18744=>Hostrup (530)"
1,8.97932374,55.35278211,18814,"18814=>Hygum (565)"
1,9.40914342,56.19449478,18759,"18759=>Kragelund (666)"
2,9.23779608,56.9188957,18729,"18729=>Malle (765)<br>18729=>Malle Hedegård (2858)"
2,9.75047632,56.7553991,18795,"18795=>Nørlund (832)<br>18795=>Ravnkilde (2786)"
1,10.39005511,55.39681993,18788,"18788=>Odense (850)"
1,10.30975213,57.61903603,18753,"18753=>Råbjærg (916)"
1,10.1928376,57.58773669,18753,"18753=>Tværsted (2195)"
1,8.77858359,55.33618399,18812,"18812=>Ribe herred (944)"
1,9.05689351,55.36810054,18813,"18813=>Rødding (960)"
1,8.93362743,56.53635477,18806,"18806=>Rønbjærg (969)"
1,8.58942945,56.95694272,18792,"18792=>Sjørring (1024)"
1,8.76125305,55.1559085,18721,"18721=>Skjærbæk (1053)"
1,9.92980991,56.30081683,18760,"18760=>Skjød (1062)"
1,11.27076891,55.30099507,18793,"18793=>Sønderup (1109)"
1,9.6512351,56.81585346,18793,"18793=>Sønderup (1110)"
1,10.49930672,55.13097468,18790,"18790=>Stenstrup (1131)"
1,10.13374931,56.09126859,18732,"18732=>Tranbjærg (1243)"
1,9.28147579,56.45104467,18732,"18732=>Jegstrup (4640)"
1,8.48820299,56.97051219,18756,"18756=>Vang (1286)"
1,8.65614946,56.27433361,18738,"18738=>Vinding (1318)"
1,8.66720039,56.77254886,18738,"18738=>Påager (2565)"
1,11.50169992,55.65009951,18737,"18737=>Mørksøkol (1501)"
1,10.64140852,55.86326329,18747,"18747=>Besser (1583)"
1,12.4059052,55.34111995,18785,"18785=>Holtug (1702)"
1,10.25663507,55.23168692,18751,"18751=>Sønder-Broby (2077)"
1,10.56422311,57.72685939,18791,"18791=>Skagen (2184)"
1,10.4799494,57.47709661,18754,"18754=>Elling (2205)"
1,10.19597408,57.47425374,18755,"18755=>Sindal (2246)"
1,10.46058464,57.36707857,18706,"18706=>Understed (2269)"
1,9.77578955,57.33870322,18707,"18707=>Vrensted (2326)"
1,9.86580873,56.93137827,18710,"18710=>Ellidshøj (2685)"
1,10.19194129,56.76065659,18794,"18794=>Skelum (2753)"
1,9.51169578,56.86708269,18711,"18711=>Blære (2791)"
1,9.82875862,56.45296348,18797,"18797=>Ålum (3132)"
1,9.57743689,56.37366129,18731,"18731=>Vindum (3143)"
1,10.18655208,56.57922546,18799,"18799=>Øster-Tørslev (3270)"
1,9.98648017,56.03428143,18714,"18714=>Fruering (3574)"
1,9.88182547,56.11098135,18733,"18733=>Søballe (3598)"
1,9.85556339,56.25716427,18761,"18761=>Hammel (3624)"
1,9.58871067,55.95817429,18762,"18762=>Ring (3668)"
1,10.00654332,55.96649473,18763,"18763=>Vedslet (3712)"
1,9.89391897,55.71048336,18765,"18765=>Barritskov (3768)"
1,9.65824266,55.74095127,18801,"18801=>Tirsbæk (3797)"
2,9.23259893,55.8468133,"18766 18767","18766=>Give (3829)<br>18767=>Give (3829)"
2,9.12705174,55.9459115,"18802 18803","18802=>Brande (3837)<br>18803=>Brande (3837)"
1,8.89396153,55.83813703,18768,"18768=>Sønder-Omme (3845)"
2,9.30436222,55.71874186,18736,"18736=>Engelsholm (3868)<br>18736=>Nørup (3871)"
1,9.30973468,55.61507191,18804,"18804=>Egtved (3899)"
1,9.71521383,55.54197639,18717,"18717=>Erritsø (3916)"
1,8.55094866,56.53928979,18805,"18805=>Humlum (3986)"
1,8.46526917,56.51842152,18805,"18805=>Remmer (4645)"
1,8.18988814,56.30624905,18808,"18808=>Sønder-Nissum (4103)"
1,8.33953781,56.29960833,18808,"18808=>Nørre-Vosborg (4111)"
1,8.56476803,55.66314101,18809,"18809=>Torstrup (4243)"
1,9.14255855,55.47592324,18777,"18777=>Vejen (4334)"
1,8.70681512,55.39688553,18811,"18811=>Vilslev (4346)"
2,9.56740057,55.32125568,"18741 18778","18741=>Fjelstrup (4382)<br>18778=>Fjelstrup (4382)"
1,9.14370589,55.30843464,18718,"18718=>Øster-Lindet (4404)"
2,9.050939,55.28936841,"18779 18780","18779=>Gram (4415)<br>18780=>Gram (4415)"
1,8.80163831,54.94261759,18742,"18742=>Møgeltønder (4447)"
9,8.6616859,55.07133637,"18815 18816 18817 18818 18819 18820 18821 18822 18823","18815=>Ballum (4461)<br>18816=>Ballum (4461)<br>18817=>Ballum (4461)<br>18818=>Ballum (4461)<br>18819=>Ballum (4461)<br>18820=>Ballum (4461)<br>18821=>Ballum (4461)<br>18822=>Ballum (4461)<br>18823=>Ballum (4461)"
1,8.5223236,55.15004832,18783,"18783=>Rømø (4463)"
1,8.96530936,54.94760919,18784,"18784=>Rørkjær (4482)"
1,9.07018611,54.91668922,18784,"18784=>Burkal (4489)"
1,9.46147095,55.09054028,18743,"18743=>Løjt (4511)"
2,9.56918805,55.01426547,"18745 18826","18745=>Varnæs (4524)<br>18826=>Varnæs (4524)"
1,10.42316297,55.07391189,18750,"18750=>Rødkilde (4560)"
2,10.59139922,55.83257606,"18724 18725","18724=>Brundby (4610)<br>18725=>Brundby (4610)"
