freq,longitude,latitude,story_ids,story_place
2,9.74794645,57.16692875,"5747 5610","5747=>Åby (3)<br>5610=>Vildmosen (2614)"
2,9.12743054,55.13081541,"5705 5706","5705=>Agerskov (12)<br>5706=>Agerskov (12)"
1,9.78978849,56.3168746,5767,"5767=>Ajt (19)"
2,8.69268956,56.36744648,"5816 5812","5816=>Albæk (24)<br>5812=>Mejrup (4014)"
2,8.86845772,56.45666669,"5816 5815","5816=>Sevel (4046)<br>5815=>Sevel (4046)"
2,10.19506313,56.16685115,"5575 5576","5575=>Århus (55)<br>5576=>Århus (55)"
1,10.20840085,56.19924869,5575,"5575=>Vejlby (1299)"
2,10.16522189,56.22110231,"5575 5576","5575=>Lisbjærg (3500)<br>5576=>Lisbjærg (3500)"
1,10.02216133,55.75891388,17900,"17900=>As (65)"
2,9.90594911,55.480346,17973,"17973=>Asperup (74)<br>17973=>Båring (115)"
2,9.97477036,56.76993809,"17842 17885","17842=>Astrup (84)<br>17885=>Astrup (84)"
2,9.88154132,56.76151304,"17885 5631","17885=>Blåkilde (148)<br>5631=>Blåkilde (148)"
1,9.38319082,55.70244629,5708,"5708=>Balle (113)"
2,9.93691933,55.99114271,5939,"5939=>Båstrup (117)<br>5939=>Hylke (3706)"
1,9.64459232,55.79600588,5624,"5624=>Båstrup (118)"
1,10.19922035,57.5422646,17802,"17802=>Bindslev (127)"
2,9.8548158,55.78780502,"17831 17927","17831=>Bjærge egn (138)<br>17927=>Bjærge egn (138)"
6,10.39005511,55.39681993,"17831 5603 5927 5928 5929 17830","17831=>Odense (850)<br>5603=>Odense (850)<br>5927=>Odense (850)<br>5928=>Odense (850)<br>5929=>Odense (850)<br>17830=>Odense (850)"
1,10.60946083,55.46615784,17831,"17831=>Drigstrup (1922)"
2,10.65777485,55.45303825,"17831 5604","17831=>Kjærteminde (4581)<br>5604=>Kjærteminde fjord (1875)"
1,9.8071931,57.15011259,5725,"5725=>Bjærgsted (145)"
1,9.25829724,56.85728982,5787,"5787=>Bjørnsholm (146)"
1,9.34359,56.62822779,5787,"5787=>Uldbjærg (3067)"
1,11.30667568,55.54653956,5516,"5516=>Bliden (149)"
3,10.00026428,55.15714245,"17903 17894","17903=>Bogården (150)<br>17903=>Helnæs (2022)<br>17894=>Helnæs (2022)"
1,9.07150442,55.1232587,17984,"17984=>Branderup (184)"
4,8.9892034,55.50158803,5950,"5950=>Brørupgård (204)<br>5950=>Eskelund (281)<br>5950=>Tirslund (1185)<br>5950=>Tuesdal (4318)"
1,9.06844645,55.47082031,5950,"5950=>Maltbæk (4329)"
4,9.24202741,55.77058218,"5526 5527 5819 17821","5526=>Brudepøt (205)<br>5527=>Brudepøt (205)<br>5819=>Lindeballe (3865)<br>17821=>Lindeballe (3865)"
7,9.35986674,55.11536159,"5535 5536 5942 5664 5828 5829 5830","5535=>Brudepøt (206)<br>5536=>Brudepøt (206)<br>5942=>Gjenner (4501)<br>5664=>Gjenner (4501)<br>5828=>Øster-Løgum (4508)<br>5829=>Øster-Løgum (4508)<br>5830=>Øster-Løgum (4508)"
5,10.58634969,56.28539975,"5615 5616 17810 17811","5615=>Brudesø (207)<br>5616=>Brudesø (207)<br>17810=>Brudesø (207)<br>17810=>Feldballe (3437)<br>17811=>Feldballe (3437)"
1,9.44221523,56.32779423,5936,"5936=>Demstrup (225)"
