freq,longitude,latitude,story_ids,story_place
2,10.28886161,56.75487617,"8039 19174","8039=>Als (38)<br>19174=>Als, Sønderborg amt (2751)"
1,9.75347036,57.27583849,7970,"7970=>Alstrup (44)"
2,8.98848366,56.01340869,"19263 19270","19263=>Arnborg (56)<br>19270=>Arnebjærg, Nørre-Hjarup Mark (4094)"
1,8.66601797,55.57442035,19173,"19173=>Årre (57)"
6,9.08327118,55.6296138,"19173 8021 8020 8008 8012 8013","19173=>Vorbasse (4287)<br>8021=>Vorbasse (4287)<br>8020=>Vorbasse (4287)<br>8008=>Vorbasse (4287)<br>8012=>Vorbasse (4287)<br>8013=>Vorbasse (4287)"
1,10.19538302,55.99397479,19201,"19201=>Assendrup (76)"
14,9.97477036,56.76993809,"19225 19226 19227 19287 19316 19364 19366","19225=>Astrup (84)<br>19225=>Akselterp (4652)<br>19226=>Astrup (84)<br>19226=>Akselterp (4652)<br>19227=>Astrup (84)<br>19227=>Akselterp (4652)<br>19287=>Astrup (84)<br>19287=>Møltrup (793)<br>19316=>Astrup (84)<br>19316=>Møltrup (793)<br>19364=>Astrup (84)<br>19364=>Møltrup (793)<br>19366=>Astrup (84)<br>19366=>Møltrup (793)"
1,8.40385203,56.80774672,19315,"19315=>Bedsted (120)"
1,10.19922035,57.5422646,19164,"19164=>Bindslev (127)"
1,10.24204167,56.66137113,8091,"8091=>Bjærge (136)"
1,10.15333015,56.64244951,8091,"8091=>Kastbjærg (605)"
1,9.8548158,55.78780502,19163,"19163=>Bjærge egn (138)"
1,9.07150442,55.1232587,19188,"19188=>Branderup (184)"
3,8.9892034,55.50158803,"8293 19371 8006","8293=>Brørup (203)<br>19371=>Brørup (203)<br>8006=>Eskelund (281)"
1,8.79073935,55.41670096,19371,"19371=>Gredstedbro (4350)"
1,9.88704892,56.98163851,19197,"19197=>Dal (212)"
1,9.78611904,56.16882659,19167,"19167=>Dallerup (216)"
1,9.81101498,56.1519176,19167,"19167=>Låsby (691)"
3,8.58942945,56.95694272,"7935 7934","7935=>Dollerup (227)<br>7935=>Sjørring (1024)<br>7934=>Sjørring (1024)"
5,11.79638975,55.6060789,"8052 19190 19282","8052=>Ebberup (250)<br>8052=>Rygård (984)<br>19190=>Ebberup (250)<br>19190=>Soderup (1475)<br>19282=>Soderup (1475)"
1,11.87536564,55.67183875,19190,"19190=>Ryegård (1433)"
1,11.4397201,55.80248958,8088,"8088=>Fårevejle (289)"
2,8.9366792,55.45078486,"19306 19307","19306=>Fovling (315)<br>19307=>Fovling (315)"
1,9.74794645,57.16692875,8226,"8226=>Fristrup (320)"
7,9.05474062,56.1479359,"19209 19257 19258 19259 19260 19261 19281","19209=>Gjellerup (348)<br>19257=>Gjellerup (348)<br>19258=>Gjellerup (348)<br>19259=>Gjellerup (348)<br>19260=>Gjellerup (348)<br>19261=>Gjellerup (348)<br>19281=>Gjellerup (348)"
1,12.11936865,55.54706625,19281,"19281=>Have (422)"
1,9.73981585,56.22900602,7953,"7953=>Gjern (350)"
1,10.89117652,56.40594271,8003,"8003=>Grenå (364)"
1,10.45547016,56.34646653,8003,"8003=>Skrærup (3460)"
1,8.92627143,55.75784153,8163,"8163=>Grindsted (366)"
3,9.271131,55.769331,"8163 8050 19208","8163=>Smidstrup (1087)<br>8050=>Smidstrup (1087)<br>19208=>Smidstrup (1087)"
1,10.52367332,56.23113175,8389,"8389=>Grønfeld (368)"
2,8.46526917,56.51842152,"8017 8256","8017=>Gudum (371)<br>8256=>Gudum (371)"
1,10.14363148,56.67328465,7960,"7960=>Haderup (381)"
1,8.85177166,56.57478117,8026,"8026=>Håsum (416)"
3,8.810434,56.6441,"8026 7939 7940","8026=>Rødding (958)<br>7939=>Rødding (958)<br>7940=>Rødding (958)"
1,10.26903861,56.24806097,8285,"8285=>Hesselballe (453)"
1,8.73479715,57.01500974,8002,"8002=>Hillerslev (459)"
1,8.81115202,57.03933168,8002,"8002=>Hundstrup (551)"
1,9.99749113,57.45913657,19221,"19221=>Hjørring (469)"
1,10.43689839,55.33173429,8270,"8270=>Højby (481)"
1,9.66467701,55.85329784,8132,"8132=>Hornborg (512)"
1,9.55584445,55.75117948,19280,"19280=>Hornstrup (519)"
2,10.28792117,57.15748006,"7991 19223","7991=>Hundslund (549)<br>19223=>Stagsted (1115)"
2,8.362999,56.86183,"8042 8043","8042=>Hvidbjærg (559)<br>8043=>Hvidbjærg (559)"
2,8.97932374,55.35278211,"7976 8031","7976=>Hygum (565)<br>8031=>Hygum (565)"
3,10.13688564,57.42516618,"7985 19166 19224","7985=>Ilbjærge (572)<br>19166=>Ilbjærge (572)<br>19224=>Ilbjærge (572)"
2,10.27959321,57.50353709,"7985 19165","7985=>Mosbjærg (2200)<br>19165=>Mosbjærg (2200)"
2,10.11557169,57.38471485,"19166 19224","19166=>Tårs (1166)<br>19224=>Tårs (1166)"
4,10.32289645,57.34965454,"19166 8014 19195 19196","19166=>Torslev (1222)<br>8014=>Torslev (1222)<br>19195=>Torslev (1222)<br>19196=>Torslev (1222)"
1,9.95341354,56.40107065,7964,"7964=>Jebjærg (582)"
1,10.86238959,56.47355037,8422,"8422=>Karlby (597)"
2,9.49149073,55.49190407,"19252 19355","19252=>Kolding (656)<br>19355=>Kolding (656)"
2,9.68866011,56.1539,"7952 8568","7952=>Linå (702)<br>8568=>Skjellerup (1059)"
1,9.90701839,57.30294273,8015,"8015=>Linderup (709)"
1,9.23779608,56.9188957,8414,"8414=>Malle (765)"
1,8.85868214,56.7945817,8570,"8570=>Nykjøbing (844)"
1,9.62310297,56.48222481,7951,"7951=>Ørum (875)"
1,9.92856546,55.77075429,7963,"7963=>Rårup (928)"
2,10.0789662,55.8261813,"7963 8301","7963=>Hjarnø (3787)<br>8301=>Hjarnø (3787)"
1,11.79244904,55.43881169,8233,"8233=>Ringsted (950)"
1,8.33953781,56.29960833,7939,"7939=>Ulfborg (4114)"
2,9.32137834,55.77096642,"7997 19208","7997=>Rostrup (974)<br>19208=>Gadbjærg (3858)"
1,10.516491,57.330506,19222,"19222=>Sæby (988)"
1,8.54329883,56.02629287,19182,"19182=>Sædding (994)"
3,10.01132401,56.82231318,"8357 8358 8359","8357=>Siem (1013)<br>8358=>Siem (1013)<br>8359=>Siem (1013)"
1,8.49550545,55.95083856,7983,"7983=>Skjern (1061)"
1,9.948025,56.15654904,8047,"8047=>Skovby (1067)"
1,9.99925793,56.1454978,8047,"8047=>Lillering skov (3532)"
1,10.89963571,55.09266854,8028,"8028=>Stoense (1134)"
1,9.21998851,56.79001184,8239,"8239=>Strandby (1139)"
