freq,longitude,latitude,story_ids,story_place
4,9.74794645,57.16692875,"2800 15652 2516","2800=>Åby (3)<br>2800=>Ulvskov (2633)<br>15652=>Åby (3)<br>2516=>Vildmosen (2614)"
2,9.21079873,57.05402951,"15652 2826","15652=>Havgård (425)<br>2826=>Gjøtrup (360)"
1,8.24072529,56.77887529,2798,"2798=>Agger (14)"
5,8.31670931,56.75720487,"2798 2526 2793 15743","2798=>Tåbøl sø (2519)<br>2798=>Vestervig (2520)<br>2526=>Vestervig (2520)<br>2793=>Vestervig (2520)<br>15743=>Vestervig (2520)"
3,9.93214951,57.04020941,"2517 15728 2782","2517=>Ålborg (27)<br>15728=>Ålborg (27)<br>2782=>Ålborg fjord (2608)"
1,10.56422311,57.72685939,2517,"2517=>Nørrestrand (2181)"
6,10.01192636,57.15092785,"15728 15594 15619 15623 2746","15728=>Hammer (395)<br>15728=>Hammer bakker (396)<br>15594=>Hammer (395)<br>15619=>Hammer (395)<br>15623=>Hammer (395)<br>2746=>Øsbjærg Bakker (4664)"
3,9.4886069,55.5670455,"15713 2740 2741","15713=>Almind (37)<br>2740=>Almind hule (3942)<br>2741=>Almind hule (3942)"
1,9.8414759,54.96362819,15682,"15682=>Als (39)"
1,8.428295,56.032612,15543,"15543=>Andbæk (48)"
2,9.74889991,56.8216214,"2531 2615","2531=>Årestrup (54)<br>2615=>Torstedlund (2700)"
1,8.98848366,56.01340869,15467,"15467=>Arnborg (56)"
1,8.52353886,56.89543114,2791,"2791=>Årup (63)"
1,8.44029913,56.90062007,2791,"2791=>Lægind (2490)"
1,10.02216133,55.75891388,15529,"15529=>As (65)"
1,10.023887,55.746783,15529,"15529=>Palsgård (904)"
1,9.43281814,56.44333188,2765,"2765=>Asmild kloster (70)"
19,9.37836463,56.45780394,"2765 2753 2739 2757 15719 2749 2752 2756 2758 2760 2767 2768 2772 2779 2780 2781 2755","2765=>Viborg sø (2889)<br>2753=>Viborg sø (2889)<br>2739=>Viborg (2887)<br>2757=>Viborg (2887)<br>15719=>Viborg (2887)<br>15719=>Nordmandsdal (4642)<br>2749=>Viborg sø (2889)<br>2752=>Viborg sø (2889)<br>2756=>Viborg sø (2889)<br>2758=>Viborg sø (2889)<br>2760=>Viborg sø (2889)<br>2760=>Nordmandsdal (4642)<br>2767=>Viborg sø (2889)<br>2768=>Viborg sø (2889)<br>2772=>Viborg sø (2889)<br>2779=>Viborg sø (2889)<br>2780=>Viborg sø (2889)<br>2781=>Viborg sø (2889)<br>2755=>Nordmandsdal (4642)"
3,9.90012939,55.27057781,"15588 15703 15705","15588=>Assens (77)<br>15703=>Assens (77)<br>15705=>Assens (77)"
2,9.07018611,54.91668922,"15703 15666","15703=>Burkal (4489)<br>15666=>Burkal (4489)"
1,12.01939282,54.86281625,15705,"15705=>Maglebrænde (1842)"
9,9.97477036,56.76993809,"15508 15554 15564 15600 15720","15508=>Astrup (84)<br>15554=>Astrup (84)<br>15554=>Møltrup (793)<br>15564=>Astrup (84)<br>15564=>Madum Sø (2770)<br>15600=>Astrup (84)<br>15600=>Madum Sø (2770)<br>15720=>Astrup (84)<br>15720=>Madum Sø (2770)"
2,8.794384,56.265473,"2673 15479","2673=>Avlum (107)<br>15479=>Avlum (107)"
4,10.19922035,57.5422646,"15477 15514 15597 15739","15477=>Bindslev (127)<br>15514=>Bindslev (127)<br>15597=>Bindslev (127)<br>15739=>Bindslev (127)"
3,11.76838014,55.49068151,"15597 15618 2657","15597=>Haraldsted (1615)<br>15618=>Haraldsted (1615)<br>2657=>Hellebjærg (1618)"
5,9.737277,55.892376,"15672 15694 2691","15672=>Bisgård (130)<br>15672=>Tamdrup (3738)<br>15694=>Tamdrup (3738)<br>15694=>Vrønding (3741)<br>2691=>Vinten (3739)"
3,11.30667568,55.54653956,"2807 15748","2807=>Bliden (149)<br>15748=>Bliden (149)<br>15748=>Sæby (990)"
3,11.29143588,55.48378264,"2807 15748 2808","2807=>Tis sø (1188)<br>15748=>Tis sø (1188)<br>2808=>Tis sø (1188)"
3,9.57743689,56.37366129,"15607 15515","15607=>Brandstrup (185)<br>15607=>Vindum (3143)<br>15515=>Vindum (3143)"
2,9.66542509,55.59473397,"15495 15498","15495=>Bredstrup (192)<br>15498=>Bredstrup (192)"
1,8.73479715,57.01500974,2804,"2804=>Bro mølle (198)"
2,9.00383831,57.02701394,"2804 15636","2804=>Bygholms vejle (2449)<br>15636=>Øsløs (2451)"
4,8.80624546,55.11730256,"15474 15484 15649 2622","15474=>Døstrup (231)<br>15484=>Døstrup (231)<br>15649=>Døstrup (231)<br>2622=>Dragsted bro (4465)"
3,10.13688564,57.42516618,"15474 15602","15474=>Ugilt (2242)<br>15602=>Ilbjærge (572)<br>15602=>Ugilt (2242)"
1,10.28792117,57.15748006,15539,"15539=>Dronninglund (242)"
1,10.332127,57.176924,15539,"15539=>Ørsø (868)"
4,9.292717,55.984939,"15481 15572 15650 15651","15481=>Ejstrup (272)<br>15572=>Ejstrup (272)<br>15650=>Ejstrup (272)<br>15651=>Ejstrup (272)"
2,8.79464452,56.88904662,"15526 15625","15526=>Flade (311)<br>15625=>Flade (311)"
1,9.62628252,55.93511271,2646,"2646=>Fovling (314)"
2,8.9366792,55.45078486,"15482 15493","15482=>Fovling (315)<br>15493=>Fovling (315)"
1,9.27023832,56.73474316,15730,"15730=>Fovlum (316)"
4,9.61130651,56.51098866,"2471 2733 2734 2735","2471=>Fovlum (317)<br>2733=>Fovlum (317)<br>2734=>Fovlum (317)<br>2735=>Fovlum (317)"
1,9.57362711,56.53268589,2735,"2735=>Vammen (3095)"
3,9.05474062,56.1479359,"15628 15684 15699","15628=>Gjellerup (348)<br>15684=>Gjellerup (348)<br>15699=>Gjellerup (348)"
1,10.010862,56.940995,15491,"15491=>Gunderup (376)"
1,8.9961129,56.38726949,2636,"2636=>Haderup (382)"
1,9.31879937,56.37078665,2766,"2766=>Hald sø (387)"
1,9.82537421,56.2802359,2766,"2766=>Sale (999)"
1,12.41140548,55.96966209,2766,"2766=>Asminderød (1352)"
2,8.92627143,55.75784153,"15619 15623","15619=>Grindsted (366)<br>15623=>Grindsted (366)"
3,8.85177166,56.57478117,"2802 2803","2802=>Håsum (416)<br>2802=>Sønder-Lem vig (2974)<br>2803=>Håsum (416)"
3,9.76258507,55.85186739,"15612 2737 2738","15612=>Hatting (418)<br>2737=>Bygholm (3788)<br>2738=>Bygholm (3788)"
1,9.21313241,55.07592424,2806,"2806=>Hellevad (435)"
1,10.16486773,57.26998552,15519,"15519=>Hellum (439)"
2,8.45944372,56.75264968,"15472 15492","15472=>Heltborg (442)<br>15492=>Heltborg (442)"
4,8.73672367,56.81203718,"15472 2593 15511 15671","15472=>Mors (2550)<br>2593=>Mors (2550)<br>15511=>Mors (2550)<br>15671=>Mors (2550)"
2,8.95267034,56.14219771,"15521 15546","15521=>Herning (446)<br>15546=>Herning (446)"
