freq,longitude,latitude,story_ids,story_place
2,9.12743054,55.13081541,"20195 20234","20195=>Agerskov (12)<br>20234=>Agerskov (12)"
4,9.05474062,56.1479359,"20195 20234 20224 20225","20195=>Gjellerup (348)<br>20234=>Gjellerup (348)<br>20224=>Gjellerup (348)<br>20225=>Gjellerup (348)"
2,9.27989612,56.14515128,"10117 10118","10117=>Agerskov (13)<br>10118=>Bording (161)"
3,9.17347087,56.31082534,"10117 10119 10183","10117=>Bøgelund (152)<br>10119=>Bøgelund (152)<br>10183=>Bøgelund (152)"
1,9.25655365,56.99777043,10050,"10050=>Aggersborg (15)"
1,9.33453634,56.97674443,10050,"10050=>Tolstrupgårde (2864)"
2,9.33984522,57.07189252,"10083 10033","10083=>Ålegård (30)<br>10033=>Skræm (2414)"
2,8.41666096,55.5895359,"20198 20199","20198=>Alslev (41)<br>20199=>Alslev (41)"
2,9.74889991,56.8216214,"20206 10100","20206=>Årestrup (54)<br>10100=>Torstedlund (2700)"
1,10.40685789,57.44038976,20217,"20217=>Åsted (81)"
4,8.98817125,56.76991976,"10057 10132 20177 20192","10057=>Åsted (82)<br>10132=>Åsted (82)<br>20177=>Åsted (82)<br>20192=>Åsted (82)"
5,9.97477036,56.76993809,"20219 10092 10093","20219=>Astrup (84)<br>20219=>Akselterp (4652)<br>10092=>Borup (171)<br>10093=>Astrup nørskov (2767)<br>10093=>Villestrup (2771)"
1,9.62628252,55.93511271,10128,"10128=>Åstrup (98)"
1,12.08563216,54.84845785,20212,"20212=>Åstrup (103)"
1,9.49149073,55.49190407,20212,"20212=>Kolding (656)"
2,8.40385203,56.80774672,"20190 20191","20190=>Bedsted (120)<br>20191=>Bedsted (120)"
1,10.03387302,57.51267197,20204,"20204=>Bjærgby (131)"
1,9.25474788,56.486222,10133,"10133=>Borris (169)"
3,10.01132401,56.82231318,"10092 20207 10093","10092=>Siem skov (2734)<br>20207=>Siem (1013)<br>10093=>Siem skov (2734)"
6,10.39599158,55.3017613,"10190 10191 10192 10193","10190=>Bramstrup (181)<br>10190=>Volderslev (1919)<br>10191=>Bramstrup (181)<br>10191=>Volderslev (1919)<br>10192=>Bramstrup (181)<br>10193=>Bramstrup (181)"
2,9.66542509,55.59473397,"20209 20231","20209=>Bredstrup (192)<br>20231=>Bredstrup (192)"
1,8.86845772,56.45666669,10157,"10157=>Damgård (223)"
2,10.68640214,56.30044853,"10015 10036","10015=>Drammelstrup (236)<br>10036=>Drammelstrup (236)"
1,9.292717,55.984939,20180,"20180=>Ejstrup (272)"
1,12.3198444,55.29022715,10084,"10084=>Frøslev (323)"
1,11.96172307,55.7874533,20224,"20224=>Krøjgård Agre (1391)"
1,10.09670998,55.5001816,10096,"10096=>Hårslev (408)"
3,9.68866011,56.1539,"10149 10150 10038","10149=>Hårup (410)<br>10150=>Mollerup (791)<br>10038=>Skjellerup (1059)"
2,9.12831637,56.70268186,"10042 10130","10042=>Havbjærg (419)<br>10130=>Tise (1190)"
1,9.67463947,56.78461746,10091,"10091=>Haverslev (424)"
2,8.46526917,56.51842152,10196,"10196=>Højbjærg (477)<br>10196=>Østergård (887)"
6,9.54388431,56.3380454,"20230 10145 10187 10188 10189","20230=>Højbjærg (478)<br>20230=>Palstrup (3174)<br>10145=>Tange (1160)<br>10187=>Palstrup (3174)<br>10188=>Palstrup (3174)<br>10189=>Palstrup (3174)"
4,9.46980378,56.30675858,"20230 10187 10188 10189","20230=>Døssing (3179)<br>10187=>Døssing (3179)<br>10188=>Døssing (3179)<br>10189=>Døssing (3179)"
1,10.01075277,56.88382407,10138,"10138=>Horsens (526)"
2,8.81115202,57.03933168,20227,"20227=>Hundstrup (551)<br>20227=>Kjølbygård (635)"
1,8.17656268,56.27879324,10090,"10090=>Husby (554)"
2,9.01342881,56.66903046,"10126 10112","10126=>Jebjærg (581)<br>10112=>Jebjærg hede (2907)"
4,8.718767,55.392738,"10017 10026 20183 20184","10017=>Jedsted (583)<br>10026=>Jedsted (583)<br>20183=>Jedsted (583)<br>20184=>Jedsted (583)"
3,8.70681512,55.39688553,"20183 20184 10074","20183=>Vilslev (4346)<br>20184=>Vilslev (4346)<br>10074=>Vilslev (4346)"
1,9.66958207,57.21084237,10095,"10095=>Kås (602)"
2,10.49370528,55.35536226,"10182 10047","10182=>Kjærby (619)<br>10047=>Fravde (1904)"
1,9.13191071,56.58161849,10123,"10123=>Kjærgård (622)"
2,9.27580365,56.53917503,"10123 10113","10123=>Jordbro mølle (2996)<br>10113=>Jordbro mølle (2996)"
3,9.04102754,56.78036175,"10197 10018 20229","10197=>Kjeldgård (630)<br>10018=>Selde (2942)<br>20229=>Selde (2942)"
1,9.94035949,56.60150184,10115,"10115=>Kjellerup (631)"
1,9.3617377,56.71405477,10180,"10180=>Knudstrup (649)"
2,9.4850338,57.07415465,10045,"10045=>Kokkedal (654)<br>10045=>Atrup (2408)"
1,9.29617367,57.09917817,10028,"10028=>Kollerup (657)"
1,9.64459232,55.79600588,10153,"10153=>Kragelund (667)"
2,8.86226781,56.65591926,"10104 20210","10104=>Krejbjærg (673)<br>20210=>Krejbjærg (673)"
2,10.09665705,56.49371606,"10019 10114","10019=>Ladegård (676)<br>10114=>Gimming (3298)"
1,9.75047632,56.7553991,10100,"10100=>Nørlund (832)"
1,9.73981585,56.22900602,10055,"10055=>Norup (840)"
1,10.22994745,56.60811234,10020,"10020=>Råby (917)"
1,8.62277581,56.76458846,10062,"10062=>Rakkeby (921)"
3,9.49686839,56.41942697,"10043 10029 10030","10043=>Randrup (926)<br>10029=>Vinkel (1320)<br>10030=>Vinkel (1320)"
2,9.58719864,56.45039719,"10043 10046","10043=>Viskum (3106)<br>10046=>Ø bakker (3105)"
1,11.38889372,55.5570049,10205,"10205=>Rerslev (938)"
1,8.810434,56.6441,10174,"10174=>Rødding (958)"
1,9.05689351,55.36810054,20200,"20200=>Rødding (960)"
1,10.12774216,56.3615738,10147,"10147=>Rude (975)"
1,9.97302162,57.31406506,10127,"10127=>Serritslev (1008)"
2,9.88838246,56.83713849,"10059 10060","10059=>Skindbjærg (1048)<br>10060=>Skjørping (2748)"
3,8.76125305,55.1559085,"20235 20236 20237","20235=>Skjærbæk (1053)<br>20236=>Skjærbæk (1053)<br>20237=>Skjærbæk (1053)"
1,9.6512351,56.81585346,20218,"20218=>Sønderup (1110)"
1,10.28792117,57.15748006,10073,"10073=>Stagsted (1115)"
1,8.44029913,56.90062007,20176,"20176=>Stenbjærg (1124)"
1,9.34359,56.62822779,10068,"10068=>Sundstrup (1149)"
1,9.99825417,56.13968347,10202,"10202=>Tåstrup (1180)"
1,11.29143588,55.48378264,10169,"10169=>Tis sø (1188)"
1,9.13918171,56.5046702,10178,"10178=>Troelstrup (1248)"
1,9.19196978,55.87934678,20239,"20239=>Ullerup (1273)"
2,8.58734506,56.4491865,"10177 10056","10177=>Vejrum (1302)<br>10056=>Skikkild hede (4023)"
1,10.43807204,57.31823044,20205,"20205=>Volstrup (1332)"
2,8.64201964,56.43840428,20233,"20233=>Volstrup (1335)<br>20233=>Hjerm (4018)"
1,12.16762997,55.52527013,10121,"10121=>Jersie (1446)"
1,11.79638975,55.6060789,10088,"10088=>Tingerup (1476)"
1,11.32404229,55.48889218,10125,"10125=>Gjerslev (1510)"
1,11.32926326,55.73117776,10086,"10086=>Følleslev (1537)"
1,11.26926092,55.66417464,10098,"10098=>Viskinde (1545)"
1,11.72946498,55.42891109,10025,"10025=>Sigersted (1612)"
1,11.94294401,55.29796577,10089,"10089=>Gisselfeldt (1631)"
1,11.34728641,55.28568455,10097,"10097=>Egitslevmagle (1662)"
1,12.13567382,54.89973258,10037,"10037=>Fanefjord (1772)"
1,11.49583027,54.66855918,20174,"20174=>Errindlev (1820)"
2,11.95792563,54.7421868,20175,"20175=>Idestrup (1850)<br>20175=>Ovrupgård (4550)"
1,10.13091193,55.38709123,10058,"10058=>Skalbjærg (1897)"
3,10.60946083,55.46615784,"10034 10167 10168","10034=>Drigstrup (1922)<br>10167=>Drigstrup (1922)<br>10168=>Drigstrup (1922)"
1,10.64791633,55.49989519,20215,"20215=>Mesinge (1938)"
1,10.04888973,55.2922877,20188,"20188=>Søllested (2015)"
1,10.00026428,55.15714245,20189,"20189=>Helnæs (2022)"
3,10.53100515,55.11410639,"10071 20185 20186","10071=>Dongs-Højrup (2034)<br>20185=>Kirkeby Mark (2035)<br>20186=>Kirkeby Mark (2035)"
3,10.52468885,55.17876846,"10067 10072 10163","10067=>Kværndrup (2047)<br>10072=>Kværndrup (2047)<br>10163=>Kværndrup (2047)"
2,10.39579745,55.23250102,"10164 10165","10164=>Vantinge (2075)<br>10165=>Vantinge (2075)"
1,10.23104758,55.25397451,10166,"10166=>Nørre-Broby (2076)"
1,10.60044103,55.21933629,10170,"10170=>Lamdrup (2109)"
1,10.4799494,57.47709661,10021,"10021=>Ellinggård (2206)"
1,10.31384379,57.48321395,20216,"20216=>Tolne (2217)"
1,9.94420384,57.27277164,20226,"20226=>Vester-Brønderslev (2339)"
1,9.50899595,57.09430845,10085,"10085=>Brovst (2398)"
2,9.12561066,57.10536712,"10077 10099","10077=>Vester-Torup (2439)<br>10099=>Vester-Torup (2439)"
1,8.67173572,57.09775074,10122,"10122=>Rær (2455)"
1,8.61683725,56.78871906,10110,"10110=>Tæbring (2561)"
1,8.67061542,56.81603075,10113,"10113=>Dragstrup (2588)"
1,9.93214951,57.04020941,20228,"20228=>Ålborg (2607)"
1,9.74794645,57.16692875,10087,"10087=>Vildmosen (2614)"
1,10.12013506,57.06520776,10175,"10175=>Nørre-Bølle (2643)"
1,10.21956972,56.97030321,10101,"10101=>Dokkedal (2673)"
1,9.7379295,56.99928983,10078,"10078=>Sønderholm (2682)"
1,9.61424246,56.94766364,10144,"10144=>Bislev (2714)"
1,10.11185967,56.88367465,10075,"10075=>Sønder-Kongerslev (2724)"
1,9.9260865,56.73172154,10131,"10131=>Blegetø (2761)"
1,9.27023832,56.73474316,10049,"10049=>Stistrupgård (2820)"
1,9.23779608,56.9188957,10143,"10143=>Brøttrup (2857)"
1,9.53743676,56.96224749,10069,"10069=>Sebber kloster (2879)"
1,9.503088,56.94989,10069,"10069=>Store-Ajstrup (2883)"
1,8.87939153,56.60067623,10129,"10129=>Volling (2906)"
1,9.09668456,56.76087207,10105,"10105=>Grætrup (2931)"
2,8.90403439,56.69059165,"20193 10070","20193=>Hjerk (2955)<br>10070=>Vium mølle (2957)"
1,8.80803228,56.60465638,10061,"10061=>Vejby (2983)"
2,9.15016414,56.4717661,"10134 10139","10134=>Smollerup (3012)<br>10139=>Smollerup (3012)"
1,9.55500834,56.60806766,10142,"10142=>Skamris dal (3044)"
1,9.55676757,56.55599601,10142,"10142=>Troestrup (3048)"
1,9.91748665,56.50453131,10141,"10141=>Bjærggrav (3053)"
1,9.39024935,56.57867744,10044,"10044=>Borup bakker (3056)"
1,9.40682962,56.55223769,10044,"10044=>Skals (3061)"
3,9.34733479,56.52834942,"10022 10023 10140","10022=>Vorde (3085)<br>10023=>Vorde (3085)<br>10140=>Vorde (3085)"
1,9.37801364,56.32596724,10031,"10031=>Marsvinslund (3171)"
1,10.12959102,56.58744711,10081,"10081=>Gjerlev (3271)"
1,9.85316849,56.58423344,10032,"10032=>Glenstrup (3273)"
2,9.89738756,56.51409406,"10171 20178","10171=>Kovsted (3285)<br>20178=>Kovsted (3285)"
1,10.17376224,56.5442071,10146,"10146=>Tvede (3294)"
1,9.99211737,56.4052325,10195,"10195=>Værum (3316)"
1,9.95341354,56.40107065,10195,"10195=>Frisenvold (4636)"
1,9.98866255,56.35071271,10184,"10184=>Favrskov (3320)"
1,10.0494,56.348464,10184,"10184=>Vinterslev (3323)"
1,10.13314571,56.31072258,10201,"10201=>Amdrup kjær (3330)"
1,10.09929141,56.2666501,10201,"10201=>Haraldslund (3497)"
1,10.43087602,56.45704946,10035,"10035=>Gjesing (351)"
1,10.35100168,56.36874798,10148,"10148=>Bendstrup (3381)"
1,10.48550918,56.29043477,10206,"10206=>Følle (3462)"
2,10.31667047,56.31261766,20220,"20220=>Rosenholm (3468)<br>20220=>Hornslet (3470)"
1,9.97718946,56.22214714,10066,"10066=>Lading (3513)"
2,9.95281764,56.11665377,"10203 10204","10203=>Stjære (3536)<br>10204=>Stjære (3536)"
2,10.20708539,56.05871918,10185,"10185=>Beder (3548)<br>10185=>Fløjstrup-skoven (3549)"
1,9.88182547,56.11098135,10152,"10152=>Nørre-Vissing (3597)"
1,9.77414217,56.10741748,10151,"10151=>Jævngryde (3640)"
1,9.737277,55.892376,20221,"20221=>Tamdrup (3738)"
1,9.69765191,55.94268118,10135,"10135=>Underup (3743)"
1,9.8548158,55.78780502,10136,"10136=>Øster-Krog. Bjærge (3760)"
1,9.54601738,55.7627968,10155,"10155=>Grejs (3803)"
1,9.373212,55.885195,10179,"10179=>Nørre-Vong (3820)"
1,9.17733486,55.80010134,20208,"20208=>Ringive (3823)"
1,9.25779543,55.90628978,20222,"20222=>Tyregod (3835)"
1,9.24202741,55.77058218,20223,"20223=>Lindeballe (3865)"
2,9.30436222,55.71874186,"20213 10094","20213=>Nørup (3871)<br>10094=>Nørup hede (3873)"
3,9.30973468,55.61507191,"10154 20194","10154=>Bøgvad (3897)<br>20194=>Egtved (3899)<br>20194=>Torsted (3910)"
1,9.71162738,55.57503822,10198,"10198=>Himmerigshuset (3913)"
2,9.65802838,55.60220511,"20181 20182","20181=>Pjedsted (3929)<br>20182=>Pjedsted (3929)"
1,9.53091668,55.4024646,10194,"10194=>Grønning hoved (3950)"
2,9.5765261,55.38319879,"10194 20232","10194=>Hejls (3952)<br>20232=>Hejls (3952)"
2,8.40990349,56.55878913,"10076 10200","10076=>Nørre-Nissum (3964)<br>10200=>Nørre-Nissum (3964)"
2,8.9961129,56.38726949,"10158 10014","10158=>Gråsand (4054)<br>10014=>Vormstrup (4056)"
1,8.95811773,56.09047433,10159,"10159=>Kollund (4082)"
2,8.31251275,56.05118957,10199,"10199=>Rydbjærg (4128)<br>10199=>Vennergård (4129)"
2,8.30700823,56.19509868,"10124 20196","10124=>Tim (4136)<br>20196=>Tim (4136)"
2,8.41956866,56.00107272,10207,"10207=>Dejbjærg (4160)<br>10207=>St.-Skindbjærg (4163)"
1,8.37239889,55.96320278,20197,"20197=>Stavning (4166)"
1,8.3699163,55.6223361,10161,"10161=>Hylderslev (4207)"
1,8.43773889,55.75976735,10137,"10137=>Hallum (4217)"
1,8.61786553,55.80774922,10064,"10064=>Egkund ell. Ekknud (4252)"
1,8.42013036,55.42077137,10065,"10065=>Fanø (4276)"
1,9.01688742,55.5661491,20211,"20211=>Lindknud (4313)"
1,8.9366792,55.45078486,10040,"10040=>Bobøl (4322)"
2,9.06844645,55.47082031,"10079 10080","10079=>Askov skov (4326)<br>10080=>Askov skov (4326)"
2,9.14255855,55.47592324,"10080 10027","10080=>Vejen (4334)<br>10027=>Vejen skov (4335)"
1,8.64674475,55.42798863,10024,"10024=>Darum (4342)"
1,8.79073935,55.41670096,10162,"10162=>Jærnved (4351)"
1,8.761911,55.327904,10116,"10116=>Lustrup (4353)"
1,8.78636022,55.0094511,10063,"10063=>Visby (4455)"
1,8.81679207,55.06013901,10039,"10039=>Bredebro (4470)"
1,9.25058971,54.9343524,20238,"20238=>Tinglev (4492)"
3,9.46147095,55.09054028,"20201 20202 20203","20201=>Løjt (4511)<br>20202=>Løjt (4511)<br>20203=>Løjt (4511)"
2,10.59139922,55.83257606,"10016 10054","10016=>Brundby (4610)<br>10054=>Pilemark (4613)"
1,8.79464452,56.88904662,10051,"10051=>Nandrup (4658)"
