freq,longitude,latitude,story_ids,story_place
6,9.74794645,57.16692875,"10559 10630 10618 10629","10559=>Åby (3)<br>10559=>Kjølvring (2627)<br>10630=>Åby (3)<br>10630=>Mælport (2628)<br>10618=>Åby enge (2623)<br>10629=>Mælport (2628)"
5,9.89738756,56.51409406,"10288 10651 10666 10667 10683","10288=>Ågård (8)<br>10651=>Kovsted (3285)<br>10666=>Kovsted (3285)<br>10667=>Kovsted (3285)<br>10683=>Kovsted (3285)"
7,9.96556941,57.17978982,"20320 20348 20403 10312","20320=>Ajstrup (16)<br>20320=>Gammel-Vrå (331)<br>20348=>Ajstrup (16)<br>20348=>Gammel-Vrå (331)<br>20403=>Ajstrup (16)<br>20403=>Gammel-Vrå (331)<br>10312=>Vrå mølle (2640)"
1,10.14363148,56.67328465,10347,"10347=>Ajstrup (18)"
6,10.24204167,56.66137113,"10347 10344 10345 10346 10401","10347=>Overgård. Udbynedre (3260)<br>10344=>Overgård. Udbynedre (3260)<br>10344=>Udbyneder (3261)<br>10345=>Overgård. Udbynedre (3260)<br>10346=>Overgård. Udbynedre (3260)<br>10401=>Overgård. Udbynedre (3260)"
1,9.93214951,57.04020941,10742,"10742=>Ålborg (27)"
2,9.56111779,55.88758037,"10309 10310","10309=>Åle (29)<br>10310=>Åle (29)"
1,10.47037111,55.33822874,10652,"10652=>Allerup (32)"
2,10.28886161,56.75487617,"10578 20414","10578=>Als (38)<br>20414=>Als, Sønderborg amt (2751)"
2,8.41666096,55.5895359,20331,"20331=>Alslev (41)<br>20331=>Hvisselbjærg (564)"
3,10.64140852,55.86326329,"10661 10632 10685","10661=>Alstrup (43)<br>10632=>Østerby (881)<br>10685=>Torup (1230)"
1,9.26398226,56.70269291,10679,"10679=>Alstrup (45)"
3,9.74889991,56.8216214,"20321 10639","20321=>Årestrup (54)<br>20321=>Torstedlund (2700)<br>10639=>Torstedlund (2700)"
2,10.19506313,56.16685115,"20375 20376","20375=>Århus (55)<br>20376=>Århus (55)"
1,10.46534825,55.30167616,10224,"10224=>Årslev (59)"
1,10.15214764,56.39792757,20243,"20243=>Årslev (60)"
