freq,longitude,latitude,story_ids,story_place
1,8.28146,55.632333,18903,"18903=>Ål (22)"
1,8.35700288,55.79599626,18903,"18903=>Lydumgård (4224)"
1,10.15273583,57.21287001,7673,"7673=>Allerup bakker (34)"
2,8.41666096,55.5895359,"18971 18972","18971=>Alslev (41)<br>18972=>Alslev (41)"
7,10.64140852,55.86326329,"7559 7561 7628 7629 18904 7532","7559=>Alstrup (43)<br>7559=>Østerby (881)<br>7561=>Alstrup (43)<br>7628=>Besser (1583)<br>7629=>Besser (1583)<br>18904=>Besser (1583)<br>7532=>Udsagshage (1585)"
1,10.19506313,56.16685115,7720,"7720=>Århus (55)"
8,9.90594911,55.480346,"7686 19090 7554 7822 7823 7824 7683","7686=>Asperup (74)<br>19090=>Asperup (74)<br>19090=>Båring (115)<br>7554=>Båring (115)<br>7822=>Båring (115)<br>7823=>Båring (115)<br>7824=>Båring (115)<br>7683=>Båring skov (1980)"
1,10.09445251,56.67529905,7829,"7829=>Assens (78)"
2,8.98817125,56.76991976,"7634 7658","7634=>Åsted (82)<br>7658=>Sæbygårds mølle (2945)"
5,9.97477036,56.76993809,"18925 19022 7518 7626","18925=>Astrup (84)<br>19022=>Astrup (84)<br>19022=>Akselterp (4652)<br>7518=>Madum Sø (2770)<br>7626=>Madum Sø (2770)"
4,10.46305793,55.39988592,"19042 19043 19044 19045","19042=>Åsum (106)<br>19043=>Åsum (106)<br>19044=>Åsum (106)<br>19045=>Åsum (106)"
3,8.794384,56.265473,"7597 18967 18968","7597=>Avlum (107)<br>18967=>Avlum (107)<br>18968=>Avlum (107)"
2,12.16762997,55.52527013,"18967 18968","18967=>Jersild Gårde (1447)<br>18968=>Jersild Gårde (1447)"
1,9.389126,56.320297,19103,"19103=>Avnsbjærg (109)"
5,8.58734506,56.4491865,"7775 7776 7777 7778","7775=>Avsumgård (110)<br>7775=>Vejrum (1302)<br>7776=>Tipsmark (4024)<br>7777=>Tipsmark (4024)<br>7778=>Tipsmark (4024)"
6,10.57176875,55.84903122,"7560 7615 7616 18917 7614","7560=>Bisgård (129)<br>7615=>Onsbjærg (1576)<br>7616=>Onsbjærg (1576)<br>18917=>Onsbjærg (1576)<br>18917=>Sælvig (4614)<br>7614=>Sælvig (4614)"
3,10.24204167,56.66137113,"7853 18958 19065","7853=>Bjærge (136)<br>18958=>Udbyneder (3261)<br>19065=>Udbyneder (3261)"
1,9.8548158,55.78780502,19097,"19097=>Bjærge (137)"
1,9.27989612,56.14515128,19083,"19083=>Bording (161)"
2,11.95936623,55.64460914,"7782 19054","7782=>Borrevejle skov (168)<br>19054=>Borrevejle skov (168)"
7,8.65055798,55.95891424,"7609 19041 19085 19086 19104 7712 7768","7609=>Borris (170)<br>19041=>Borris (170)<br>19085=>Borris (170)<br>19086=>Borris (170)<br>19104=>Borris (170)<br>7712=>Egvig (4171)<br>7768=>Røverstuen (4172)"
