freq,longitude,latitude,story_ids,story_place
2,9.4116545,55.04862654,"18130 18154","18130=>Åbenrå (1)<br>18154=>Åbenrå (1)"
1,9.29617367,57.09917817,6585,"6585=>Ågård (7)"
2,8.24072529,56.77887529,"6477 6598","6477=>Agger (14)<br>6598=>Tyborøn (1262)"
1,9.96556941,57.17978982,6569,"6569=>Ajstrup (16)"
4,9.01054031,56.4920081,"18161 18162 6394 6389","18161=>Åkjær (21)<br>18162=>Åkjær (21)<br>6394=>Fly hede (3015)<br>6389=>Fly hede (3015)"
3,9.93214951,57.04020941,"6432 6433 18148","6432=>Ålborg (27)<br>6433=>Ålborg (27)<br>18148=>Ålborg (2607)"
1,9.22969026,56.90156343,6614,"6614=>Åle (28)"
1,9.23779608,56.9188957,6614,"6614=>Malle (765)"
2,9.56111779,55.88758037,"6659 18240","6659=>Åle (29)<br>18240=>Åle (29)"
1,9.4886069,55.5670455,18258,"18258=>Almind (37)"
3,10.84759727,56.37121286,"18112 6430 6431","18112=>Ålsø (42)<br>6430=>Katholm skov (3425)<br>6431=>Katholm skov (3425)"
1,8.66601797,55.57442035,6683,"6683=>Årre (57)"
1,10.02216133,55.75891388,18114,"18114=>As (65)"
1,10.023887,55.746783,18114,"18114=>Palsgård (904)"
2,9.92891517,56.54533545,"18114 6466","18114=>Ashøj (3283)<br>6466=>Asferg (69)"
1,9.90012939,55.27057781,6719,"6719=>Assens (77)"
1,10.40685789,57.44038976,6460,"6460=>Åsted (81)"
3,8.98817125,56.76991976,"18106 6345 6505","18106=>Åsted (82)<br>6345=>Sallingborg (2946)<br>6505=>Sallingborg (2946)"
1,10.33785405,55.22466686,18106,"18106=>Sallingsholm (2057)"
1,8.82771692,55.57328956,6476,"6476=>Åstrup (102)"
2,8.794384,56.265473,"6269 6602","6269=>Avlum (107)<br>6602=>Avlum (107)"
1,8.80236874,56.26921768,6269,"6269=>Lundgård (733)"
2,9.90594911,55.480346,"6322 6710","6322=>Båring (115)<br>6710=>Båring skov (1980)"
2,11.97672013,54.77021703,"6491 6354","6491=>Bellinge (121)<br>6354=>Bellinge slot (1864)"
9,10.57176875,55.84903122,"6350 6351 6353 18134 6360 6465 6352","6350=>Bisgård (129)<br>6351=>Bisgård (129)<br>6353=>Bisgård (129)<br>6353=>Sælvig (4614)<br>18134=>Bisgård (129)<br>18134=>Onsbjærg (1576)<br>6360=>Onsbjærg (1576)<br>6465=>Onsbjærg (1576)<br>6352=>Sælvig (4614)"
1,8.73114513,56.8682726,6347,"6347=>Bjærgby (132)"
2,8.48820299,56.97051219,"6347 6311","6347=>Færgegårde (2485)<br>6311=>Fersborg (2486)"
1,9.25829724,56.85728982,6507,"6507=>Bjørnsholm (146)"
1,12.44955107,54.99609429,6278,"6278=>Borre (166)"
1,12.48500029,54.98462945,6278,"6278=>Møens klint (1768)"
3,9.66542509,55.59473397,"6671 6673 18256","6671=>Bredstrup (192)<br>6673=>Bredstrup (192)<br>18256=>Bredstrup (192)"
1,11.31006328,55.68657399,6711,"6711=>Bregninge (193)"
2,10.39005511,55.39681993,"6711 6331","6711=>Odense (850)<br>6331=>Odense å (4578)"
2,9.88704892,56.98163851,18182,"18182=>Dal (212)<br>18182=>Skudshale (1080)"
2,10.0373779,55.22283913,"6722 18221","6722=>Dreslette (237)<br>18221=>Dreslette (237)"
