freq,longitude,latitude,story_ids,story_place
2,8.24072529,56.77887529,"7912 7930","7912=>Agger (14)<br>7930=>Agger (14)"
1,10.19922035,57.5422646,19146,"19146=>Bindslev (127)"
9,10.1928376,57.58773669,"19146 19138 19139 19140 19141 19142 19143 19144 19145","19146=>Tværsted (2195)<br>19138=>Tværsted (2195)<br>19139=>Tværsted (2195)<br>19140=>Tværsted (2195)<br>19141=>Tværsted (2195)<br>19142=>Tværsted (2195)<br>19143=>Tværsted (2195)<br>19144=>Tværsted (2195)<br>19145=>Tværsted (2195)"
2,8.60389504,57.11528803,"7909 19127","7909=>Hansted (399)<br>19127=>Hansted (399)"
1,9.9857954,57.55960816,19148,"19148=>Horne (515)"
2,8.17656268,56.27879324,"7922 7933","7922=>Husby (554)<br>7933=>Husby klit (4096)"
1,8.362999,56.86183,19129,"19129=>Hvidbjærg (559)"
2,8.73269709,56.59971085,19131,"19131=>Kås skov (604)<br>19131=>Lime (699)"
2,9.78313657,57.40131627,"7890 7920","7890=>Lyngby (747)<br>7920=>Lyngby (747)"
1,9.78457859,57.46253693,7890,"7890=>Mårup (773)"
1,9.77707939,57.41548443,7890,"7890=>Rubjærg knude (2261)"
3,10.55290497,55.96474501,"7899 7900 7904","7899=>Nordby (825)<br>7900=>Nordby (825)<br>7904=>Nordby (825)"
2,10.57176875,55.84903122,"7904 7905","7904=>Stavns (1579)<br>7905=>Stavns (1579)"
3,10.30975213,57.61903603,"7926 19137","7926=>Råbjærg (916)<br>19137=>Råbjærg (916)<br>19137=>Bunken (2187)"
12,10.56422311,57.72685939,"7926 7916 7881 7884 7885 7886 7887 7888 7902 7903 7925 7915","7926=>Skagen (2184)<br>7916=>Rannerød (2183)<br>7881=>Skagen (2184)<br>7884=>Skagen (2184)<br>7885=>Skagen (2184)<br>7886=>Skagen (2184)<br>7887=>Skagen (2184)<br>7888=>Skagen (2184)<br>7902=>Skagen (2184)<br>7903=>Skagen (2184)<br>7925=>Skagen (2184)<br>7915=>Kandestederne (4682)"
1,10.67239199,55.53421698,19124,"19124=>Stubberup (1141)"
2,8.48820299,56.97051219,19128,"19128=>Vang (1286)<br>19128=>Djernæs (2484)"
1,10.55570458,55.7971772,7910,"7910=>Permelille (1571)"
3,10.82520646,56.50293044,"7910 7917 7898","7910=>Tremølle (3404)<br>7917=>Gjerild (3401)<br>7898=>Stokbro (3403)"
1,10.64140852,55.86326329,7906,"7906=>Besser (1583)"
1,10.00026428,55.15714245,19125,"19125=>Helnæs (2022)"
5,10.4799494,57.47709661,"19147 7929 7883 7927","19147=>Elling (2205)<br>19147=>Jerup (4679)<br>7929=>Krageskov (2208)<br>7883=>Jerup (4679)<br>7927=>Jerup (4679)"
1,10.02870892,57.55574435,19149,"19149=>Asdal (2254)"
1,9.94435879,57.52981312,7914,"7914=>Tornby (2256)"
1,9.46249934,57.13223706,7919,"7919=>Tranum klit (2395)"
1,9.4850338,57.07415465,7919,"7919=>Atrup (2408)"
1,11.03403286,57.27247189,7911,"7911=>Læsø (2421)"
1,9.00099051,57.10595107,7928,"7928=>Glæde (2445)"
1,8.81166219,57.05900617,7928,"7928=>Hjardemål (2470)"
1,8.29581513,56.81791974,19130,"19130=>Lodbjærg (2513)"
1,10.30657345,56.99519175,7882,"7882=>Hals (2656)"
1,10.58465749,56.5070087,7918,"7918=>Fjellerup strand (3408)"
3,11.54457708,56.70505201,"7891 7892 7893","7891=>Anholt (3422)<br>7892=>Anholt (3422)<br>7893=>Anholt (3422)"
1,10.43464686,55.95250277,7908,"7908=>Tunø (3553)"
1,8.17369803,56.62066705,7913,"7913=>Harboøre (3991)"
1,8.12263815,56.52656399,7894,"7894=>Ferring (4002)"
1,8.14158228,56.47814353,7889,"7889=>Fjaltring (4009)"
3,8.18988814,56.30624905,"7931 7932 7901","7931=>Fjande (4098)<br>7932=>Fjande (4098)<br>7901=>Torsminde (4104)"
1,8.21425645,56.19854236,19132,"19132=>Stadil (4140)"
1,8.20005733,56.23337586,19133,"19133=>Vedersø (4143)"
1,8.33130981,55.6159675,7896,"7896=>Kjelst (4212)"
2,8.1431204,55.55530123,"7896 7924","7896=>Blåvand (4234)<br>7924=>Blåvand (4234)"
1,8.28146,55.632333,7895,"7895=>Børsmose (4230)"
