freq,longitude,latitude,story_ids,story_place
2,9.4116545,55.04862654,"15160 15172","15160=>Åbenrå (1)<br>15172=>Åbenrå (1)"
1,9.14370589,55.30843464,15160,"15160=>Øster-Lindet (4404)"
1,9.93214951,57.04020941,1879,"1879=>Ålborg (27)"
2,9.90594911,55.480346,15216,"15216=>Asperup (74)<br>15216=>Båring (115)"
1,9.97477036,56.76993809,15143,"15143=>Astrup (84)"
1,9.51321614,56.26336109,1948,"1948=>Astrup (86)"
1,9.25829724,56.85728982,1936,"1936=>Bjørnsholm (146)"
1,9.00383831,57.02701394,1936,"1936=>Øsløs (2451)"
1,9.87513313,55.82054042,1857,"1857=>Boller (155)"
1,9.77873268,55.76307905,1857,"1857=>Urlev skov (3764)"
1,9.8072582,55.79152308,1857,"1857=>Sønder-Aldum (3790)"
1,12.44955107,54.99609429,15201,"15201=>Borre (166)"
1,12.05240733,55.11870202,15201,"15201=>Præstø amt (1683)"
1,10.70248201,56.22370281,15215,"15215=>Dråby (234)"
1,10.28792117,57.15748006,15227,"15227=>Dronninglund herred (241)"
1,10.14287997,55.92725107,15227,"15227=>Ørtoft (3567)"
1,10.52581584,55.05569058,15194,"15194=>Egense (262)"
19,10.67239199,55.53421698,"1853 1852 15166 15188 15167 15168 15169 15192 1851 1854","1853=>Egense (263)<br>1853=>Nordskov (827)<br>1853=>Fyenshoved (1945)<br>1852=>Nordskov (827)<br>1852=>Fyenshoved (1945)<br>1852=>Martofte (4594)<br>15166=>Nordskov (827)<br>15166=>Stubberup (1141)<br>15188=>Nordskov (827)<br>15188=>Stubberup (1141)<br>15167=>Stubberup (1141)<br>15167=>Martofte (4594)<br>15168=>Stubberup (1141)<br>15168=>Martofte (4594)<br>15169=>Stubberup (1141)<br>15192=>Stubberup (1141)<br>15192=>Martofte (4594)<br>1851=>Fyenshoved (1945)<br>1854=>Fyenshoved (1945)"
4,10.56795957,55.32034324,"15207 15208","15207=>Ferritslevgård (301)<br>15207=>Rolfsted (1915)<br>15208=>Ferritslevgård (301)<br>15208=>Rolfsted (1915)"
1,10.43087602,56.45704946,1873,"1873=>Gjesing (351)"
2,10.01192636,57.15092785,"15180 15232","15180=>Hammer (395)<br>15232=>Hammer (395)"
2,8.92627143,55.75784153,"15180 15232","15180=>Grindsted (366)<br>15232=>Grindsted (366)"
1,9.67463947,56.78461746,1912,"1912=>Haverslev (424)"
2,9.99749113,57.45913657,"15221 15222","15221=>Hjørring (469)<br>15222=>Hjørring (469)"
3,9.68866011,56.1539,"1958 1830 1944","1958=>Hjul sø (474)<br>1830=>Linå (702)<br>1944=>Linå (702)"
1,9.52098813,56.18420884,1958,"1958=>Vester-Kejlstrup (3206)"
1,10.38135001,57.32361016,1871,"1871=>Hørby (506)"
1,8.97932374,55.35278211,15154,"15154=>Hygum (565)"
2,10.13688564,57.42516618,"1953 15145","1953=>Ilbjærge (572)<br>15145=>Ilbjærge (572)"
4,10.11557169,57.38471485,"1953 1954 1955 1956","1953=>Sjørup sø (1029)<br>1954=>Sjørup sø (1029)<br>1955=>Sjørup sø (1029)<br>1956=>Sjørup sø (1029)"
1,9.970865,56.094473,15149,"15149=>Jegsen (584)"
1,9.99651253,56.09972201,15149,"15149=>Adslev (3581)"
1,9.40914342,56.19449478,15233,"15233=>Kragelund (666)"
1,10.12933,57.120715,15229,"15229=>Langholt (685)"
1,11.87487653,55.10876991,1896,"1896=>Lundby (724)"
2,9.97972502,56.31578728,"1902 1946","1902=>Lyngå (745)<br>1946=>Lyngå (745)"
1,10.12774216,56.3615738,1909,"1909=>Nielstrup (817)"
2,8.56476803,55.66314101,15177,"15177=>Nørholm (831)<br>15177=>Torstrup (4243)"
2,10.258827,55.582517,"15189 15196","15189=>Nørreby (837)<br>15196=>Nørreby (837)"
1,10.0367129,55.50873808,15173,"15173=>Ore (861)"
1,10.67262789,55.25822606,15173,"15173=>Ørbæk (857)"
3,9.49686839,56.41942697,"1846 15234 1942","1846=>Randrup (926)<br>15234=>Vinkel (1320)<br>1942=>Randrup skov (3139)"
2,9.57743689,56.37366129,"1846 15147","1846=>Vindum Overgård (3144)<br>15147=>Vindum (3143)"
1,10.516491,57.330506,15226,"15226=>Sæby (988)"
1,9.80331066,57.29650619,1956,"1956=>Hammelmose (2327)"
1,9.271131,55.769331,1860,"1860=>Smidstrup (1087)"
4,9.32137834,55.77096642,"1860 1876 1858 1859","1860=>Refstrup (3860)<br>1876=>Gadbjærg (3858)<br>1858=>Refstrup (3860)<br>1859=>Refstrup (3860)"
1,9.24202741,55.77058218,1860,"1860=>Lindeballe (3865)"
1,10.37733781,55.28532052,1849,"1849=>Søby (1091)"
2,9.08690669,56.51416017,"1889 1924","1889=>Søby (1092)<br>1924=>Kobberup (2998)"
1,9.01459535,55.45706344,15176,"15176=>Sønderskov (1107)"
1,9.6512351,56.81585346,15148,"15148=>Sønderup (1110)"
1,10.64791633,55.49989519,15169,"15169=>Mesinge (1938)"
1,10.03168556,56.77982117,15223,"15223=>Tisted (1192)"
1,9.33453634,56.97674443,1916,"1916=>Tolstrup (1201)"
1,10.45547016,56.34646653,15199,"15199=>Torsager (1220)"
1,10.10813829,56.15817284,1872,"1872=>True (1250)"
1,11.21559751,55.61861785,1928,"1928=>Udby (1266)"
1,9.5521637,55.71165991,15235,"15235=>Vejle (1300)"
1,10.43807204,57.31823044,15224,"15224=>Volstrup (1332)"
1,9.47337079,55.45511559,15191,"15191=>Vonsild (1337)"
1,11.90217116,55.00330223,1898,"1898=>Vordingborg (1338)"
1,12.3043318,55.71112583,1866,"1866=>Ledøje (1415)"
1,12.24081087,55.59752102,15158,"15158=>Greve (1434)"
1,11.40951026,55.66108143,1870,"1870=>Jyderup (1497)"
1,11.15514541,55.6801489,1868,"1868=>Ubberup (1527)"
1,11.21334063,55.65521253,1900,"1900=>Snæveris skov (1551)"
1,11.52566098,55.50739674,1903,"1903=>Brændtebjerg (1599)"
1,11.50942046,55.4901315,15231,"15231=>Bromme (1604)"
1,11.79834719,55.46270563,1894,"1894=>Vigersdal (1610)"
1,11.72946498,55.42891109,1933,"1933=>Kirstensbjærg (1611)"
2,11.76838014,55.49068151,"1891 1869","1891=>Haraldsted (1615)<br>1869=>Valsømagle (1621)"
1,11.25718547,55.36278196,1899,"1899=>Ormitslev (1647)"
1,11.58779896,55.23357245,15161,"15161=>Marvede (1674)"
2,11.81749277,55.15569473,"1897 15190","1897=>Vester-Egesborg (1732)<br>15190=>Vester-Egesborg (1732)"
1,12.48500029,54.98462945,1818,"1818=>Møens klint (1768)"
1,11.78666929,54.75407107,15157,"15157=>Toreby (1836)"
1,10.49370528,55.35536226,1926,"1926=>Fravde (1904)"
2,10.27390217,55.51951195,"15218 1886","15218=>Skamby (1959)<br>1886=>Stensby (1960)"
3,10.15997114,55.47376268,"1833 15153 15197","1833=>Vigerslev (1971)<br>15153=>Vigerslev (1971)<br>15197=>Vigerslev (1971)"
1,10.21582202,55.47335524,15153,"15153=>Langesø (1972)"
1,9.82743558,55.4229237,1820,"1820=>Føns (1998)"
1,9.91145513,55.40831693,1820,"1820=>Tybrind skove (2001)"
1,10.62175761,55.0641916,15230,"15230=>Svendborg (2024)"
1,10.52468885,55.17876846,1835,"1835=>Kværndrup (2047)"
4,10.67288794,55.15462415,"15204 15213","15204=>Gudbjærg (2124)<br>15204=>Lakkendrup (4562)<br>15213=>Gudbjærg (2124)<br>15213=>Lakkendrup (4562)"
3,10.30975213,57.61903603,"1938 1950 1951","1938=>Bunken (2187)<br>1950=>Gårbo sø (2189)<br>1951=>Sørig sø (2193)"
1,9.985303,57.462684,1952,"1952=>Støvrup (2236)"
1,9.90701839,57.30294273,1874,"1874=>Øster-Hjermitslev (2333)"
3,9.83422482,57.36607902,"1874 15181 15183","1874=>Hjortnæs (4673)<br>15181=>Hjortnæs (4673)<br>15183=>Hjortnæs (4673)"
1,9.86429637,57.32061766,15193,"15193=>Stenum (2335)"
1,9.94517372,57.35331082,1957,"1957=>Vrå (2336)"
1,9.99781555,57.24808351,15217,"15217=>Øster-Brønderslev (2348)"
1,9.69964954,57.27219689,1945,"1945=>Saltum (2361)"
1,9.62246601,57.24730572,1908,"1908=>Hune (2369)"
1,9.50899595,57.09430845,1832,"1832=>Brovst (2398)"
1,8.57136705,56.83725467,1920,"1920=>Skyum (2497)"
1,9.26240033,56.96547142,1920,"1920=>Løgstør (2613)"
1,8.3638188,56.85163333,1930,"1930=>Hvidbjærg vesten å (2510)"
1,9.85763259,57.11839779,15214,"15214=>Vadum (2621)"
1,9.95603185,57.16277574,15144,"15144=>Sulsted (2637)"
1,9.75289773,56.93998814,15146,"15146=>Øster-Hornum (2688)"
