freq,longitude,latitude,story_ids,story_place
1,9.4116545,55.04862654,18099,"18099=>Åbenrå (1)"
2,9.74794645,57.16692875,"6040 5974","6040=>Åby (3)<br>5974=>Fristrup enge (2625)"
1,9.01054031,56.4920081,6158,"6158=>Åkjær (21)"
1,9.4886069,55.5670455,6213,"6213=>Almind (37)"
1,9.97477036,56.76993809,18056,"18056=>Astrup (84)"
3,10.37605989,56.43195376,"6100 6101 6002","6100=>Avning (108)<br>6101=>Avning (108)<br>6002=>Tårup (1173)"
1,9.389126,56.320297,18094,"18094=>Avnsbjærg (109)"
1,11.97672013,54.77021703,6055,"6055=>Bellinge (121)"
1,10.31296587,55.33724584,18041,"18041=>Bellinge (122)"
1,8.65055798,55.95891424,6227,"6227=>Borris (170)"
1,8.91775704,56.58922585,18057,"18057=>Brøndum (202)"
1,8.80624546,55.11730256,6098,"6098=>Døstrup (231)"
3,10.28792117,57.15748006,"5979 6015 17993","5979=>Dronninglund (242)<br>6015=>Dronninglund (242)<br>17993=>Dronninglund (242)"
1,10.31225829,57.2885669,6235,"6235=>Dybvad (248)"
1,9.30375303,56.50826702,5992,"5992=>Fiskbæk (306)"
2,9.11742998,55.5219207,"6172 6097","6172=>Gammelby (335)<br>6097=>Hundsbæk (4338)"
4,9.73267011,56.02420768,"5983 6069 6017","5983=>Gandrup (338)<br>6069=>Mos sø (797)<br>6017=>Dørup (3658)<br>6017=>Voer kloster (3662)"
3,8.25956149,56.57005065,"6067 18024","6067=>Gjeller sø (347)<br>18024=>Gjeller sø (347)<br>18024=>Tørring (1219)"
1,8.92627143,55.75784153,6077,"6077=>Grindsted (366)"
2,9.55622921,56.69662805,"6221 6219","6221=>Guldager (373)<br>6219=>Skat skov (3038)"
1,10.010862,56.940995,18007,"18007=>Gunderup (376)"
1,8.9961129,56.38726949,6134,"6134=>Haderup (382)"
1,9.21746784,56.59746309,6092,"6092=>Hald (384)"
6,9.68866011,56.1539,"6041 6214 6216 6217 6218 6132","6041=>Hårup (410)<br>6214=>Hårup (410)<br>6216=>Hårup (410)<br>6217=>Hårup (410)<br>6218=>Hårup (410)<br>6132=>Mollerup (791)"
2,8.85177166,56.57478117,18037,"18037=>Håsum (416)<br>18037=>Kjærgårdsholm (627)"
1,8.861847,56.491927,18037,"18037=>Ægge Sø (4643)"
1,9.4181296,56.80367274,5971,"5971=>Havbro (421)"
1,11.98343325,55.66905184,5968,"5968=>Herslev (449)"
4,9.99749113,57.45913657,"6056 6119 6120 18028","6056=>Hjørring (469)<br>6119=>Hjørring (469)<br>6120=>Hjørring (469)<br>18028=>Hjørring (469)"
6,10.11557169,57.38471485,"6119 6116 6117 6118 6035 6236","6119=>Sørup sø (2308)<br>6116=>Sørup sø (2308)<br>6117=>Sørup sø (2308)<br>6118=>Sørup sø (2308)<br>6035=>Tårs hede (2310)<br>6236=>Vugdrup (2312)"
3,10.00262436,57.36224501,"6119 5977 6023","6119=>Høgsted (2313)<br>5977=>Høgsted (2313)<br>6023=>Høgsted (2313)"
1,10.30975213,57.61903603,6120,"6120=>Gårbo sø (2189)"
1,10.43689839,55.33173429,6021,"6021=>Højby (481)"
2,9.54601738,55.7627968,18000,"18000=>Højgård (485)<br>18000=>Grejs (3803)"
2,9.41612043,55.75406825,"18000 6147","18000=>Jelling (3882)<br>6147=>Jelling (3882)"
1,9.15762141,56.13579896,6224,"6224=>Højris (487)"
2,8.99217015,55.22956772,"18052 18053","18052=>Højrup (491)<br>18053=>Højrup (491)"
6,10.32289645,57.34965454,"6240 18033 5986 6000 6135","6240=>Højstrup (493)<br>6240=>Skavange (2277)<br>18033=>Torslev (1222)<br>5986=>Fladbirk (2274)<br>6000=>Skavange (2277)<br>6135=>Skavange (2277)"
1,9.55584445,55.75117948,6007,"6007=>Hornstrup (519)"
1,8.93061343,56.56627032,6034,"6034=>Hvidbjærg (558)"
