freq,longitude,latitude,story_ids,story_place
1,9.4116545,55.04862654,26761,"26761=>Åbenrå (1)"
2,9.35986674,55.11536159,"26761 26894","26761=>Gjenner (4501)<br>26894=>Gjenner (4501)"
1,9.46147095,55.09054028,26761,"26761=>Løjt (4511)"
2,9.29617367,57.09917817,"21840 22128","21840=>Ågård (7)<br>22128=>Ågård (7)"
5,9.25655365,56.99777043,"21964 22062 22063 22064","21964=>Aggersborg (15)<br>21964=>Ullerup (1272)<br>22062=>Aggersborggård (2415)<br>22063=>Aggersborggård (2415)<br>22064=>Aggersborggård (2415)"
1,10.14363148,56.67328465,21824,"21824=>Ajstrup (18)"
2,10.15333015,56.64244951,"21824 21832","21824=>Kastbjærg (605)<br>21832=>Trudsholm (3263)"
2,9.93214951,57.04020941,"22092 22236","22092=>Ålborg (27)<br>22236=>Ålborg (27)"
1,9.71390405,57.06848707,22092,"22092=>Gjøl (2384)"
1,9.56111779,55.88758037,22225,"22225=>Åle (29)"
10,9.86197942,55.85797729,"22225 26859 26997 26896 26904 26908 26927 26943 26994 26996","22225=>Horsens (525)<br>26859=>Horsens (525)<br>26997=>Horsens egn (523)<br>26896=>Horsens (525)<br>26904=>Horsens (525)<br>26908=>Horsens (525)<br>26927=>Horsens (525)<br>26943=>Horsens (525)<br>26994=>Horsens (525)<br>26996=>Horsens (525)"
7,9.76258507,55.85186739,"22225 21888 26826 21836 21838 21884 21887","22225=>Bygholm (3788)<br>21888=>Hatting (418)<br>26826=>Bygholm (3788)<br>21836=>Bygholm (3788)<br>21838=>Bygholm (3788)<br>21884=>Bygholm (3788)<br>21887=>Bygholm (3788)"
1,9.8414759,54.96362819,26859,"26859=>Als (39)"
10,12.55338778,55.68488326,"26859 26853 26847 22091 22220 26772 26850 26852 26854 26857","26859=>Kjøbenhavn (1341)<br>26853=>Kjøbenhavn (1341)<br>26847=>Kjøbenhavn (1341)<br>22091=>Kjøbenhavn (1341)<br>22220=>Kjøbenhavn (1341)<br>26772=>Kjøbenhavn (1341)<br>26850=>Kjøbenhavn (1341)<br>26852=>Kjøbenhavn (1341)<br>26854=>Kjøbenhavn (1341)<br>26857=>Kjøbenhavn (1341)"
7,9.74889991,56.8216214,"21910 21949 21956 22166 22139 22079","21910=>Årestrup (54)<br>21949=>Årestrup (54)<br>21949=>Torstedlund (2700)<br>21956=>Årestrup (54)<br>22166=>Ersted (2697)<br>22139=>Ersted (2697)<br>22079=>Torstedlund (2700)"
1,9.85612331,56.85858438,21910,"21910=>Buderupholm (2690)"
8,9.75047632,56.7553991,"21956 22019 21878 22139 22155 22079 22167","21956=>Nørlund (832)<br>22019=>Nørlund (832)<br>22019=>Ravnkilde (2786)<br>21878=>Nørlund (832)<br>22139=>Nørlund (832)<br>22155=>Nørlund (832)<br>22079=>Skårup (1040)<br>22167=>Ravnkilde (2786)"
6,10.19506313,56.16685115,"21924 21925 22234 26760 26791 26979","21924=>Århus (55)<br>21925=>Århus (55)<br>22234=>Århus (55)<br>26760=>Århus (55)<br>26791=>Århus (55)<br>26979=>Århus (55)"
3,9.37836463,56.45780394,"21924 22111 26928","21924=>Viborg (2887)<br>22111=>Viborg (2887)<br>26928=>Viborg (2887)"
2,9.03275937,56.56919621,"21924 22207","21924=>Skive (2892)<br>22207=>Skive (2892)"
13,9.65366138,55.88982838,"22234 26834 21819 22165 21820 21862 21875 21978 22158 26821 22164","22234=>Skejby (3749)<br>26834=>Hvirring (3744)<br>21819=>Hornum (522)<br>21819=>Rask (3746)<br>22165=>Rask (3746)<br>21820=>Rask (3746)<br>21862=>Rask (3746)<br>21875=>Rask (3746)<br>21978=>Rask (3746)<br>22158=>Rask (3746)<br>22158=>Rask mølle (3747)<br>26821=>Rask (3746)<br>22164=>Rask skov (3748)"
1,10.0483414,56.4586074,26760,"26760=>Randers (923)"
3,10.22297261,56.24079763,"26791 21969 22016","26791=>Elsted (275)<br>21969=>Elsted (275)<br>22016=>Elsted (275)"
5,10.21049352,56.26873003,"26791 21969 22016 21830 21970","26791=>Skårupgård (1042)<br>21969=>Skårupgård (1042)<br>22016=>Skårupgård (1042)<br>21830=>Skårupgård (1042)<br>21970=>Skårupgård (1042)"
2,10.13314571,56.31072258,"26791 21970","26791=>Selling (3335)<br>21970=>Selling (3335)"
6,9.97477036,56.76993809,"26979 26965 22143 26823","26979=>Møltrup (793)<br>26979=>Villestrup (2771)<br>26965=>Borup (171)<br>26965=>Villestrup (2771)<br>22143=>Villestrup (2771)<br>26823=>Villestrup (2771)"
1,8.66601797,55.57442035,26755,"26755=>Årre (57)"
2,9.50846948,56.80216045,"21916 22050","21916=>Års (58)<br>22050=>Års (58)"
