freq,longitude,latitude,story_ids,story_place
2,8.53756484,55.79289029,"2069 15307","2069=>Adsbøl (4)<br>15307=>Strellev (4197)"
1,8.24072529,56.77887529,15238,"15238=>Agger (14)"
2,9.97477036,56.76993809,15295,"15295=>Astrup (84)<br>15295=>Akselterp (4652)"
1,8.82771692,55.57328956,15299,"15299=>Åstrup (102)"
1,12.44955107,54.99609429,1982,"1982=>Borre (166)"
3,9.78611904,56.16882659,"15310 2058","15310=>Dallerup (216)<br>15310=>Tovstrup (1236)<br>2058=>Langvad (690)"
1,9.86775161,55.92840987,15310,"15310=>Tolstrup (1203)"
2,8.72348027,56.8021533,"15283 15286","15283=>Frøslev (324)<br>15286=>Frøslev (324)"
4,8.67061542,56.81603075,"15283 2040 2041 2042","15283=>Dragstrup (2588)<br>2040=>Fins pyt (2589)<br>2041=>Fins pyt (2589)<br>2042=>Fins pyt (2589)"
1,10.181108,57.012936,15240,"15240=>Gåser (341)"
1,10.20254944,57.06995981,15240,"15240=>Øster-Hassing (2649)"
2,9.05474062,56.1479359,"15304 2049","15304=>Gjellerup (348)<br>2049=>Hammerum bæk (4075)"
1,9.59039032,54.91496995,2085,"2085=>Gråsten (362)"
1,9.76258507,55.85186739,2061,"2061=>Hatting (418)"
2,9.4181296,56.80367274,"2072 2078","2072=>Havbro (421)<br>2078=>Havbro (421)"
1,9.9857954,57.55960816,15243,"15243=>Horne (515)"
1,10.0522261,55.91537141,15309,"15309=>Hundslund (548)"
4,8.17656268,56.27879324,"1996 1997 1998 1999","1996=>Husby (554)<br>1997=>Husby (554)<br>1998=>Husby (554)<br>1999=>Husby (554)"
1,9.17347087,56.31082534,15293,"15293=>Karup (601)"
1,10.55570458,55.7971772,15261,"15261=>Kolby (655)"
1,10.55290497,55.96474501,15247,"15247=>Nordby (825)"
2,10.43464686,55.95250277,"15247 1988","15247=>Tunø (3553)<br>1988=>Tunø (3553)"
7,10.39005511,55.39681993,"15275 15276 15312 2017 2018 2019","15275=>Odense (850)<br>15276=>Odense (850)<br>15312=>Odense (850)<br>15312=>Odense å (4578)<br>2017=>Odense å (4578)<br>2018=>Odense å (4578)<br>2019=>Odense å (4578)"
1,10.21226731,55.29239209,15312,"15312=>Verninge (1893)"
1,9.76072121,55.80959324,2087,"2087=>Ølsted (856)"
1,8.810434,56.6441,1977,"1977=>Rødding (958)"
1,9.81387091,56.77518886,2033,"2033=>Rold skov (967)"
6,9.74794645,57.16692875,"2011 2012 2014 2015 2016 2010","2011=>Ry å (980)<br>2012=>Ry å (980)<br>2014=>Ry å (980)<br>2015=>Ry å (980)<br>2016=>Ry å (980)<br>2010=>Vildmosen (2614)"
3,10.012321,57.213567,"15280 15281 15282","15280=>Ry Å (981)<br>15281=>Ry Å (981)<br>15282=>Ry Å (981)"
1,8.8262537,55.31156766,15278,"15278=>Seem (1003)"
1,8.76125305,55.1559085,15302,"15302=>Skjærbæk (1053)"
1,8.960381,55.211422,15287,"15287=>Sneum Å (1088)"
2,8.75298581,55.70464667,"15287 15288","15287=>Kvie sø (4258)<br>15288=>Kvie sø (4258)"
1,8.63217387,55.46388899,15287,"15287=>Sneum (4266)"
1,11.90379063,54.63389441,15265,"15265=>Stavreby (1123)"
1,9.01802188,56.20596981,15297,"15297=>Sunds (1147)"
6,9.08690669,56.51416017,"2034 15241 15242 15289","2034=>Tastum sø (1181)<br>15241=>Tastum sø (1181)<br>15241=>Kobberup (2998)<br>15242=>Tastum sø (1181)<br>15242=>Kobberup (2998)<br>15289=>Tastum sø (1181)"
1,9.33453634,56.97674443,2071,"2071=>Tolstrup (1201)"
1,10.45547016,56.34646653,15257,"15257=>Torsager (1220)"
1,11.693337,54.700821,15294,"15294=>Torup (1231)"
3,9.19196978,55.87934678,"15311 2046 2047","15311=>Ullerup (1273)<br>2046=>Borup bæk (4534)<br>2047=>Borup bæk (4534)"
1,12.10579292,56.04808126,2006,"2006=>Tibirke (1366)"
1,12.09419004,55.65997809,2076,"2076=>Himmelev (1423)"
1,11.21334063,55.65521253,2092,"2092=>Smakkerup (1549)"
1,11.56194704,55.44008678,15271,"15271=>Sorø (1590)"
1,11.52566098,55.50739674,15269,"15269=>Munke-Bjærgby (1602)"
1,11.34728641,55.28568455,2066,"2066=>Egitslevmagle (1662)"
1,12.28696514,54.9899554,15260,"15260=>Stege (1760)"
1,12.48500029,54.98462945,2031,"2031=>Hune sø (1767)"
1,14.99614509,55.02772147,1994,"1994=>Persker (1803)"
2,11.50911616,54.77425467,15270,"15270=>Maribo (1806)<br>15270=>Maribo Sø (4551)"
1,11.41900123,54.94677054,1991,"1991=>Vejrø (1828)"
2,11.92352222,54.71117023,"2044 2008","2044=>Hasselø-noret (1856)<br>2008=>Højet (1857)"
1,10.56795957,55.32034324,2073,"2073=>Ferritslev (1913)"
1,10.39599158,55.3017613,2052,"2052=>Dømmestrup (1917)"
1,9.80011611,55.46035275,2005,"2005=>Svinø (1997)"
2,10.56422311,57.72685939,"15246 15259","15246=>Skagen (2184)<br>15259=>Skagen (2184)"
1,10.1928376,57.58773669,2093,"2093=>Tværsted å (2196)"
5,10.4799494,57.47709661,"15249 15248 15262","15249=>Bratten (2204)<br>15249=>Elling (2205)<br>15248=>Elling (2205)<br>15248=>Jerup (4679)<br>15262=>Elling (2205)"
1,10.31384379,57.48321395,2075,"2075=>Skjørtholt (2215)"
3,9.85419987,57.45078351,"2021 2022 2023","2021=>Liver å (2232)<br>2022=>Liver å (2232)<br>2023=>Liver å (2232)"
1,10.13688564,57.42516618,15298,"15298=>Ugilt (2242)"
1,10.00262436,57.36224501,15292,"15292=>Vrejlev (2314)"
1,9.95603185,57.16277574,15292,"15292=>Sulsted (2637)"
1,8.89755494,55.97740889,15292,"15292=>Selstrup (4093)"
1,10.09226362,57.2849937,15263,"15263=>Jerslev (2342)"
1,9.99781555,57.24808351,15239,"15239=>Øster-Brønderslev (2348)"
2,9.69964954,57.27219689,"2013 15256","2013=>Rendbæk (2360)<br>15256=>Salvig (2362)"
1,9.71390405,57.06848707,15285,"15285=>Gjøl (2384)"
1,9.93214951,57.04020941,15285,"15285=>Ålborg (2607)"
1,9.50899595,57.09430845,15236,"15236=>Brovst (2398)"
1,9.35531249,57.13535335,1981,"1981=>Torup strand (2434)"
1,8.451104,56.86868,15272,"15272=>Sønder-Hå (2494)"
4,9.96556941,57.17978982,"2036 2037 2038 2039","2036=>Gåselunerne (2638)<br>2037=>Gåselunerne (2638)<br>2038=>Gåselunerne (2638)<br>2039=>Gåselunerne (2638)"
1,10.30657345,56.99519175,15251,"15251=>Hals (2656)"
1,9.61424246,56.94766364,2003,"2003=>Bislev (2714)"
1,9.68121288,56.96651518,2091,"2091=>Hule mølle (2716)"
1,9.28273477,56.72716896,2054,"2054=>Ullits (2818)"
1,9.53743676,56.96224749,2056,"2056=>Sebber sund (2880)"
1,9.054866,56.745348,2059,"2059=>Hinnerup å (2937)"
2,9.14028051,56.62178612,"2009 15253","2009=>Lundø (2994)<br>15253=>Lundø (2994)"
2,9.55676757,56.55599601,"15268 2020","15268=>Hersom (3045)<br>2020=>Hersom å (3046)"
1,9.48690535,56.43894474,2082,"2082=>Tapdrup (3073)"
1,9.30317806,56.47897071,2081,"2081=>Kirkebæk (3087)"
1,9.61130651,56.51098866,2032,"2032=>Lang sø (3099)"
1,9.57743689,56.37366129,15291,"15291=>Vindum (3143)"
2,9.75427647,56.4540764,"2068 2064","2068=>Løvskal (3159)<br>2064=>Løvskal skov (3160)"
2,9.333894,56.286321,"2050 2051","2050=>Torning (3189)<br>2051=>Torning (3189)"
2,9.47110478,56.1483529,"15303 2048","15303=>Funder (3219)<br>2048=>Funder å (3220)"
