freq,longitude,latitude,story_ids,story_place
2,9.74794645,57.16692875,15444,"15444=>Åby (3)<br>15444=>Ulvskov (2633)"
1,9.8414759,54.96362819,15459,"15459=>Als (39)"
1,10.241232,56.866053,15459,"15459=>Tofte (1195)"
1,9.92891517,56.54533545,2391,"2391=>Asferg (69)"
3,9.8071931,57.15011259,"2352 2353","2352=>Bjærgsted (145)<br>2353=>Bjærgsted (145)<br>2353=>Nørr-Halne (2636)"
1,10.28792117,57.15748006,15449,"15449=>Dronninglund (242)"
2,11.25718547,55.36278196,"2325 2394","2325=>Foerlev (312)<br>2394=>Vemmelev (1649)"
1,11.73709316,55.71330482,15462,"15462=>Holbæk (495)"
2,9.5521637,55.71165991,"15462 15452","15462=>Vejle (1300)<br>15452=>Vejle (1300)"
1,10.93322495,55.15280828,15454,"15454=>Hov (532)"
1,10.30657345,56.99519175,15454,"15454=>Hals (2656)"
1,8.76125305,55.1559085,15438,"15438=>Husum (555)"
1,9.970865,56.094473,15434,"15434=>Jegsen (584)"
1,9.99651253,56.09972201,15434,"15434=>Adslev (3581)"
1,12.16277647,55.00013266,2322,"2322=>Kalvhave (591)"
1,9.7034546,55.85291154,15460,"15460=>Kornum (661)"
1,10.0483414,56.4586074,15453,"15453=>Randers (923)"
1,9.49686839,56.41942697,2392,"2392=>Randrup (926)"
1,11.34790612,55.41049695,2334,"2334=>Slagelse (1081)"
1,11.90379063,54.63389441,2328,"2328=>Stavreby (1123)"
1,10.49930672,55.13097468,15458,"15458=>Stenstrup (1131)"
2,10.11557169,57.38471485,15427,"15427=>Tårs (1166)<br>15427=>Sæsing (2307)"
1,9.57397269,55.67828641,15447,"15447=>Vinding (1317)"
1,12.57343889,56.01610814,2354,"2354=>Helsingør (1344)"
1,12.24081087,55.59752102,2324,"2324=>Greve (1434)"
1,11.29143588,55.48378264,2323,"2323=>Løve (1503)"
1,11.24787983,55.43713416,2329,"2329=>Næsby fed (1644)"
2,11.58779896,55.23357245,"15442 15461","15442=>Marvede (1674)<br>15461=>Marvede (1674)"
1,12.14493103,55.4144014,15431,"15431=>Herfølge (1691)"
2,11.75351597,55.17756856,"2384 15443","2384=>Rettestrup. Vejlø (1729)<br>15443=>Vejlø (1730)"
1,14.92711625,55.06815377,2416,"2416=>Åker (1780)"
2,11.5637071,54.76184575,"2397 2417","2397=>Engelstofte (1833)<br>2417=>Engelstofte (1833)"
3,11.78666929,54.75407107,"15428 15429 15448","15428=>Toreby (1836)<br>15429=>Toreby (1836)<br>15448=>Toreby (1836)"
1,10.6106881,55.25116917,2395,"2395=>Lindeskov (2142)"
1,10.72419846,54.86456408,2411,"2411=>Hennetved (2168)"
2,10.4799494,57.47709661,15446,"15446=>Bratten (2204)<br>15446=>Elling (2205)"
1,9.94435879,57.52981312,15445,"15445=>Tornby (2256)"
1,9.74889991,56.8216214,2326,"2326=>Ersted (2697)"
1,9.3360757,56.86446245,2343,"2343=>Borregårde (2800)"
1,10.35100168,56.36874798,2333,"2333=>Termestrup (3384)"
2,9.737277,55.892376,15455,"15455=>Tamdrup (3738)<br>15455=>Vrønding (3741)"
1,9.69706081,55.80268336,2393,"2393=>Løsning (3791)"
1,9.54601738,55.7627968,2415,"2415=>Grejs (3803)"
2,9.24934405,55.69568351,15433,"15433=>Randbøl (3878)<br>15433=>Vandel (3879)"
1,8.38210526,56.52741547,15426,"15426=>Fabjærg (3980)"
1,8.81679207,55.06013901,2349,"2349=>Vollum (4473)"
1,12.28696514,54.9899554,15441,"15441=>Bissinge (4557)"
