freq,longitude,latitude,story_ids,story_place
2,9.4116545,55.04862654,"7461 12649","7461=>Åbenrå (1)<br>12649=>Åbenrå (1)"
8,9.35986674,55.11536159,"7461 7447 7448 7449 7450 7455 7451 21256","7461=>Haverslund (4503)<br>7447=>Gjenner (4501)<br>7448=>Gjenner (4501)<br>7449=>Gjenner (4501)<br>7450=>Gjenner (4501)<br>7455=>Gjenner (4501)<br>7451=>Haverslund (4503)<br>21256=>Øster-Løgum (4508)"
8,9.74794645,57.16692875,"13301 13322 13422 13014 13276 12650 13013 12626","13301=>Åby (3)<br>13322=>Åby (3)<br>13422=>Åby (3)<br>13014=>Vedsted (1294)<br>13276=>Fristrup (320)<br>12650=>Vedsted (1294)<br>13013=>Vedsted (1294)<br>12626=>Birkelse (4667)"
1,9.96556941,57.17978982,12674,"12674=>Ajstrup (16)"
5,10.14363148,56.67328465,"12552 12542 12603 12463","12552=>Ajstrup (18)<br>12542=>Norup (839)<br>12603=>Norup (839)<br>12603=>Vindblæs (1313)<br>12463=>Vindblæs (1313)"
2,9.78978849,56.3168746,"12571 13338","12571=>Ajt (19)<br>13338=>Ajt (19)"
4,8.28146,55.632333,"13545 21114 12685 13503","13545=>Ål (22)<br>21114=>Ål (22)<br>12685=>Skjødstrup (1064)<br>13503=>Børsmose (4230)"
3,10.30975213,57.61903603,"13475 12787 21160","13475=>Ålbæk (25)<br>12787=>Råbjærg (916)<br>21160=>Råbjærg (916)"
4,9.93214951,57.04020941,"13014 13336 13434 13470","13014=>Ålborg (27)<br>13336=>Ålborg (27)<br>13434=>Ålborg (27)<br>13470=>Ålborg (27)"
4,9.8071931,57.15011259,"13014 13013 12337 12390","13014=>Nørr-Halne (2636)<br>13013=>Nørr-Halne (2636)<br>12337=>Nørr-Halne (2636)<br>12390=>Nørr-Halne (2636)"
1,10.40375545,57.36109528,13434,"13434=>Karup (600)"
1,10.07121933,56.94828516,13470,"13470=>Gudum (370)"
6,12.03507793,55.08196045,"12843 13542 13424 13148 21134 21216","12843=>Allerslev (31)<br>13542=>Tjørnehoved (1745)<br>13424=>Tjørnehoved (1745)<br>13148=>Tjørnehoved (1745)<br>21134=>Tjørnehoved (1745)<br>21216=>Tjørnehoved (1745)"
1,9.4886069,55.5670455,12170,"12170=>Almind (37)"
1,8.41666096,55.5895359,21225,"21225=>Alslev (41)"
1,8.479085,55.534897,21225,"21225=>Åstrup (105)"
3,9.26398226,56.70269291,"12357 12396 12663","12357=>Alstrup (45)<br>12396=>Alstrup (45)<br>12663=>Alstrup (45)"
6,9.2363639,56.69459991,"12357 12396 13145 12356 12397 21084","12357=>Hule (2821)<br>12396=>Lovns (2823)<br>13145=>Hessel (452)<br>12356=>Hule (2821)<br>12397=>Lovns (2823)<br>21084=>Lovns (2823)"
4,9.27023832,56.73474316,"12663 7489 12221 21297","12663=>Fovlum (316)<br>7489=>Fovlum (316)<br>12221=>Fovlum (316)<br>21297=>Fovlum (316)"
1,9.23692909,55.48401691,12194,"12194=>Andst (53)"
2,9.74889991,56.8216214,"13271 12382","13271=>Årestrup (54)<br>12382=>Ersted (2697)"
3,10.19506313,56.16685115,"12607 21099 21184","12607=>Århus (55)<br>21099=>Århus (55)<br>21184=>Århus (55)"
2,10.89117652,56.40594271,"21099 13006","21099=>Grenå (364)<br>13006=>Bredstrup (191)"
3,8.95267034,56.14219771,"21099 21112 21120","21099=>Herning (446)<br>21112=>Herning (446)<br>21120=>Herning (446)"
1,8.15001308,55.96646108,21099,"21099=>Holmslands klit (504)"
2,9.86197942,55.85797729,"21099 21185","21099=>Horsens (525)<br>21185=>Horsens (525)"
1,10.0483414,56.4586074,21099,"21099=>Randers (923)"
9,8.77858359,55.33618399,"21099 12260 21098 21066 12718 13559 21041 21304 21316","21099=>Ribe herred (944)<br>12260=>Ribe (945)<br>21098=>Ribe herred (944)<br>21066=>Ribe herred (944)<br>12718=>Ribe (945)<br>13559=>Ribe (945)<br>21041=>Ribe (945)<br>21304=>Ribe (945)<br>21316=>Ribe (945)"
5,9.5521637,55.71165991,"21099 21045 21046 21215 21235","21099=>Vejle (1300)<br>21045=>Vejle (1300)<br>21046=>Vejle (1300)<br>21215=>Vejle (1300)<br>21235=>Vejle (1300)"
3,8.73672367,56.81203718,"21099 12429 13334","21099=>Mors (2550)<br>12429=>Mors (2550)<br>13334=>Mors (2550)"
3,10.28886161,56.75487617,"21099 12699 13498","21099=>Als, Sønderborg amt (2751)<br>12699=>Hurup (552)<br>13498=>Tofte (1194)"
2,8.61016464,56.36097923,"21099 21111","21099=>Holstebro (3961)<br>21111=>Holstebro (3961)"
2,8.41956866,56.00107272,"21099 13002","21099=>Dejbjærg (4160)<br>13002=>Dejbjærg (4160)"
1,9.56740057,55.32125568,21099,"21099=>Fjends (4383)"
1,10.67575,56.19466,21099,"21099=>Æbeltoft (4632)"
1,8.98848366,56.01340869,21100,"21100=>Arnborg (56)"
2,9.67463947,56.78461746,"21100 12198","21100=>Haverslev (424)<br>12198=>Åstrup (95)"
1,8.75963174,55.85061708,21100,"21100=>Hoven (539)"
3,9.81387091,56.77518886,"21100 21231 13296","21100=>Rold (2776)<br>21231=>Rold (2776)<br>13296=>Rold (2776)"
14,9.23259893,55.8468133,"21100 21236 21237 13460 13471 13486 21142 13433 13525 21199 21300 13544 13176","21100=>Give (3829)<br>21236=>Give (3829)<br>21237=>Give (3829)<br>13460=>Give (3829)<br>13471=>Give (3829)<br>13486=>Give (3829)<br>13486=>Sillesthoved (3831)<br>21142=>Give (3829)<br>13433=>Give (3829)<br>13525=>Give (3829)<br>21199=>Give (3829)<br>21300=>Give (3829)<br>13544=>Sillesthoved (3831)<br>13176=>Stenbjærglund (3833)"
5,9.25779543,55.90628978,"21100 13363 13378 13379 21278","21100=>Tyregod (3835)<br>13363=>Tyregod (3835)<br>13378=>Tyregod (3835)<br>13379=>Tyregod (3835)<br>21278=>Tyregod (3835)"
2,9.12705174,55.9459115,"21100 21098","21100=>Brande (3837)<br>21098=>Brande (3837)"
1,8.89396153,55.83813703,21100,"21100=>Sønder-Omme (3845)"
2,8.89755494,55.97740889,"21100 12225","21100=>Skarrild (4092)<br>12225=>Selstrup (4093)"
2,8.56522933,56.25754291,"21100 21243","21100=>Vind (4123)<br>21243=>Vind (4123)"
1,8.53003402,56.17769268,21100,"21100=>Nørre-Omme (4135)"
1,10.15214764,56.39792757,12318,"12318=>Årslev (60)"
1,10.02216133,55.75891388,12625,"12625=>As (65)"
7,10.00194886,55.89344365,"12098 13394 13003 12099 13507 13508 13509","12098=>Ås (66)<br>13394=>Ås (66)<br>13003=>Tyrrestrup (1265)<br>12099=>Bringsted (3729)<br>13507=>Søvind (3730)<br>13508=>Søvind (3730)<br>13509=>Søvind (3730)"
3,11.21334063,55.65521253,"13491 13233 13290","13491=>Assendrup (75)<br>13233=>Snæveris skov (1551)<br>13290=>Værslev (1552)"
1,10.19538302,55.99397479,12742,"12742=>Assendrup (76)"
1,10.09445251,56.67529905,13419,"13419=>Assens (78)"
1,10.12307693,56.44894159,13568,"13568=>Assentoft (79)"
1,8.98817125,56.76991976,12635,"12635=>Åsted (82)"
2,10.09554613,57.47845447,"12788 12210","12788=>Astrup (83)<br>12210=>Bøgsted (4680)"
4,9.97477036,56.76993809,"7458 21176 21177 13135","7458=>Astrup (84)<br>21176=>Astrup (84)<br>21177=>Astrup (84)<br>13135=>Lille-Arden (2769)"
5,10.30400662,56.26357453,"12759 13113 12171 12741","12759=>Åstrup (97)<br>12759=>Skjødstrup (1063)<br>13113=>Segalt (3471)<br>12171=>Skjødstrup (1063)<br>12741=>Skjødstrup (1063)"
3,8.82771692,55.57328956,"12237 12260 21246","12237=>Åstrup (102)<br>12260=>Åstrup (102)<br>21246=>Åstrup (102)"
