Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
12.55338778,55.68488326,11.21559751,55.61861785,1,266,84.35,4300,4685=>1266
12.55338778,55.68488326,10.68640214,56.30044853,1,301,134.93,4709,4685=>3434
12.55338778,55.68488326,11.30930063,55.50046107,1,256,80.9,4606,4685=>303
12.55338778,55.68488326,11.30667568,55.54653956,1,259,79.87,4690,4685=>990
12.55338778,55.68488326,11.4397201,55.80248958,1,281,71,4583,4685=>289
12.55338778,55.68488326,10.84759727,56.37121286,1,306,130.74,4752,4685=>42
12.55338778,55.68488326,11.06625641,55.69549401,1,271,93.32,4734,4685=>1328
12.55338778,55.68488326,9.66768366,55.97080928,1,281,183.2,4270,4685=>3670
12.55338778,55.68488326,9.35986674,55.11536159,1,254,211.57,4871,4685=>4505
12.55338778,55.68488326,10.60926315,55.39837118,1,256,126.53,4813,4685=>1934
12.55338778,55.68488326,12.01929904,55.7797722,2,288,35.1,"4931 17362","4685=>1389 4685=>1389"
12.55338778,55.68488326,9.90012939,55.27057781,2,256,173.61,"4292 4871","4685=>77 4685=>77"
12.55338778,55.68488326,10.74455972,56.36650725,1,305,135.71,17211,4685=>751
12.55338778,55.68488326,11.81749277,55.15569473,1,219,75.04,17274,4685=>1732
12.55338778,55.68488326,11.76354234,55.22707239,2,225,71.29,"17326 17363","4685=>1685 4685=>1685"
12.55338778,55.68488326,11.75351597,55.17756856,2,222,75.77,"17326 17326","4685=>1730 4685=>4563"
12.55338778,55.68488326,10.17650943,55.53871987,1,265,150.32,17363,4685=>1967
9.01688742,55.5661491,9.24934405,55.69568351,1,45,20.53,4619,5941=>3878
8.24156208,56.26451832,8.20005733,56.23337586,3,217,4.31,"4435 4438 4438","5825=>4143 5825=>4142 5825=>4143"
8.24156208,56.26451832,10.0272562,55.41308723,2,130,146.42,"4249 4249","5825=>1985 5825=>1987"
8.24156208,56.26451832,10.39005511,55.39681993,1,125,165.44,4346,5825=>850
8.24156208,56.26451832,9.24934405,55.69568351,1,135,89.16,4618,5825=>3878
8.24156208,56.26451832,8.702898,56.08892904,1,124,34.63,4622,5825=>4153
9.88182547,56.11098135,9.77414217,56.10741748,1,267,6.7,4893,5569=>3640
8.7024578,56.20224399,9.14028051,56.62178612,1,30,53.93,4586,6457=>2994
8.80624546,55.11730256,9.10258616,54.94658235,2,135,26.81,"4379 4568","6004=>4486 6004=>4486"
8.80624546,55.11730256,8.94781772,55.06049031,1,125,11.02,4486,6004=>4477
8.80624546,55.11730256,9.07018611,54.91668922,1,143,27.97,4568,6004=>4489
8.80624546,55.11730256,9.21313241,55.07592424,1,100,26.32,4876,6004=>435
8.80624546,55.11730256,8.96530936,54.94760919,1,152,21.44,4876,6004=>4482
9.17733486,55.80010134,9.7076326,56.07812985,3,47,45.29,"4556 4556 4960","5695=>979 5695=>3644 5695=>979"
9.17733486,55.80010134,9.23259893,55.8468133,1,34,6.24,4301,5693=>3829
9.17733486,55.80010134,9.373212,55.885195,1,52,15.48,4678,5693=>3821
9.17733486,55.80010134,9.55584445,55.75117948,1,103,24.32,4302,5693=>519
11.79638975,55.6060789,14.80962319,55.16979401,1,103,196.6,4545,4714=>1784
11.79638975,55.6060789,11.91814447,55.57810525,1,112,8.27,4567,4714=>1427
11.79638975,55.6060789,11.90265841,55.59897988,1,97,6.73,4567,4714=>1431
11.79638975,55.6060789,11.77232596,54.90879,1,181,77.64,4894,4714=>1847
11.79638975,55.6060789,11.76838014,55.49068151,1,188,12.97,4902,4714=>1616
9.68121288,56.96651518,9.97517409,56.69650549,1,149,34.98,4800,2721=>2764
9.68121288,56.96651518,9.9843203,56.65025328,1,152,39.76,4800,2721=>4648
9.99781555,57.24808351,10.28792117,57.15748006,2,120,20.19,"4466 4742","2348=>2290 2348=>242"
9.99781555,57.24808351,9.89119526,57.415178,1,341,19.67,4729,4998=>1006
10.11913347,56.53164726,10.14363148,56.67328465,2,5,15.84,"4733 4926","6340=>1313 6340=>1313"
10.11913347,56.53164726,10.12903027,56.49923012,1,170,3.66,4494,6340=>779
10.11913347,56.53164726,10.24204167,56.66137113,4,28,16.29,"4527 4527 4527 4733","6340=>638 6340=>3260 6340=>3262 6340=>3261"
10.11913347,56.53164726,9.9843203,56.65025328,2,328,15.58,"4799 4915","6340=>4648 6340=>768"
