Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
9.90560469,56.08546193,10.00026428,55.15714245,1,177,103.51,11943,4860=>150
12.55338778,55.68488326,11.77046667,55.6131776,1,261,49.82,11801,4685=>1474
12.55338778,55.68488326,11.38889372,55.5570049,1,259,74.57,11664,4685=>938
9.01688742,55.5661491,9.271131,55.769331,1,35,27.68,20836,4313=>1087
9.01688742,55.5661491,9.32137834,55.77096642,1,40,29.75,20836,4313=>3858
8.24156208,56.26451832,9.41612043,55.75406825,1,127,92.58,11811,5825=>3880
8.24156208,56.26451832,8.49550545,55.95083856,1,156,38.31,11954,5825=>4168
9.88182547,56.11098135,9.8356371,56.07811135,1,218,4.65,12046,5568=>3587
9.88182547,56.11098135,10.10701929,56.18867908,1,58,16.43,11603,5567=>3491
8.7024578,56.20224399,8.810434,56.6441,1,8,49.63,11712,6457=>958
8.80624546,55.11730256,9.25058971,54.9343524,1,125,34.91,11858,6004=>4491
9.17733486,55.80010134,9.271131,55.769331,1,120,6.8,11546,5693=>1087
9.17733486,55.80010134,9.23259893,55.8468133,1,34,6.24,11601,5693=>3829
11.79638975,55.6060789,12.05240733,55.11870202,2,163,56.62,"11894 20992","4714=>1684 4714=>1684"
11.79638975,55.6060789,12.36839227,55.73155762,1,69,38.53,11986,4714=>1418
9.31819277,55.02032089,9.66825625,54.88991599,2,123,26.67,"12083 11974","6022=>573 6023=>4538"
9.68121288,56.96651518,9.61424246,56.94766364,1,243,4.57,11845,2721=>2708
9.68121288,56.96651518,9.64459583,56.98237689,1,308,2.84,11972,2721=>2610
9.32170212,55.51180511,9.737277,55.892376,2,31,49.74,"11701 11716","4295=>3735 4295=>3739"
9.32170212,55.51180511,9.835092,56.024633,1,29,65.52,11702,4295=>3570
9.32170212,55.51180511,10.64791633,55.49989519,1,90,83.62,11968,5937=>1938
9.99781555,57.24808351,10.28792117,57.15748006,1,120,20.19,11915,2348=>242
9.99781555,57.24808351,10.31225829,57.2885669,2,76,19.46,"11550 12074","2348=>2278 2348=>248"
9.99781555,57.24808351,10.32289645,57.34965454,1,60,22.58,12074,2348=>1222
9.99781555,57.24808351,10.00262436,57.36224501,1,1,12.71,12074,2348=>372
9.99781555,57.24808351,10.35104153,57.24032431,1,92,21.29,11550,2348=>2283
9.99781555,57.24808351,10.19922035,57.5422646,1,20,34.91,11550,2348=>127
9.99781555,57.24808351,10.1928376,57.58773669,1,17,39.58,11550,2348=>2194
9.99781555,57.24808351,10.11185967,56.88367465,1,170,41.15,12057,2348=>2724
9.99781555,57.24808351,10.478597,57.333876,1,72,30.46,12074,2348=>992
10.11913347,56.53164726,10.24204167,56.66137113,1,28,16.29,11883,6340=>3259
10.11913347,56.53164726,9.9843203,56.65025328,1,328,15.58,11739,6340=>768
10.11913347,56.53164726,10.22120378,56.63603356,1,28,13.2,11883,6340=>3264
10.11913347,56.53164726,10.05761217,56.44301184,1,201,10.57,11989,6340=>3350
9.93800241,55.79863714,9.86197942,55.85797729,1,324,8.14,11902,5682=>525
9.93800241,55.79863714,10.0789662,55.8261813,1,71,9.34,11916,5682=>3787
9.68866011,56.1539,9.38999496,55.96506418,1,222,28.04,11542,6475=>4621
9.68866011,56.1539,9.271131,55.769331,1,212,50.1,11542,6475=>1087
9.68866011,56.1539,9.373212,55.885195,1,213,35.78,11542,6475=>3819
9.68866011,56.1539,9.23259893,55.8468133,1,220,44.44,11599,6475=>3829
9.14255855,55.47592324,9.30436222,55.71874186,1,21,28.88,11783,4334=>3868
9.14255855,55.47592324,9.1999361,55.52522839,1,33,6.57,12027,5952=>4592
8.46526917,56.51842152,8.40990349,56.55878913,1,323,5.63,11950,371=>3964
8.46526917,56.51842152,8.21046211,56.48868136,2,258,16,"11673 11939","371=>4006 371=>4006"
8.46526917,56.51842152,8.18454087,56.44940382,1,246,18.89,11689,371=>3968
8.46526917,56.51842152,8.12263815,56.52656399,1,273,21.06,11689,371=>4001
8.46526917,56.51842152,8.52895848,56.60646432,1,22,10.55,12023,5765=>1146
9.66542509,55.59473397,9.71521383,55.54197639,1,152,6.66,12051,5732=>3916
9.49149073,55.49190407,10.06132516,56.60052834,2,16,128.39,"20880 20978","656=>620 656=>620"
9.49149073,55.49190407,10.65777485,55.45303825,2,93,73.71,"20880 20978","656=>4581 656=>4581"
9.49149073,55.49190407,10.60946083,55.46615784,1,92,70.58,20978,656=>1922
10.52468885,55.17876846,10.60044103,55.21933629,1,47,6.6,11982,4869=>2106
10.52468885,55.17876846,10.430304,55.23965024,1,318,9.05,11901,4869=>2070
10.52468885,55.17876846,10.49370528,55.35536226,1,354,19.76,11961,4869=>1904
10.52468885,55.17876846,10.49930672,55.13097468,1,197,5.56,11878,4869=>2037
10.52468885,55.17876846,10.71589465,55.24233713,1,60,14.06,11900,4869=>322
10.52468885,55.17876846,10.53161141,55.23721546,1,4,6.52,11893,4869=>2105
10.52468885,55.17876846,10.25663507,55.23168692,1,289,18.02,11938,4869=>2077
8.95267034,56.14219771,8.90706651,56.13391485,1,252,2.98,20933,446=>4088
9.97477036,56.76993809,9.68121288,56.96651518,1,321,28.25,11622,6448=>2720
9.97477036,56.76993809,10.01075277,56.88382407,1,10,12.87,11695,5151=>526
9.97477036,56.76993809,9.27023832,56.73474316,2,265,43.18,"11695 11575","5151=>228 6447=>2819"
9.97477036,56.76993809,9.51687125,56.76774438,1,270,27.94,11565,6447=>2814
9.97477036,56.76993809,9.33595226,56.77379815,1,271,38.97,11565,6447=>2841
12.57120585,55.76203412,10.13314571,56.31072258,2,293,163.45,"11859 11859","4691=>1178 4691=>3335"
12.57120585,55.76203412,10.26903861,56.24806097,1,292,153.15,11852,4691=>3479
12.24678687,55.68206385,12.40009611,55.67068148,1,97,9.71,12066,4692=>1407
10.53161141,55.23721546,10.74650728,55.17597852,1,116,15.26,12017,4878=>2115
10.53161141,55.23721546,10.6878531,55.21758178,1,102,10.16,11966,4878=>2112
10.53161141,55.23721546,10.71589465,55.24233713,1,87,11.71,11966,4878=>1170
10.53161141,55.23721546,10.53678096,55.28560022,1,3,5.4,11952,4878=>284
10.53161141,55.23721546,10.35468148,55.15306125,1,230,14.63,21017,2105=>2063
8.9366792,55.45078486,9.61833913,56.27388691,1,25,101.04,11560,5944=>367
8.9366792,55.45078486,9.66364638,56.22223224,1,28,97.16,11560,5944=>173
9.5521637,55.71165991,9.23259893,55.8468133,2,307,25.03,"20861 20861","1300=>3829 1300=>3831"
9.5521637,55.71165991,10.20971375,56.35500512,1,30,82.47,11825,1300=>3390
10.31667047,56.31261766,10.12774216,56.3615738,2,295,12.87,"11658 11744","5484=>817 5484=>975"
10.31667047,56.31261766,9.34811902,56.93022611,1,320,90.8,11658,5484=>1312
10.31667047,56.31261766,10.26903861,56.24806097,1,202,7.77,11853,5484=>3479
8.59144328,56.40590419,8.810434,56.6441,1,27,29.73,11693,4030=>846
