Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
12.55338778,55.68488326,10.25423316,55.48575526,1,262,146.33,2908,4685=>1976
12.55338778,55.68488326,10.58237489,55.42378724,1,258,127.46,3035,4685=>1927
12.55338778,55.68488326,10.60511284,55.34465585,1,254,128.5,3228,4685=>1909
12.55338778,55.68488326,9.5521637,55.71165991,1,272,188.29,3267,4685=>1300
12.55338778,55.68488326,10.64962174,56.40887366,1,305,143.19,2957,4685=>3421
12.55338778,55.68488326,11.30930063,55.50046107,1,256,80.9,2976,4685=>1513
12.55338778,55.68488326,11.1239032,54.89912876,1,227,125.93,16301,4685=>1812
12.55338778,55.68488326,12.36413324,55.78331028,1,313,16.15,3132,4685=>1420
12.55338778,55.68488326,12.57343889,56.01610814,1,2,36.89,2963,4685=>1344
12.55338778,55.68488326,10.60946083,55.46615784,1,260,124.73,2859,4685=>1922
12.55338778,55.68488326,9.810895,55.476376,1,263,174.11,2891,4685=>1326
12.55338778,55.68488326,9.90012939,55.27057781,1,256,173.61,2867,4685=>77
12.55338778,55.68488326,12.09151197,55.82302797,1,298,32.77,2964,4685=>1378
12.55338778,55.68488326,12.02079679,55.97133423,1,314,46.11,16037,4685=>1372
12.55338778,55.68488326,11.81092226,55.21758073,1,222,70.02,15931,4685=>1726
12.55338778,55.68488326,10.39005511,55.39681993,1,258,139.98,2960,4685=>850
9.46495051,56.20785556,8.30700823,56.19509868,1,269,71.72,2971,5342=>4137
9.01688742,55.5661491,8.77858359,55.33618399,1,211,29.69,16305,5941=>945
9.01688742,55.5661491,9.63609942,56.59030387,1,18,120.32,15841,4313=>3052
9.01688742,55.5661491,9.14370589,55.30843464,1,164,29.79,16238,5940=>4404
9.94495944,57.49944519,10.39599158,55.3017613,1,173,246.21,2986,4940=>1917
8.24156208,56.26451832,10.05643768,55.33038827,1,132,153.97,2836,5825=>870
8.24156208,56.26451832,10.04888973,55.2922877,1,133,156.57,2955,5825=>2015
8.24156208,56.26451832,8.12263815,56.52656399,2,346,30.08,"3115 3364","5825=>4001 5825=>4001"
8.24156208,56.26451832,9.78428526,56.63226828,1,66,103.36,15949,4107=>475
8.24156208,56.26451832,9.61130651,56.51098866,1,71,88.75,15996,4107=>3100
9.88182547,56.11098135,9.8356371,56.07811135,1,218,4.65,3070,5570=>3589
9.88182547,56.11098135,9.81101498,56.1519176,2,316,6.33,"3057 3217","5572=>3632 5572=>3632"
9.88182547,56.11098135,9.78611904,56.16882659,1,317,8.76,3197,5572=>1236
8.7024578,56.20224399,8.810434,56.6441,1,8,49.63,3054,6457=>958
8.80624546,55.11730256,8.81679207,55.06013901,2,174,6.4,"2987 3111","6004=>4469 6004=>4469"
9.17733486,55.80010134,9.7076326,56.07812985,1,47,45.29,3058,5695=>979
9.17733486,55.80010134,9.24202741,55.77058218,1,129,5.21,3096,5693=>3865
9.17733486,55.80010134,9.271131,55.769331,1,120,6.8,3096,5693=>1087
11.79638975,55.6060789,12.55338778,55.68488326,1,79,48.36,3209,1475=>1341
9.31819277,55.02032089,9.72628521,54.91338897,1,114,28.67,3216,6023=>4528
9.31819277,55.02032089,9.25394374,54.99353955,2,234,5.07,"3114 3361","6023=>4520 6023=>4520"
9.99781555,57.24808351,10.28792117,57.15748006,3,120,20.19,"16169 16183 16217","2348=>242 2348=>242 2348=>242"
9.99781555,57.24808351,10.10058993,57.24046025,1,98,6.25,15844,2348=>2299
9.99781555,57.24808351,10.00262436,57.36224501,1,1,12.71,16170,2348=>2314
9.99781555,57.24808351,11.19201772,55.21141201,1,161,238.45,16168,2348=>1673
10.11913347,56.53164726,10.12903027,56.49923012,1,170,3.66,2988,6340=>703
10.11913347,56.53164726,10.24204167,56.66137113,2,28,16.29,"3133 3231","6340=>136 6340=>136"
10.11913347,56.53164726,9.74560465,56.6547422,1,301,26.68,2907,6340=>508
10.11913347,56.53164726,10.15333015,56.64244951,2,10,12.51,"2909 3113","6340=>605 6340=>605"
10.11913347,56.53164726,10.08609309,56.38771491,1,187,16.15,3104,6340=>345
9.93800241,55.79863714,9.86197942,55.85797729,1,324,8.14,3367,5682=>525
9.93800241,55.79863714,10.0789662,55.8261813,1,71,9.34,2974,5682=>3787
9.93800241,55.79863714,10.89117652,56.40594271,1,41,89.84,3367,5682=>364
9.68866011,56.1539,9.373212,55.885195,3,213,35.78,"16239 16150 16150","6471=>3821 6471=>3819 6471=>3821"
