Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
12.55338778,55.68488326,10.68640214,56.30044853,2,301,134.93,"9702 9923","4685=>1193 4685=>3434"
12.55338778,55.68488326,8.31670931,56.75720487,1,296,288.05,9891,4685=>2520
12.55338778,55.68488326,10.60926315,55.39837118,1,256,126.53,9937,4685=>1934
12.55338778,55.68488326,12.57343889,56.01610814,1,2,36.89,9827,4685=>1344
12.55338778,55.68488326,8.67061542,56.81603075,1,299,271.09,9838,4685=>2590
9.46495051,56.20785556,9.40914342,56.19449478,1,247,3.76,20042,1021=>666
9.01688742,55.5661491,9.63609942,56.59030387,1,18,120.32,19981,4313=>3052
8.24156208,56.26451832,9.38319082,55.70244629,1,131,94.7,9836,5825=>3852
8.24156208,56.26451832,8.33953781,56.29960833,1,57,7.21,9728,5825=>4114
8.24156208,56.26451832,8.31181859,56.45083072,1,12,21.19,9987,5825=>4639
8.24156208,56.26451832,9.85700048,55.37125621,1,134,141.75,9999,5825=>2004
8.24156208,56.26451832,8.87320042,55.3718221,1,158,106.94,9974,5827=>4361
8.24156208,56.26451832,8.73244274,55.36384026,1,163,104.86,9682,5827=>4354
9.07696481,54.9699841,9.31819277,55.02032089,1,70,16.39,9645,6018=>1126
9.88182547,56.11098135,9.95281764,56.11665377,1,82,4.45,9825,5568=>3536
8.80624546,55.11730256,9.25058971,54.9343524,1,125,34.91,9717,6004=>4492
8.80624546,55.11730256,9.36239271,55.19519696,1,76,36.42,9906,6004=>1295
8.80624546,55.11730256,8.78636022,55.0094511,1,186,12.07,9931,6004=>4453
8.80624546,55.11730256,8.18988814,56.30624905,1,344,137.88,9666,6004=>4098
8.80624546,55.11730256,8.794384,56.265473,1,360,127.82,10011,6004=>107
9.17733486,55.80010134,9.937012,55.93928701,1,72,49.91,9772,5695=>1261
9.17733486,55.80010134,9.30436222,55.71874186,2,139,12.06,"20117 20117","5691=>3868 5691=>3871"
9.17733486,55.80010134,10.17381332,56.50485268,1,38,99.86,9812,5694=>1137
9.17733486,55.80010134,10.03578012,56.53842593,1,33,97.9,9812,5694=>3288
9.17733486,55.80010134,8.78193285,55.93835342,1,302,29.1,9812,5694=>4090
11.79638975,55.6060789,11.83510257,55.52285147,1,165,9.58,9684,4714=>479
11.79638975,55.6060789,12.55338778,55.68488326,1,79,48.36,9735,4714=>1341
11.79638975,55.6060789,12.11021698,55.46453395,1,128,25.28,9777,4714=>1687
