Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
12.55338778,55.68488326,9.97718946,56.22214714,1,291,171.32,24426,4685=>3515
9.01688742,55.5661491,8.77858359,55.33618399,3,211,29.69,"30782 30783 30321","5941=>945 5941=>945 5940=>945"
9.01688742,55.5661491,8.718767,55.392738,1,224,26.95,31006,5941=>583
9.01688742,55.5661491,8.73244274,55.36384026,1,219,28.8,31006,5941=>4355
9.01688742,55.5661491,8.96530936,54.94760919,1,183,68.93,30934,5941=>4482
9.01688742,55.5661491,8.9892034,55.50158803,5,194,7.4,"30324 30321 30327 30325 30325","5940=>203 5940=>203 5940=>203 5940=>203 5940=>281"
9.01688742,55.5661491,9.24419327,55.55835913,1,93,14.34,30191,5940=>4292
9.01688742,55.5661491,9.34202377,55.46310117,1,119,23.48,30291,5940=>4307
8.24156208,56.26451832,9.06787969,56.69700668,1,46,69.99,24475,5825=>285
8.24156208,56.26451832,9.02754383,56.82667681,1,37,79.01,24475,5825=>2963
9.88182547,56.11098135,9.8356371,56.07811135,1,218,4.65,24257,5570=>1014
9.88182547,56.11098135,9.348564,55.931241,1,239,38.74,24299,5567=>710
9.88182547,56.11098135,9.93019729,56.03898678,1,159,8.56,24221,5567=>1035
9.88182547,56.11098135,10.16351111,56.06922865,1,105,18.1,24280,5570=>770
8.7024578,56.20224399,8.810434,56.6441,1,8,49.63,24281,6456=>958
8.80624546,55.11730256,9.25058971,54.9343524,3,125,34.91,"24509 29788 30492","6004=>4492 6004=>4492 6004=>4492"
8.80624546,55.11730256,8.81679207,55.06013901,1,174,6.4,24821,6004=>4469
8.80624546,55.11730256,8.8669604,54.94019039,1,169,20.09,24720,6004=>1207
8.80624546,55.11730256,9.4116545,55.04862654,1,101,39.33,24213,6004=>1
8.80624546,55.11730256,9.10258616,54.94658235,2,135,26.81,"24845 30492","6004=>4486 6004=>4486"
9.17733486,55.80010134,9.38319082,55.70244629,2,130,16.87,"29944 30638","5691=>3856 5691=>113"
9.17733486,55.80010134,9.30436222,55.71874186,1,139,12.06,30638,5691=>3874
9.17733486,55.80010134,9.32137834,55.77096642,1,110,9.58,29826,5691=>974
9.17733486,55.80010134,8.92627143,55.75784153,1,253,16.41,24267,5692=>366
9.17733486,55.80010134,9.23259893,55.8468133,1,34,6.24,24261,5693=>3830
9.17733486,55.80010134,8.56476803,55.66314101,1,249,41.31,30638,5691=>831
9.17733486,55.80010134,8.77858359,55.33618399,1,206,57.42,30638,5691=>945
9.17733486,55.80010134,12.55338778,55.68488326,1,92,211.92,30638,5691=>1341
11.79638975,55.6060789,11.77046667,55.6131776,2,296,1.81,"30025 31009","4714=>1474 4713=>1473"
11.79638975,55.6060789,12.55338778,55.68488326,2,79,48.36,"31056 31011","4714=>1341 4713=>1341"
11.79638975,55.6060789,11.79244904,55.43881169,1,181,18.62,24445,4714=>950
11.79638975,55.6060789,12.03992675,55.57338978,1,103,15.75,24445,4714=>1453
11.79638975,55.6060789,11.608922,55.590339,1,262,11.92,30532,4713=>894
11.79638975,55.6060789,11.7649764,55.57309263,1,208,4.17,31008,4713=>1477
11.79638975,55.6060789,11.777472,55.640932,2,343,4.06,"31009 31010","4713=>772 4713=>772"
9.29617367,57.09917817,9.00383831,57.02701394,1,246,19.43,30570,5018=>2450
9.29617367,57.09917817,8.56931314,56.61326781,1,220,69.88,24394,5017=>2544
9.29617367,57.09917817,8.84204377,57.03302314,1,255,28.45,30570,5018=>889
