Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
12.55338778,55.68488326,12.49697944,55.87703196,1,351,21.68,9194,4685=>1358
12.55338778,55.68488326,9.50899595,57.09430845,1,311,244.52,8631,4685=>2398
12.55338778,55.68488326,10.430304,55.23965024,1,251,142.86,8747,4685=>2070
12.55338778,55.68488326,10.48957747,55.43023774,1,259,132.99,8912,4685=>1929
12.55338778,55.68488326,10.48172023,55.2383892,1,250,139.87,9437,4685=>2098
12.55338778,55.68488326,12.43071196,55.84474055,2,337,19.38,"8881 8739","4685=>1354 4685=>1356"
12.55338778,55.68488326,11.5637071,54.76184575,1,212,120.44,9171,4685=>1833
12.55338778,55.68488326,11.21334063,55.65521253,2,268,84.19,"9144 9152","4685=>1552 4685=>1552"
12.55338778,55.68488326,11.30930063,55.50046107,2,256,80.9,"8672 8672","4685=>1513 4685=>1514"
12.55338778,55.68488326,11.14059586,55.64646634,1,268,88.81,8664,4685=>1530
12.55338778,55.68488326,11.39288487,55.72992499,1,274,72.96,8911,4685=>1540
12.55338778,55.68488326,10.81577996,56.31368678,1,304,128.83,8750,4685=>3426
12.55338778,55.68488326,11.38081372,55.47713842,1,253,77.32,9059,4685=>1508
12.55338778,55.68488326,11.1239032,54.89912876,1,227,125.93,19373,4685=>1812
12.55338778,55.68488326,10.15273583,57.21287001,1,320,225.24,9435,4685=>434
12.55338778,55.68488326,10.16486773,57.26998552,1,321,229.53,9435,4685=>439
12.55338778,55.68488326,11.87018356,55.14565068,1,216,73.94,9546,4685=>394
12.55338778,55.68488326,12.26697621,55.79216521,1,304,21.56,9027,4685=>1379
12.55338778,55.68488326,11.99387683,55.83905468,2,296,39.02,"9027 9028","4685=>1385 4685=>1385"
12.55338778,55.68488326,11.5228518,55.7107697,1,273,64.71,9409,4685=>1492
12.55338778,55.68488326,12.57343889,56.01610814,2,2,36.89,"8908 8992","4685=>1344 4685=>1344"
12.55338778,55.68488326,12.62152375,56.01610814,2,7,37.12,"8761 9159","4685=>1345 4685=>1345"
12.55338778,55.68488326,11.79244904,55.43881169,1,241,55.18,19878,4685=>950
12.55338778,55.68488326,11.75351597,55.17756856,1,222,75.77,19860,4685=>1730
9.46495051,56.20785556,9.40914342,56.19449478,3,247,3.76,"9425 9604 8759","5342=>666 5342=>666 5342=>666"
9.01688742,55.5661491,11.58779896,55.23357245,1,102,166.67,19949,5941=>1674
9.01688742,55.5661491,9.07018611,54.91668922,2,177,72.38,"19621 19875","5941=>4489 5941=>4489"
9.01688742,55.5661491,8.76125305,55.1559085,1,200,48.45,19865,5941=>1053
9.01688742,55.5661491,8.89396153,55.83813703,1,346,31.24,19800,4313=>3845
8.24156208,56.26451832,8.65055798,55.95891424,1,143,42.45,8676,5825=>170
8.24156208,56.26451832,10.0272562,55.41308723,1,130,146.42,9423,5825=>1985
8.24156208,56.26451832,8.33953781,56.29960833,1,57,7.21,9453,5825=>4114
8.24156208,56.26451832,8.89396153,55.83813703,2,139,62.43,"9364 9559","5825=>3845 5825=>393"
8.24156208,56.26451832,9.40066468,55.65757088,1,133,98.9,9514,5826=>3892
8.24156208,56.26451832,9.41612043,55.75406825,1,127,92.58,8710,5825=>3881
8.24156208,56.26451832,8.14158228,56.47814353,1,345,24.57,8929,5825=>4011
8.24156208,56.26451832,8.50621919,56.0187194,1,149,31.91,9156,5825=>4164
8.24156208,56.26451832,9.12705174,55.9459115,2,122,65.42,"9419 9509","5825=>3837 5825=>3837"
8.24156208,56.26451832,8.80803228,56.60465638,1,42,51.47,9626,5825=>2983
8.24156208,56.26451832,9.44747622,55.70808741,1,129,97.34,9514,5826=>3848
8.24156208,56.26451832,8.73244274,55.36384026,1,163,104.86,9360,5827=>4354
9.88182547,56.11098135,9.73159609,56.11245692,1,271,9.33,9429,5569=>35
9.88182547,56.11098135,9.94934902,56.51501056,1,5,45.17,9213,5571=>3297
8.7024578,56.20224399,8.810434,56.6441,2,8,49.63,"8871 9611","6456=>2966 6457=>958"
8.7024578,56.20224399,8.73269709,56.59971085,1,2,44.28,8646,6456=>2986
8.7024578,56.20224399,9.05689351,55.36810054,1,166,95.47,19402,6456=>960
8.7024578,56.20224399,9.14028051,56.62178612,1,30,53.93,8730,6457=>2994
8.7024578,56.20224399,8.69072917,56.70084584,1,359,55.51,8996,6457=>2579
8.7024578,56.20224399,8.86226781,56.65591926,1,11,51.45,9320,6457=>2969
8.80624546,55.11730256,8.81679207,55.06013901,1,174,6.4,9125,6004=>4471
8.80624546,55.11730256,9.36239271,55.19519696,2,76,36.42,"8765 9179","6004=>4397 6004=>4564"
8.80624546,55.11730256,8.8669604,54.94019039,1,169,20.09,9278,6004=>1207
8.80624546,55.11730256,9.4116545,55.04862654,1,101,39.33,9420,6004=>1
8.80624546,55.11730256,8.78636022,55.0094511,1,186,12.07,9512,6004=>4455
8.80624546,55.11730256,8.74156409,54.9701922,1,194,16.89,8627,6004=>4452
8.80624546,55.11730256,9.45534661,55.18028273,1,80,41.88,8763,6004=>4371
8.80624546,55.11730256,9.33949841,55.05584055,1,101,34.66,9420,6004=>952
8.80624546,55.11730256,9.04227411,55.00316108,1,130,19.69,9599,6004=>40
9.17733486,55.80010134,9.7076326,56.07812985,1,47,45.29,9535,5695=>3647
9.17733486,55.80010134,9.45071866,56.04025959,1,32,31.71,9155,5695=>3676
9.17733486,55.80010134,9.30436222,55.71874186,2,139,12.06,"19417 19417","5691=>3868 5691=>3871"
9.17733486,55.80010134,9.23259893,55.8468133,2,34,6.24,"9022 9228","5693=>3830 5693=>3826"
11.79638975,55.6060789,11.91814447,55.57810525,1,112,8.27,8708,4714=>1428
11.79638975,55.6060789,11.87311353,55.63569967,2,56,5.84,"9345 9345","4714=>1429 4714=>1430"
9.31819277,55.02032089,8.8669604,54.94019039,1,253,30.17,9279,6022=>1207
9.31819277,55.02032089,8.78636022,55.0094511,2,268,33.97,"19942 19942","6023=>4453 6023=>4455"
9.68121288,56.96651518,9.61424246,56.94766364,1,243,4.57,9573,2721=>2714
9.68121288,56.96651518,9.53743676,56.96224749,1,267,8.74,9012,2721=>2880
9.68121288,56.96651518,9.63964619,56.89998491,3,199,7.82,"9174 9284 9474","2721=>2707 2721=>2706 2721=>2706"
9.32170212,55.51180511,9.30973468,55.61507191,1,356,11.52,9370,4295=>3899
9.32170212,55.51180511,9.07018611,54.91668922,1,194,68.15,9072,5936=>4490
9.99781555,57.24808351,10.15273583,57.21287001,1,113,10.12,9435,2348=>434
9.99781555,57.24808351,10.16486773,57.26998552,1,76,10.35,9435,2348=>439
9.99781555,57.24808351,10.09226362,57.2849937,1,54,7.01,8642,2348=>2342
9.99781555,57.24808351,10.28792117,57.15748006,3,120,20.19,"9157 9570 19591","2348=>242 2348=>242 2348=>242"
9.99781555,57.24808351,10.10058993,57.24046025,1,98,6.25,8942,2348=>2300
9.99781555,57.24808351,10.32289645,57.34965454,1,60,22.58,8641,2348=>2275
9.99781555,57.24808351,9.80331066,57.29650619,1,295,12.89,8854,2348=>2327
9.99781555,57.24808351,9.81387091,56.77518886,1,192,53.81,8845,2348=>967
9.99781555,57.24808351,10.43807204,57.31823044,2,73,27.62,"9324 9330","2348=>1332 2348=>1077"
10.94768309,55.73466966,9.90594911,55.480346,1,247,71.36,9362,933=>74
10.11913347,56.53164726,10.17376224,56.5442071,1,67,3.63,8735,6340=>3294
10.11913347,56.53164726,10.24204167,56.66137113,2,28,16.29,"8893 9045","6340=>3259 6340=>136"
10.11913347,56.53164726,10.03578012,56.53842593,2,278,5.17,"8609 8990","6340=>3288 6340=>3287"
10.11913347,56.53164726,10.03486015,56.61377013,2,331,10.5,"9232 9233","6340=>444 6340=>444"
10.11913347,56.53164726,10.33760845,56.50255801,1,103,13.8,9186,6340=>3348
10.11913347,56.53164726,9.3617377,56.71405477,2,294,50.63,"9344 9407","6340=>3029 6340=>3029"
10.11913347,56.53164726,10.02530132,56.41896103,1,205,13.81,9381,6340=>3308
10.11913347,56.53164726,10.17381332,56.50485268,1,132,4.49,9572,6340=>1137
10.11913347,56.53164726,10.18655208,56.57922546,1,38,6.72,19730,6340=>3270
10.11913347,56.53164726,11.58779896,55.23357245,1,147,171.13,19730,6340=>1675
9.93800241,55.79863714,9.87513313,55.82054042,2,302,4.63,"19891 19891","5682=>155 5682=>3761"
9.93800241,55.79863714,9.78571328,55.72107171,1,228,12.87,19538,5682=>3766
9.93800241,55.79863714,10.0036492,55.80811982,1,76,4.24,9209,5682=>585
9.93800241,55.79863714,10.023887,55.746783,1,137,7.89,9209,5682=>904
9.68866011,56.1539,9.25779543,55.90628978,3,224,38.44,"8702 19435 19576","6475=>3835 6471=>3835 6472=>3835"
9.68866011,56.1539,9.42949692,55.80849147,1,203,41.7,9515,6475=>3812
9.68866011,56.1539,10.16468114,56.36638954,1,51,37.76,8900,5576=>641
9.68866011,56.1539,8.75039165,56.40578678,1,296,64.41,19719,6471=>160
9.68866011,56.1539,10.03578012,56.53842593,1,26,47.86,19576,6472=>3286
9.14255855,55.47592324,9.6598159,55.65100588,3,59,37.95,"19715 19715 8785","5946=>563 5946=>3923 4334=>3923"
9.14255855,55.47592324,9.1999361,55.52522839,1,33,6.57,8719,4334=>4305
9.14255855,55.47592324,9.56585006,55.61130034,2,60,30.62,"8770 8994","4334=>639 4334=>3927"
9.14255855,55.47592324,9.61130651,56.51098866,1,14,118.86,9183,4334=>3100
9.14255855,55.47592324,9.40682962,56.55223769,1,8,120.94,8870,4334=>503
9.14255855,55.47592324,9.30272533,56.56686453,1,5,121.85,9103,4334=>3069
