Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
12.55338778,55.68488326,11.59905949,55.91342466,1,293,64.91,4055,4685=>1556
12.55338778,55.68488326,11.61967591,55.38041327,1,240,67.89,3837,4685=>1596
12.55338778,55.68488326,11.6609647,54.87284723,1,212,106.64,4055,4685=>1554
12.55338778,55.68488326,8.58658992,56.88813623,1,300,279.25,4058,4685=>2595
12.55338778,55.68488326,10.76863181,56.28251394,1,302,129.53,4097,4685=>569
12.55338778,55.68488326,11.06625641,55.69549401,1,271,93.32,3899,4685=>1526
12.55338778,55.68488326,11.4970398,55.81491731,1,283,67.75,3899,4685=>71
12.55338778,55.68488326,12.45177463,56.02090521,2,350,37.94,"4098 4099","4685=>1349 4685=>1349"
12.55338778,55.68488326,12.22216542,55.25708106,1,204,52.01,3897,4685=>1716
12.55338778,55.68488326,9.45071866,56.04025959,1,283,197.8,3867,4685=>3676
12.55338778,55.68488326,10.74455972,56.36650725,1,305,135.71,16846,4685=>751
12.55338778,55.68488326,10.60044103,55.21933629,1,248,133.73,16846,4685=>2106
12.55338778,55.68488326,10.23859857,55.10001559,1,247,160.17,16914,4685=>2025
9.01688742,55.5661491,9.10258616,54.94658235,1,175,69.18,16822,5941=>4486
9.01688742,55.5661491,9.07018611,54.91668922,1,177,72.38,16822,5941=>4489
8.24156208,56.26451832,8.810434,56.6441,3,39,54.86,"4132 4132 4132","5825=>270 5825=>958 5825=>2967"
8.24156208,56.26451832,10.56422311,57.72685939,1,40,215.23,3801,5825=>2184
8.24156208,56.26451832,8.49162946,55.80164939,1,163,53.82,3942,5825=>4193
8.24156208,56.26451832,8.43773889,55.75976735,1,168,57.5,3942,5825=>4218
8.24156208,56.26451832,8.5988785,56.06653206,1,135,31.24,4129,5825=>4157
8.24156208,56.26451832,8.78632945,56.59122572,1,43,49.47,4132,5825=>834
9.07696481,54.9699841,9.72628521,54.91338897,1,98,41.99,16867,6019=>4528
9.88182547,56.11098135,9.94012695,56.1357368,1,53,4.55,3988,5568=>3534
9.88182547,56.11098135,9.94002992,56.07238255,1,140,5.61,3988,5568=>3584
8.7024578,56.20224399,8.810434,56.6441,1,8,49.63,3906,6457=>958
8.7024578,56.20224399,9.14028051,56.62178612,1,30,53.93,4051,6457=>2994
8.7024578,56.20224399,9.08061225,56.64924931,1,25,54.94,4051,6457=>2922
9.17733486,55.80010134,9.12705174,55.9459115,2,349,16.53,"3956 4007","5693=>3837 5693=>3837"
9.17733486,55.80010134,9.23259893,55.8468133,1,34,6.24,3956,5693=>3829
9.17733486,55.80010134,9.373212,55.885195,1,52,15.48,3910,5693=>3821
9.17733486,55.80010134,9.25779543,55.90628978,1,23,12.85,4007,5693=>3835
11.79638975,55.6060789,11.77046667,55.6131776,1,296,1.81,4024,4714=>1470
11.79638975,55.6060789,8.79073935,55.41670096,1,265,190.61,16894,4714=>4350
9.31819277,55.02032089,9.72628521,54.91338897,1,114,28.67,3894,6022=>4528
9.31819277,55.02032089,9.12743054,55.13081541,1,315,17.29,3854,6023=>12
9.99781555,57.24808351,10.38135001,57.32361016,1,70,24.56,4073,2348=>506
9.99781555,57.24808351,10.09226362,57.2849937,2,54,7.01,"4073 3984","2348=>2342 2348=>2342"
9.99781555,57.24808351,10.28792117,57.15748006,2,120,20.19,"4108 3984","2348=>242 2348=>242"
9.99781555,57.24808351,9.80331066,57.29650619,1,295,12.89,3984,2348=>2331
10.11913347,56.53164726,10.15333015,56.64244951,1,10,12.51,16945,6340=>605
10.11913347,56.53164726,8.810434,56.6441,1,279,81.19,16945,6340=>958
9.93800241,55.79863714,9.92856546,55.77075429,1,191,3.16,3928,5682=>928
9.93800241,55.79863714,10.0789662,55.8261813,1,71,9.34,3838,5682=>3787
9.93800241,55.79863714,10.28890993,55.76166139,2,100,22.35,"3838 3928","5682=>3753 5682=>3753"
9.93800241,55.79863714,10.02216133,55.75891388,2,130,6.88,"3928 4147","5682=>3773 5682=>3774"
9.68866011,56.1539,9.6856841,56.24978537,1,359,10.68,4143,5578=>3619
9.14255855,55.47592324,9.17347087,56.31082534,1,1,92.96,4025,4334=>601
9.14255855,55.47592324,9.333894,56.286321,1,7,91,4025,4334=>3189
9.14255855,55.47592324,8.9892034,55.50158803,1,286,10.09,4090,5952=>4317
9.14255855,55.47592324,9.11742998,55.5219207,2,343,5.36,"4151 4151","4334=>4336 4334=>4338"
8.46526917,56.51842152,8.52895848,56.60646432,1,22,10.55,4049,5764=>2547
9.66542509,55.59473397,9.4886069,55.5670455,1,255,11.54,4026,5732=>37
9.66542509,55.59473397,9.32170212,55.51180511,1,247,23.53,4026,5732=>4298
11.52566098,55.50739674,11.59056834,55.53920625,1,49,5.41,3943,4764=>1487
11.52566098,55.50739674,11.38889372,55.5570049,1,303,10.23,3858,4764=>938
11.52566098,55.50739674,11.50942046,55.4901315,1,208,2.18,3943,4764=>1604
9.49149073,55.49190407,9.99088175,56.05949507,1,26,70.5,3824,5665=>3573
10.52468885,55.17876846,10.52600958,55.13564886,1,179,4.8,3968,4869=>727
10.52468885,55.17876846,10.60044103,55.21933629,1,47,6.6,3964,4869=>2106
10.52468885,55.17876846,9.01522913,57.08607898,1,337,232.04,3989,4870=>1206
10.52468885,55.17876846,9.06782757,57.11195156,1,338,233.38,3989,4870=>2437
