Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
12.55338778,55.68488326,9.97718946,56.22214714,1,291,171.32,22721,4685=>3515
12.55338778,55.68488326,10.02826169,56.21237946,1,291,167.98,27147,4685=>3516
12.55338778,55.68488326,10.478597,57.333876,1,326,223.45,22298,4685=>992
12.55338778,55.68488326,10.0483414,56.4586074,1,300,177.87,27056,4685=>923
12.55338778,55.68488326,9.37836463,56.45780394,1,295,215.2,27056,4685=>2887
11.54457708,56.70505201,10.89117652,56.40594271,1,231,52.11,27338,3422=>364
8.80624546,55.11730256,9.25058971,54.9343524,2,125,34.91,"27503 27504","6004=>4492 6004=>4492"
8.80624546,55.11730256,9.35986674,55.11536159,1,90,35.25,22355,6004=>4499
9.17733486,55.80010134,9.7076326,56.07812985,1,47,45.29,28551,5695=>979
9.17733486,55.80010134,9.30436222,55.71874186,1,139,12.06,28726,5691=>3874
9.17733486,55.80010134,9.24202741,55.77058218,1,129,5.21,28789,5691=>3865
9.17733486,55.80010134,8.18988814,56.30624905,1,313,83.32,27345,5693=>4103
11.79638975,55.6060789,11.73709316,55.71330482,1,343,12.5,27035,4714=>495
9.32170212,55.51180511,8.9366792,55.45078486,1,255,25.22,22682,4295=>315
9.68866011,56.1539,9.292717,55.984939,1,233,30.97,28779,6472=>272
9.99999312,55.92744303,10.7345181,55.30983896,1,146,82.82,22617,5636=>1315
9.99999312,55.92744303,9.86197942,55.85797729,1,228,11.58,22641,5636=>525
9.14255855,55.47592324,8.18259745,56.1297722,1,321,94.36,28746,4334=>4144
8.46526917,56.51842152,8.329496,56.55614435,1,297,9.33,22285,5761=>4646
9.61833913,56.27388691,9.54601738,55.7627968,1,185,57.07,22531,3177=>3803
8.95267034,56.14219771,8.30700823,56.19509868,1,279,40.45,22318,5814=>4136
8.95267034,56.14219771,9.02754383,56.82667681,1,3,76.33,22691,5812=>2963
9.97477036,56.76993809,10.12903027,56.49923012,1,163,31.58,27240,5148=>407
9.97477036,56.76993809,9.993267,57.203689,1,1,48.3,27524,5152=>671
12.57120585,55.76203412,10.13314571,56.31072258,1,293,163.45,27104,4691=>3334
10.53161141,55.23721546,10.57365382,55.28504925,1,27,5.96,22299,4878=>2150
10.31667047,56.31261766,10.45547016,56.34646653,1,66,9.36,27211,5484=>1220
8.59144328,56.40590419,8.77525835,56.43441356,1,74,11.75,27947,5787=>983
9.74794645,57.16692875,9.71390405,57.06848707,2,191,11.15,"27757 22532","5078=>2384 5080=>2384"
