Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
8.24156208,56.26451832,9.5521637,55.71165991,1,126,102.21,13836,5826=>3756
9.88182547,56.11098135,9.95281764,56.11665377,1,82,4.45,13688,5568=>3536
9.88182547,56.11098135,9.17733486,55.80010134,1,232,55.9,13688,5568=>3823
8.7024578,56.20224399,9.05689351,55.36810054,1,166,95.47,21376,6456=>960
9.17733486,55.80010134,9.23259893,55.8468133,1,34,6.24,13771,5693=>3831
10.11913347,56.53164726,10.12903027,56.49923012,1,170,3.66,13828,6340=>703
10.11913347,56.53164726,10.15333015,56.64244951,2,10,12.51,"13589 13737","6340=>605 6340=>605"
10.11913347,56.53164726,10.03578012,56.53842593,1,278,5.17,13854,6340=>3286
10.11913347,56.53164726,10.02530132,56.41896103,1,205,13.81,13785,6340=>3308
9.93800241,55.79863714,9.78611904,56.16882659,2,347,42.28,"21324 21324","5681=>216 5681=>216"
9.14255855,55.47592324,9.56740057,55.32125568,1,122,31.9,21373,5945=>4382
9.97477036,56.76993809,8.5265426,56.49479876,1,252,93.81,13897,6447=>4644
9.97477036,56.76993809,9.9260865,56.73172154,1,215,5.19,21345,6445=>973
9.97477036,56.76993809,9.242163,56.762627,1,269,44.7,13885,6447=>2833
9.97477036,56.76993809,9.33595226,56.77379815,1,271,38.97,13885,6447=>2842
10.53161141,55.23721546,10.35468148,55.15306125,1,230,14.63,21386,2105=>2063
10.53161141,55.23721546,10.41244257,55.20076479,2,242,8.59,"21335 21335","2105=>2073 2105=>4565"
9.5521637,55.71165991,11.74732363,55.24435851,1,110,147.93,21331,1300=>1682
9.5521637,55.71165991,11.87018356,55.14565068,1,112,159.39,21390,1300=>394
9.5521637,55.71165991,11.896906,55.145796,1,112,160.94,21390,1300=>1232
9.5521637,55.71165991,9.15762141,56.13579896,1,333,53.24,13721,5662=>4077
10.31667047,56.31261766,10.12774216,56.3615738,2,295,12.87,"13706 13706","5484=>975 5484=>1143"
10.31667047,56.31261766,9.98880571,56.50431637,1,317,29.38,13706,5484=>174
8.59144328,56.40590419,8.71522223,56.46304019,1,50,9.92,13826,5787=>4017
11.62189769,55.71362383,11.61315135,55.74644003,1,351,3.69,13767,4720=>1490
11.21334063,55.65521253,9.74948506,55.57076895,1,265,92.51,13576,4733=>3757
11.21334063,55.65521253,8.75522903,56.83259379,1,312,200.72,13686,4733=>2583
11.21334063,55.65521253,9.72271975,55.60815789,1,267,93.82,13695,4733=>3914
9.74794645,57.16692875,9.8071931,57.15011259,1,118,4.04,13631,5078=>2636
9.74794645,57.16692875,8.6616859,55.07133637,1,197,242.82,13611,5078=>4461
10.49930672,55.13097468,9.34811902,56.93022611,1,341,212.7,13683,4868=>1312
12.04196866,55.24328584,11.95079225,55.1255399,1,204,14.33,13570,659=>1737
11.75351597,55.17756856,11.87018356,55.14565068,1,115,8.23,13789,1730=>1167
11.75351597,55.17756856,12.03507793,55.08196045,2,121,20.84,"13769 13789","1730=>1745 1730=>1745"
9.88704892,56.98163851,9.81387091,56.77518886,1,191,23.41,13690,5106=>2776
10.07977929,55.52595187,10.09670998,55.5001816,1,160,3.06,13586,4846=>256
10.28463828,55.57287797,10.09670998,55.5001816,1,236,14.34,21385,4844=>408
10.62175761,55.0641916,10.39579745,55.23250102,1,323,23.61,13777,4865=>2075
10.69075598,55.09205738,10.3089525,55.53375421,1,334,54.8,13648,4866=>1957
9.41612043,55.75406825,9.49068388,55.66364171,1,155,11.1,13834,5718=>483
9.41612043,55.75406825,9.93019729,56.03898678,1,45,45.12,13640,3882=>1035
9.30973468,55.61507191,9.44872588,55.60181971,1,100,8.86,13740,6490=>1118
9.30973468,55.61507191,9.23259893,55.8468133,1,349,26.25,13739,5726=>3831
10.19922035,57.5422646,10.27959321,57.50353709,1,132,6.45,13621,4903=>2199
10.19922035,57.5422646,10.19597408,57.47425374,1,181,7.57,13622,4903=>2247
10.19922035,57.5422646,10.13688564,57.42516618,1,196,13.56,13621,4903=>2239
10.4799494,57.47709661,9.46980378,56.30675858,1,206,144.03,13710,4905=>3180
10.2503403,57.4626313,10.29659671,57.40928505,1,155,6.55,13760,4913=>2227
10.29659671,57.40928505,10.11557169,57.38471485,2,256,11.2,"13625 13842","4918=>2311 4920=>2305"
10.29659671,57.40928505,10.010862,56.940995,1,198,54.91,13819,4920=>2668
9.93214951,57.04020941,10.010862,56.940995,1,157,12.03,13819,6443=>2668
10.40685789,57.44038976,10.52416574,57.43632047,1,94,7.04,13577,4922=>2179
10.40685789,57.44038976,10.31384379,57.48321395,1,311,7.33,13831,4922=>2214
10.13688564,57.42516618,10.09226362,57.2849937,1,190,15.83,13776,2242=>2342
10.13688564,57.42516618,10.03168556,56.77982117,1,185,72.12,13763,2242=>1192
8.73244274,55.36384026,8.79073935,55.41670096,1,32,6.94,13615,5967=>4350
8.73244274,55.36384026,8.42222176,55.50149263,1,308,24.87,13732,5967=>4203
9.69964954,57.27219689,9.41643927,56.75901943,1,197,59.65,13898,5001=>892
9.21079873,57.05402951,9.25849993,57.0671638,1,63,3.24,13894,5022=>633
9.84559872,56.01132805,8.49004729,56.94748554,1,322,133.43,13895,3700=>987
9.84559872,56.01132805,9.52098813,56.18420884,1,314,27.87,13895,3700=>4630
8.41671166,56.73685182,9.9843203,56.65025328,1,95,96.3,13650,2516=>768
8.41671166,56.73685182,9.34811902,56.93022611,1,69,60.67,13650,2516=>1312
8.40543892,56.71055607,9.71521383,55.54197639,1,147,153.38,13637,5053=>3916
8.65357844,56.84985354,8.7041957,56.84934584,2,91,3.08,"13759 13759","5069=>2593 5069=>2594"
8.65357844,56.84985354,8.73114513,56.8682726,1,67,5.15,13759,5069=>132
9.57397269,55.67828641,9.30436222,55.71874186,3,285,17.5,"21360 21402 21402","5736=>3871 5736=>3871 5736=>4603"
9.57397269,55.67828641,11.03403286,57.27247189,2,26,198.86,"21322 21341","5738=>2421 5738=>2421"
9.86580873,56.93137827,9.74889991,56.8216214,1,210,14.14,13892,2685=>54
9.75047632,56.7553991,9.34811902,56.93022611,1,309,31.29,13829,5157=>2863
9.75047632,56.7553991,9.65004051,56.76576478,1,281,6.24,13658,5157=>778
9.75047632,56.7553991,10.11611215,56.82866129,1,70,23.74,13658,5157=>2727
9.75047632,56.7553991,9.81335026,56.84640941,1,21,10.83,13756,5157=>2695
9.8614429,55.97300374,9.52098813,56.18420884,1,318,31.62,13722,5615=>4630
9.08327118,55.6296138,8.5265426,56.49479876,1,340,102.34,13897,5932=>4644
9.96726663,56.19891774,10.07438221,56.10765887,1,147,12.14,13707,3522=>3541
9.17162542,56.48666115,9.34811902,56.93022611,1,12,50.54,13651,5265=>1312
8.64674475,55.42798863,8.79073935,55.41670096,1,98,9.18,13626,5956=>4580
9.3617377,56.71405477,9.39024935,56.57867744,1,173,15.17,13630,5275=>692
9.3617377,56.71405477,9.51687125,56.76774438,1,58,11.2,13632,5275=>2814
9.32137834,55.77096642,9.271131,55.769331,1,267,3.15,13788,5707=>1087
9.34733479,56.52834942,8.3083178,56.55861582,1,273,63.85,13758,5291=>695
9.30375303,56.50826702,8.73672367,56.81203718,1,314,48.45,13610,5295=>2550
9.38319082,55.70244629,9.45756956,55.78054463,1,28,9.86,21326,3852=>658
9.48771565,56.24361699,9.52098813,56.18420884,1,163,6.93,13627,5337=>111
10.24204167,56.66137113,10.14363148,56.67328465,2,282,6.16,"13899 13592","5367=>1313 5369=>3258"
9.85316849,56.58423344,8.58942945,56.95694272,1,299,87.54,13709,5380=>1024
9.85316849,56.58423344,8.31670931,56.75720487,1,282,95.93,13709,5380=>1039
9.85316849,56.58423344,9.34811902,56.93022611,1,321,49.33,13709,5380=>1312
10.86238959,56.47355037,9.5521637,55.71165991,1,224,117.53,13718,5448=>1300
10.56303177,56.41067005,10.43087602,56.45704946,1,302,9.63,13696,5462=>3367
9.8356371,56.07811135,9.02754383,56.82667681,1,329,97.03,13764,5564=>2963
9.58871067,55.95817429,9.34811902,56.93022611,2,352,109.22,"13741 13656","5598=>1312 5599=>1312"
9.6720032,55.26493871,9.737277,55.892376,1,3,69.97,13731,6485=>3741
9.86216004,55.75424622,9.81387091,56.77518886,1,359,113.69,13887,5668=>2776
9.43858316,55.67283345,9.49068388,55.66364171,1,107,3.43,21327,5720=>483
9.49193263,55.58573142,9.20718377,55.35790098,2,215,31.08,"13719 13634","5753=>4405 5754=>4405"
9.49193263,55.58573142,9.40066468,55.65757088,2,324,9.84,"13634 13832","5754=>3889 5754=>3889"
9.49193263,55.58573142,8.79073935,55.41670096,1,247,48.05,13660,5754=>914
8.52509871,55.88541826,9.30436222,55.71874186,1,110,52.17,13623,5867=>3871
9.24419327,55.55835913,9.1999361,55.52522839,1,217,4.62,13783,5934=>4304
9.48630959,55.25084875,9.56740057,55.32125568,2,33,9.37,"21372 21374","380=>4382 380=>4382"
9.48630959,55.25084875,9.12743054,55.13081541,1,240,26.43,21403,380=>4429
8.3699163,55.6223361,8.70681512,55.39688553,1,140,32.88,13584,5890=>4346
8.33130981,55.6159675,8.28146,55.632333,1,300,3.62,13734,5896=>22
8.60490123,55.71878903,8.61786553,55.80774922,1,5,9.94,13891,5911=>4255
8.63217387,55.46388899,8.41666096,55.5895359,2,316,19.49,"21368 21368","4266=>41 4266=>564"
8.92627143,55.75784153,8.61786553,55.80774922,1,286,20.09,13689,366=>4255
9.518623,56.022948,9.12743054,55.13081541,1,194,102.32,21403,210=>4429
10.00026428,55.15714245,10.28886161,56.75487617,2,6,178.76,"21380 21392","2022=>2751 2022=>2751"
9.25779543,55.90628978,10.3769219,55.0897671,1,142,115.07,21334,3835=>1306
8.65614946,56.27433361,9.57397269,55.67828641,1,139,87.58,21328,1318=>1317
