Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
12.55338778,55.68488326,9.38258003,55.40809558,1,263,202.03,3654,4685=>3954
12.55338778,55.68488326,10.25423316,55.48575526,1,262,146.33,3595,4685=>1976
12.55338778,55.68488326,9.5521637,55.71165991,1,272,188.29,3690,4685=>1300
12.55338778,55.68488326,11.15514541,55.6801489,1,270,87.75,3391,4685=>1527
12.55338778,55.68488326,12.03507793,55.08196045,1,206,74.69,3394,4685=>1743
12.55338778,55.68488326,11.1641187,55.64331162,1,268,87.35,3544,4685=>1532
12.55338778,55.68488326,8.55094866,56.53928979,1,293,265.96,3703,4685=>3985
12.55338778,55.68488326,8.36724634,55.57513827,1,269,263.31,3528,4684=>530
8.24156208,56.26451832,8.65055798,55.95891424,1,143,42.45,3541,5825=>4172
8.24156208,56.26451832,8.18988814,56.30624905,2,325,5.64,"3709 16682","5825=>4103 5825=>4103"
8.24156208,56.26451832,8.50307568,56.11106335,2,136,23.54,"3483 3483","5825=>196 5825=>4158"
8.24156208,56.26451832,8.61786553,55.80774922,4,155,55.97,"3489 3489 3490 3490","5825=>4253 5825=>4255 5825=>4253 5825=>4255"
8.24156208,56.26451832,8.21425645,56.19854236,1,193,7.54,3531,5825=>4141
8.24156208,56.26451832,8.20005733,56.23337586,1,217,4.31,3646,5825=>4142
8.24156208,56.26451832,9.38319082,55.70244629,1,131,94.7,3661,5825=>113
8.24156208,56.26451832,8.17656268,56.27879324,1,292,4.32,3711,5825=>554
8.24156208,56.26451832,8.87320042,55.3718221,1,158,106.94,3562,5827=>4361
9.07696481,54.9699841,8.6616859,55.07133637,2,293,28.8,"3551 3751","6017=>4462 6017=>4461"
9.88182547,56.11098135,9.8356371,56.07811135,2,218,4.65,"3612 3612","5568=>3587 5568=>3588"
8.7024578,56.20224399,9.05689351,55.36810054,2,166,95.47,"16545 16559","6456=>960 6456=>960"
8.80624546,55.11730256,9.25058971,54.9343524,1,125,34.91,3701,6004=>4491
8.80624546,55.11730256,8.3699163,55.6223361,1,334,62.63,3564,6004=>4208
8.80624546,55.11730256,8.33130981,55.6159675,1,332,63.12,3564,6004=>4211
8.80624546,55.11730256,9.30968473,55.02647158,1,107,33.64,3630,6004=>4516
8.80624546,55.11730256,9.4116545,55.04862654,1,101,39.33,3725,6004=>1
9.17733486,55.80010134,9.12705174,55.9459115,1,349,16.53,3653,5692=>3837
9.17733486,55.80010134,9.24202741,55.77058218,1,129,5.21,3640,5693=>3864
9.17733486,55.80010134,9.23259893,55.8468133,1,34,6.24,3670,5693=>3829
11.79638975,55.6060789,14.70850073,55.18216171,1,103,190.04,3550,4714=>412
9.31819277,55.02032089,9.72628521,54.91338897,1,114,28.67,3616,6023=>4528
9.68121288,56.96651518,9.66542509,55.59473397,1,180,152.71,3585,2721=>192
9.99781555,57.24808351,9.92621509,57.07193063,1,192,20.08,3421,2348=>2609
9.99781555,57.24808351,10.28792117,57.15748006,1,120,20.19,16373,2348=>242
9.99781555,57.24808351,11.1239032,54.89912876,1,165,270.67,16539,2348=>1812
10.11913347,56.53164726,10.24204167,56.66137113,1,28,16.29,16340,6340=>3261
10.11913347,56.53164726,8.25410165,56.08699748,1,248,125.35,16424,6340=>3959
9.93800241,55.79863714,10.0789662,55.8261813,1,71,9.34,3539,5682=>3787
9.93800241,55.79863714,10.0036492,55.80811982,2,76,4.24,"3400 3539","5682=>3784 5682=>3786"
9.14255855,55.47592324,9.333894,56.286321,1,7,91,16675,4334=>3189
9.14255855,55.47592324,10.43087602,56.45704946,1,36,135.53,16648,4334=>351
9.14255855,55.47592324,9.15207339,55.42011915,1,174,6.24,3785,4334=>4406
9.14255855,55.47592324,9.37836463,56.45780394,1,8,110.28,16513,4334=>2887
9.14255855,55.47592324,8.97932374,55.35278211,1,217,17.16,16714,4334=>565
9.14255855,55.47592324,9.45534661,55.18028273,1,149,38.41,3784,4334=>4371
9.14255855,55.47592324,9.01459535,55.45706344,2,256,8.34,"3785 3786","4334=>4582 5950=>4582"
9.14255855,55.47592324,9.23259893,55.8468133,1,8,41.67,3787,4334=>3829
9.14255855,55.47592324,9.12743054,55.13081541,1,181,38.43,3783,5950=>4429
8.46526917,56.51842152,8.5265426,56.49479876,1,125,4.59,3591,371=>940
8.46526917,56.51842152,8.55094866,56.53928979,1,66,5.75,3773,371=>3986
9.61833913,56.27388691,9.333894,56.286321,1,275,17.63,16376,5331=>3189
9.61833913,56.27388691,9.87059793,56.34485987,1,63,17.47,16541,5331=>541
9.61833913,56.27388691,9.54388431,56.3380454,1,327,8.49,3473,5332=>478
11.52566098,55.50739674,11.29143588,55.48378264,1,260,15,3412,4764=>1503
11.52566098,55.50739674,11.48837319,55.51135315,1,281,2.39,3448,4764=>1484
9.49149073,55.49190407,8.49162946,55.80164939,1,299,71.65,16476,656=>4193
9.49149073,55.49190407,9.74948506,55.57076895,1,62,18.47,3407,656=>3757
9.49149073,55.49190407,8.97932374,55.35278211,1,245,35.87,16695,656=>565
10.52468885,55.17876846,10.60044103,55.21933629,1,47,6.6,3678,4869=>2106
10.52468885,55.17876846,10.45413182,55.20170346,1,300,5.16,3440,4869=>2068
10.52468885,55.17876846,10.531511,55.188424,1,22,1.16,16384,4869=>2044
8.95267034,56.14219771,8.95811773,56.09047433,2,177,5.77,"16457 16458","5811=>948 5811=>948"
9.97477036,56.76993809,9.53743676,56.96224749,1,309,34.15,16383,5148=>4659
9.97477036,56.76993809,9.9260865,56.73172154,2,215,5.19,"16323 16323","6445=>973 6445=>973"
9.97477036,56.76993809,9.242163,56.762627,2,269,44.7,"16453 16516","6446=>2833 6446=>2833"
9.97477036,56.76993809,9.21998851,56.79001184,1,273,46.09,3519,6447=>2838
9.97477036,56.76993809,9.02754383,56.82667681,2,277,58.08,"16428 16693","6446=>2963 6446=>2963"
9.97477036,56.76993809,9.25829724,56.85728982,1,283,44.73,3764,6447=>2803
12.49697944,55.87703196,12.41140548,55.96966209,1,333,11.61,3719,4687=>4622
12.08126874,55.64834763,9.34363219,55.28958753,2,258,177.29,"3667 3667","6077=>4393 6077=>4394"
10.53161141,55.23721546,10.6878531,55.21758178,2,102,10.16,"3514 3566","4878=>2112 4878=>2111"
10.53161141,55.23721546,10.33760845,56.50255801,1,355,141.38,3545,4878=>871
9.5521637,55.71165991,10.79254024,55.31169641,1,119,89.97,16716,1300=>2026
9.5521637,55.71165991,9.42949692,55.80849147,1,325,13.24,16420,1300=>3812
11.09581415,55.68344305,8.44029913,56.90062007,1,311,212.74,3633,4710=>2492
11.09581415,55.68344305,8.54350526,56.86406245,1,311,205.3,3633,4710=>2496
10.31667047,56.31261766,10.16468114,56.36638954,1,303,11.13,3740,5484=>3327
10.31667047,56.31261766,10.12774216,56.3615738,1,295,12.87,3740,5484=>817
11.70788416,55.55549406,8.14158228,56.47814353,1,296,244.48,3794,4718=>4009
8.59144328,56.40590419,8.50307568,56.11106335,2,190,33.27,"3484 3484","4030=>196 4030=>4158"
11.62189769,55.71362383,11.61945729,55.70048049,1,186,1.47,3553,4720=>1468
11.21334063,55.65521253,9.70370454,55.63840667,1,269,94.85,3651,4733=>339
11.21334063,55.65521253,11.79244904,55.43881169,1,123,43.71,3513,4733=>950
11.21334063,55.65521253,10.19922035,57.5422646,1,344,219.06,3556,4733=>1128
11.21334063,55.65521253,10.34401837,56.46651203,1,329,105.24,3651,4733=>1298
9.74794645,57.16692875,9.66958207,57.21084237,1,316,6.8,3717,5078=>2380
9.74794645,57.16692875,9.8071931,57.15011259,1,118,4.04,3536,5078=>2636
9.74794645,57.16692875,10.00262436,57.36224501,1,35,26.6,3481,5078=>2314
9.74794645,57.16692875,10.20254944,57.06995981,1,111,29.52,3554,5078=>2649
11.30930063,55.50046107,8.31799745,56.11248916,1,291,199.13,16405,4726=>4133
11.22814319,55.53878322,12.33792705,55.36645481,1,105,72.64,3739,358=>1701
9.52005422,56.21760026,12.05718997,55.04785158,2,128,205.83,"3386 3397","3208=>1752 3208=>1750"
10.55570458,55.7971772,10.64140852,55.86326329,1,36,9.1,16510,655=>1583
10.57176876,55.84903122,10.618973,55.874733,1,46,4.11,3468,4751=>473
10.57176876,55.84903122,10.55570458,55.7971772,1,190,5.86,3469,4751=>1572
10.57176876,55.84903122,10.64140852,55.86326329,1,70,4.63,16367,4751=>1583
10.25423316,55.48575526,9.71411564,57.31273827,1,351,206.08,3540,4851=>2352
8.38210526,56.52741547,8.46526917,56.51842152,2,101,5.2,"3681 3771","3980=>371 3980=>371"
8.38210526,56.52741547,8.58734506,56.4491865,1,124,15.33,3781,3980=>4022
8.38210526,56.52741547,8.60583861,56.48055705,1,111,14.7,3781,3980=>4021
8.38210526,56.52741547,8.34991012,56.3910552,1,187,15.31,3603,5767=>3973
11.34302361,55.32077729,9.8548158,55.78780502,1,300,107.16,3417,4772=>137
12.25061662,55.34147767,8.25410165,56.08699748,1,290,263.95,16596,1698=>3959
8.85730379,55.5490305,9.43240349,56.25517925,1,24,86.41,16699,4285=>3184
11.96429115,55.26538826,10.37735441,55.45749823,1,283,102.66,3395,4794=>1952
11.96429115,55.26538826,10.36139511,55.33936662,1,275,101.9,3395,4794=>1891
9.66958207,57.21084237,10.04900242,57.00656494,1,135,32.3,3401,5009=>2671
14.97012857,55.20867683,15.01626112,55.14016747,1,159,8.17,3741,4802=>1794
9.74948506,55.57076895,9.928916,56.040284,1,12,53.46,16645,3757=>1036
9.74948506,55.57076895,9.41612043,55.75406825,1,314,29.23,16679,3757=>3882
12.05599986,54.82358619,12.08563216,54.84845785,1,35,3.36,3465,4816=>1870
10.39005511,55.39681993,8.61786553,55.80774922,2,293,120.47,"3491 3491","4818=>4253 4818=>4255"
10.39005511,55.39681993,8.49162946,55.80164939,1,291,127.61,3462,4818=>4193
10.6586365,55.51612464,9.73717456,55.50364711,1,269,58.1,3656,4834=>4587
9.40914342,56.19449478,9.37801364,56.32596724,1,353,14.76,3685,5344=>3171
10.21339439,56.3006803,10.21049352,56.26873003,1,183,3.56,3555,5500=>4633
10.21339439,56.3006803,10.31667047,56.31261766,1,78,6.51,3555,5500=>3468
10.21339439,56.3006803,10.23962838,56.35171729,1,16,5.91,3555,5500=>1093
10.27390217,55.51951195,10.25423316,55.48575526,1,198,3.96,3479,4845=>1010
9.37836463,56.45780394,9.13191071,56.58161849,1,312,20.47,3500,5208=>2989
9.87184612,55.35964882,9.7076326,56.07812985,3,353,80.64,"3419 3429 3439","4855=>979 4855=>979 4855=>979"
9.87184612,55.35964882,12.39979713,54.99535345,1,103,165.72,3609,4855=>1764
9.86197942,55.85797729,10.00262436,57.36224501,1,3,167.67,3655,525=>2314
10.45547016,56.34646653,9.85556339,56.25716427,1,255,38.36,16347,1220=>3624
10.6747529,55.11597002,10.7253852,55.12143719,1,79,3.28,3455,4884=>2117
9.4116545,55.04862654,9.35986674,55.11536159,1,336,8.13,16629,6006=>4508
9.4116545,55.04862654,9.050939,55.28936841,1,320,35.27,16713,6006=>4415
9.4116545,55.04862654,9.25394374,54.99353955,1,239,11.79,3648,1=>4518
8.90740872,56.43289346,8.90403439,56.69059165,1,360,28.69,16511,6453=>2955
8.90740872,56.43289346,8.912187,56.74484,1,0,34.73,16609,6452=>2960
10.31002587,55.18398859,10.25009959,55.19426993,1,287,3.98,3428,4874=>2081
10.48172023,55.2383892,10.47037111,55.33822874,1,356,11.14,3691,4876=>1071
10.68098765,56.44202313,8.95987524,55.15214579,2,218,179.48,"3626 3733","5461=>4436 5461=>4432"
10.68098765,56.44202313,9.20524537,55.19953449,1,214,166.27,3563,5461=>4421
10.68098765,56.44202313,8.89942565,55.25952201,1,221,172.39,3625,5461=>4440
10.60044103,55.21933629,9.20524537,55.19953449,2,269,88.64,"3750 3782","4880=>4420 4880=>4420"
10.51428349,54.85569982,10.38589085,54.8885647,1,294,9,3449,4892=>2173
10.51428349,54.85569982,10.75145954,54.92544469,1,63,17.05,3596,4892=>288
9.30973468,55.61507191,9.23259893,55.8468133,1,349,26.25,3704,5726=>3831
9.30973468,55.61507191,9.47559,55.523086,1,134,14.62,3503,6490=>3935
9.93214951,57.04020941,9.4116545,55.04862654,1,189,224.05,16479,6442=>1
9.93214951,57.04020941,9.48630959,55.25084875,1,188,201.1,16479,6442=>380
10.38135001,57.32361016,10.46058464,57.36707857,1,45,6.79,16382,506=>2269
10.32289645,57.34965454,10.10058993,57.24046025,1,228,18.07,3737,4948=>2299
10.31225829,57.2885669,8.48840034,56.84682453,1,247,120.83,3584,6439=>2499
10.42337803,57.23361339,10.516491,57.330506,1,27,12.15,16678,4954=>988
9.27023832,56.73474316,9.06787969,56.69700668,1,251,13.06,3684,5178=>786
9.27023832,56.73474316,9.2363639,56.69459991,1,205,4.92,3684,5178=>2822
8.73244274,55.36384026,8.70681512,55.39688553,2,336,4.02,"16377 16584","5968=>4346 5968=>4346"
8.73244274,55.36384026,8.8262537,55.31156766,2,134,8.31,"16536 3766","5968=>1003 5968=>4362"
8.73244274,55.36384026,8.718767,55.392738,1,345,3.33,16377,5968=>583
9.94517372,57.35331082,8.94704952,56.7403163,1,222,91.15,3748,4984=>247
9.94420384,57.27277164,10.32289645,57.34965454,1,69,24.32,3474,4987=>1222
9.94420384,57.27277164,9.46249934,57.13223706,1,242,32.99,3480,4987=>2394
9.94420384,57.27277164,9.50899595,57.09430845,1,233,32.92,3480,4987=>2398
9.62246601,57.24730572,9.66958207,57.21084237,1,145,4.95,3404,5004=>2381
8.33953781,56.29960833,8.18988814,56.30624905,3,275,9.27,"3524 3524 3524","4114=>4100 4114=>4102 4114=>4104"
8.33953781,56.29960833,8.65055798,55.95891424,1,153,42.55,3543,5832=>4172
8.33953781,56.29960833,8.60045399,55.87516419,1,161,49.95,3543,5832=>4198
8.33953781,56.29960833,8.64862908,55.69758148,1,164,69.72,3543,5832=>4249
8.33953781,56.29960833,8.20005733,56.23337586,1,230,11.34,3644,4114=>4142
8.33953781,56.29960833,8.37239889,55.96320278,1,177,37.5,16533,6496=>4166
8.33953781,56.29960833,8.50307568,56.11106335,2,154,23.3,"3485 3485","5831=>196 5831=>4158"
9.2939597,55.31614505,9.19196978,55.87934678,1,354,63.02,16471,5980=>1273
9.2939597,55.31614505,9.474077,55.070947,1,157,29.6,16588,5980=>1070
9.2939597,55.31614505,9.46147095,55.09054028,1,157,27.28,16588,5980=>4511
9.84559872,56.01132805,9.8614429,55.97300374,1,167,4.38,3463,3700=>3693
9.84559872,56.01132805,9.93019729,56.03898678,1,60,6.1,3594,3700=>3487
9.84559872,56.01132805,9.928916,56.040284,1,58,6.1,3475,5617=>3572
9.84559872,56.01132805,9.91715196,55.95249235,1,146,7.92,3614,3700=>178
8.41671166,56.73685182,9.9843203,56.65025328,2,95,96.3,"3436 3437","2516=>3245 2516=>534"
8.41671166,56.73685182,8.73269709,56.59971085,1,128,24.63,3526,2516=>2984
8.9961129,56.38726949,8.86845772,56.45666669,1,315,11.02,16634,382=>4046
8.64328374,56.69959605,8.69072917,56.70084584,1,87,2.9,3579,5066=>2579
9.57397269,55.67828641,9.4116545,55.04862654,1,188,70.84,16479,5739=>1
9.57397269,55.67828641,9.48630959,55.25084875,1,187,47.9,16479,5739=>380
9.57397269,55.67828641,8.77858359,55.33618399,1,233,62.96,16419,5739=>945
8.91838142,55.51450068,8.99217015,55.22956772,1,172,32.06,3560,5942=>491
8.91838142,55.51450068,9.11742998,55.5219207,1,86,12.57,3438,4320=>4338
8.91838142,55.51450068,8.87320042,55.3718221,1,190,16.14,3643,4320=>4361
8.91838142,55.51450068,9.05689351,55.36810054,1,152,18.5,3659,4320=>960
10.01192636,57.15092785,8.99680232,55.69503806,1,202,173.7,16344,5091=>4290
9.73562834,57.03783474,8.41666096,55.5895359,1,207,180.62,16677,5115=>41
9.85612331,56.85858438,9.97477036,56.76993809,1,144,12.23,3444,5119=>2770
9.85612331,56.85858438,9.47110478,56.1483529,1,197,82.52,3774,5120=>3219
10.28886161,56.75487617,10.09226362,57.2849937,1,349,60.2,3705,5140=>2342
9.9260865,56.73172154,9.97477036,56.76993809,1,35,5.19,16334,973=>84
9.6928785,56.18970837,9.7076326,56.07812985,1,176,12.45,3662,5584=>3650
9.4181296,56.80367274,9.59645434,56.86311316,1,59,12.72,3466,5159=>2788
9.42791528,56.83325034,9.23898132,56.9372919,1,315,16.31,3604,5161=>201
10.26879621,56.35776556,10.28306119,56.4446316,1,5,9.71,3451,596=>298
9.23898132,56.9372919,9.4181296,56.80367274,1,144,18.44,3629,5198=>421
9.26398226,56.70269291,9.42791528,56.83325034,1,35,17.64,3697,5181=>2796
9.21998851,56.79001184,9.33595226,56.77379815,2,104,7.3,"3406 3713","5182=>4653 2840=>499"
9.21998851,56.79001184,9.3617377,56.71405477,1,134,12.1,3409,5182=>3028
9.21998851,56.79001184,8.17369803,56.62066705,2,254,66.66,"3686 3798","2840=>3991 2840=>3993"
9.21998851,56.79001184,8.223473,56.59343256,1,251,64.73,3798,2840=>568
9.21998851,56.79001184,9.27023832,56.73474316,1,153,6.87,3679,5190=>316
9.91748665,56.50453131,9.30272533,56.56686453,1,281,38.37,3398,5283=>3069
9.91748665,56.50453131,9.34733479,56.52834942,1,275,35.12,3398,5283=>3086
8.93061343,56.56627032,8.91775704,56.58922585,1,343,2.67,3472,5215=>202
8.93061343,56.56627032,8.87939153,56.60067623,1,321,4.95,3472,5215=>2906
9.01342881,56.66903046,9.48802997,55.35268122,1,168,149.48,3745,5216=>4386
9.054866,56.745348,8.98817125,56.76991976,1,304,4.9,3498,5230=>82
8.98817125,56.76991976,9.09668456,56.76087207,1,99,6.7,3578,5233=>2931
8.98817125,56.76991976,9.06787969,56.69700668,1,149,9.46,3624,5233=>2915
8.98817125,56.76991976,9.12831637,56.70268186,1,131,11.37,3699,5233=>419
8.86505426,56.72059777,8.90403439,56.69059165,1,144,4.1,16429,2962=>2955
8.78632945,56.59122572,8.93061343,56.56627032,1,107,9.27,3557,5248=>558
8.78632945,56.59122572,8.87939153,56.60067623,1,80,5.8,3557,5248=>2906
8.78632945,56.59122572,8.85177166,56.57478117,1,114,4.41,3457,5248=>627
