Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
12.55338778,55.68488326,9.38258003,55.40809558,2,263,202.03,"6974 6974","4685=>3955 4685=>3956"
12.55338778,55.68488326,10.03937754,56.27874967,1,294,169.94,6789,4685=>3505
12.55338778,55.68488326,9.85556339,56.25716427,1,292,179.72,6789,4685=>3623
12.55338778,55.68488326,9.5521637,55.71165991,1,272,188.29,7056,4685=>3754
12.55338778,55.68488326,11.50911616,54.77425467,1,214,121.12,7057,4685=>4551
12.55338778,55.68488326,12.03507793,55.08196045,1,206,74.69,6967,4685=>1743
12.55338778,55.68488326,10.35104153,57.24032431,1,323,219.81,7148,4685=>2286
12.55338778,55.68488326,10.72367324,56.47687714,1,308,143.84,6887,4685=>782
12.55338778,55.68488326,11.99095308,55.10619822,1,209,73.58,6745,4685=>1738
9.94495944,57.49944519,10.09111504,57.54013728,1,63,9.84,7142,4940=>2251
9.94495944,57.49944519,10.02870892,57.55574435,1,39,8.02,7142,4940=>2254
8.24156208,56.26451832,8.54329883,56.02629287,1,145,32.46,7087,5825=>4170
9.07696481,54.9699841,9.19196978,55.87934678,1,4,101.49,18475,4532=>1273
8.80624546,55.11730256,8.80163831,54.94261759,1,181,19.45,7054,6004=>4449
8.80624546,55.11730256,9.10258616,54.94658235,1,135,26.81,7050,6004=>4488
8.80624546,55.11730256,8.90706651,56.13391485,1,3,113.35,6776,6004=>1159
8.80624546,55.11730256,9.38258003,55.40809558,1,48,48.83,6972,6004=>3955
9.29617367,57.09917817,8.81115202,57.03933168,1,257,30.1,6988,5019=>635
9.29617367,57.09917817,8.97989659,57.03783744,1,251,20.32,6988,5019=>2453
9.68121288,56.96651518,9.61424246,56.94766364,2,243,4.57,"6779 6778","2721=>2710 5125=>2710"
9.99781555,57.24808351,10.15273583,57.21287001,1,113,10.12,6808,2348=>4669
9.99781555,57.24808351,9.96556941,57.17978982,1,194,7.85,6766,2348=>331
9.99781555,57.24808351,9.83422482,57.36607902,1,323,16.41,6766,2348=>2320
9.99781555,57.24808351,10.32289645,57.34965454,1,60,22.58,6838,2348=>2276
9.99781555,57.24808351,9.80331066,57.29650619,1,295,12.89,6948,2348=>2327
9.99781555,57.24808351,10.01075277,56.88382407,1,179,40.56,7114,2348=>708
9.99781555,57.24808351,10.35104153,57.24032431,2,92,21.29,"7011 7150","4996=>2286 4996=>2286"
10.11913347,56.53164726,10.12903027,56.49923012,1,170,3.66,7081,6340=>705
10.11913347,56.53164726,10.24204167,56.66137113,3,28,16.29,"6755 7078 7078","6340=>3260 6340=>3260 6340=>3262"
10.11913347,56.53164726,10.15333015,56.64244951,5,10,12.51,"6826 6826 6827 6827 7078","6340=>605 6340=>3263 6340=>605 6340=>3263 6340=>3263"
10.11913347,56.53164726,10.30030868,56.55153665,1,79,11.34,7048,6340=>3342
9.93800241,55.79863714,9.87513313,55.82054042,1,302,4.63,18464,5682=>3761
9.93800241,55.79863714,9.92856546,55.77075429,1,191,3.16,18365,5681=>928
9.93800241,55.79863714,9.81387091,56.77518886,1,356,108.98,18464,5682=>967
9.93800241,55.79863714,10.023887,55.746783,1,137,7.89,7083,5682=>904
9.93800241,55.79863714,9.89391897,55.71048336,1,196,10.19,7129,5682=>3768
9.68866011,56.1539,9.5470055,56.16936133,4,281,8.95,"6815 6817 6814 6818","5575=>1017 5575=>1017 5578=>1017 5578=>1017"
9.68866011,56.1539,8.30700823,56.19509868,1,274,85.74,6794,5575=>4137
9.99999312,55.92744303,10.00194886,55.89344365,1,178,3.79,18363,3728=>3730
9.14255855,55.47592324,9.61130651,56.51098866,1,14,118.86,7104,4334=>3100
9.14255855,55.47592324,8.33953781,56.29960833,1,332,104.5,6924,4334=>4117
9.14255855,55.47592324,9.11742998,55.5219207,1,343,5.36,6986,5952=>4338
8.46526917,56.51842152,8.55094866,56.53928979,1,66,5.75,6942,5765=>3985
8.46526917,56.51842152,8.56931314,56.61326781,1,31,12.34,7064,5765=>2544
9.66542509,55.59473397,9.6598159,55.65100588,1,357,6.27,6879,5732=>563
9.61833913,56.27388691,9.25779543,55.90628978,1,209,46.65,18440,3177=>3835
9.61833913,56.27388691,10.03578012,56.53842593,1,41,39.09,18440,3177=>3286
9.61833913,56.27388691,9.66364638,56.22223224,1,154,6.4,6783,367=>3198
9.49149073,55.49190407,8.85868214,56.7945817,1,345,150.23,6930,5665=>2551
10.52468885,55.17876846,10.49370528,55.35536226,1,354,19.76,6821,4869=>1905
9.97477036,56.76993809,9.98880571,56.50431637,1,178,29.58,6919,5148=>174
9.97477036,56.76993809,10.0483414,56.4586074,1,173,34.95,6919,5148=>239
9.97477036,56.76993809,9.46847879,56.98422923,1,308,38.95,6900,5148=>1292
9.97477036,56.76993809,9.96556941,57.17978982,1,359,45.63,18341,5152=>16
9.97477036,56.76993809,9.97425461,56.82201514,2,360,5.8,"18436 18436","2770=>1226 2770=>2736"
9.97477036,56.76993809,10.11611215,56.82866129,1,53,10.81,18342,2770=>2727
9.97477036,56.76993809,9.50899595,57.09430845,1,322,45.87,18432,6445=>2398
9.97477036,56.76993809,9.61130651,56.51098866,1,218,36.41,18352,2770=>3100
12.08126874,55.64834763,10.35104153,57.24032431,1,330,206.72,6971,6077=>2286
12.08126874,55.64834763,9.38258003,55.40809558,1,262,172.11,6971,6077=>3955
9.82537421,56.2802359,11.4397201,55.80248958,2,117,113.6,"6772 6772","5354=>289 5354=>4608"
10.53161141,55.23721546,10.49370528,55.35536226,2,350,13.37,"18495 18495","4878=>497 4878=>1904"
10.53161141,55.23721546,10.07977929,55.52595187,1,318,43.01,6820,4878=>1963
8.9366792,55.45078486,9.66364638,56.22223224,1,28,97.16,6947,5944=>3200
8.9366792,55.45078486,8.79073935,55.41670096,1,248,9.97,7073,5944=>914
8.9366792,55.45078486,9.57743689,56.37366129,1,21,110.24,7115,5944=>3144
9.5521637,55.71165991,8.71941953,55.436327,2,240,60.71,"6791 6867","1300=>625 1300=>625"
9.5521637,55.71165991,8.6991812,55.46858286,1,244,60.09,6867,1300=>4344
11.09581415,55.68344305,10.15333015,56.64244951,2,332,121.69,"6828 6828","4710=>605 4710=>3263"
11.09581415,55.68344305,8.58942945,56.95694272,1,313,209.82,7138,4710=>2475
10.31667047,56.31261766,9.85556339,56.25716427,1,258,29.15,6787,5485=>3623
8.59144328,56.40590419,8.64201964,56.43840428,1,41,4.77,6831,5787=>1335
8.59144328,56.40590419,8.810434,56.6441,1,27,29.73,7132,4030=>2968
8.59144328,56.40590419,8.30700823,56.19509868,1,217,29.31,6963,4030=>4137
8.59144328,56.40590419,8.63457101,56.55206082,1,9,16.48,6831,5787=>1106
11.62189769,55.71362383,11.61945729,55.70048049,1,186,1.47,6999,4720=>1467
11.21334063,55.65521253,9.70370454,55.63840667,1,269,94.85,6899,4733=>809
11.21334063,55.65521253,10.35104153,57.24032431,1,344,184.25,7146,4733=>2286
9.74794645,57.16692875,9.90701839,57.30294273,1,32,17.92,6969,5078=>2332
9.74794645,57.16692875,9.95603185,57.16277574,1,92,12.57,6824,5078=>1287
9.74794645,57.16692875,8.79464452,56.88904662,1,242,65.52,7034,5078=>4658
9.74794645,57.16692875,10.09111504,57.54013728,1,26,46.38,7143,5078=>2251
9.74794645,57.16692875,10.02870892,57.55574435,1,21,46.45,7143,5078=>2254
11.32404229,55.48889218,9.82346994,55.50641302,1,272,94.64,6761,4724=>1297
