Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
12.55338778,55.68488326,11.77046667,55.6131776,1,261,49.82,7200,4685=>1473
12.55338778,55.68488326,8.7024578,56.20224399,1,285,246.84,7343,4685=>961
12.55338778,55.68488326,9.71411564,57.31273827,1,317,251.5,7315,4685=>576
12.55338778,55.68488326,11.24787983,55.43713416,1,252,86.69,7358,4685=>1643
9.01688742,55.5661491,9.10258616,54.94658235,1,175,69.18,18631,5941=>4486
9.01688742,55.5661491,8.82771692,55.57328956,1,274,11.93,18703,4313=>102
8.24156208,56.26451832,10.13091193,55.38709123,1,129,153.28,7357,5825=>1898
8.24156208,56.26451832,8.37239889,55.96320278,2,166,34.51,"7226 7227","5825=>4166 5825=>4166"
8.24156208,56.26451832,9.40066468,55.65757088,1,133,98.9,7420,5825=>3892
8.24156208,56.26451832,9.30973468,55.61507191,1,137,98.29,7420,5825=>3899
9.88182547,56.11098135,10.07181907,56.06807347,3,112,12.73,"7325 7329 7334","5568=>3577 5569=>3577 5571=>3577"
8.80624546,55.11730256,9.35986674,55.11536159,1,90,35.25,7205,6004=>4508
9.17733486,55.80010134,9.38319082,55.70244629,1,130,16.87,7361,5692=>3852
11.79638975,55.6060789,11.87311353,55.63569967,1,56,5.84,7228,4714=>1430
11.79638975,55.6060789,9.18041262,56.11327889,1,290,172.9,18625,4714=>4418
9.31819277,55.02032089,9.72628521,54.91338897,2,114,28.67,"7416 7359","6022=>4528 6023=>4528"
9.31819277,55.02032089,9.66825625,54.88991599,1,123,26.67,7356,6022=>4538
10.11913347,56.53164726,10.12903027,56.49923012,1,170,3.66,7264,6340=>407
9.93800241,55.79863714,9.69706081,55.80268336,1,272,15.08,18596,5682=>3791
9.93800241,55.79863714,10.0036492,55.80811982,1,76,4.24,7369,5682=>3784
9.68866011,56.1539,8.89755494,55.97740889,1,249,52.94,7225,6475=>4092
9.68866011,56.1539,8.95267034,56.14219771,1,269,45.66,7353,6475=>446
9.68866011,56.1539,10.07181907,56.06807347,1,112,25.63,7330,5575=>3577
10.15055444,55.97882035,10.18626422,55.95692501,1,138,3.3,18582,3558=>3554
8.46526917,56.51842152,9.86197942,55.85797729,1,130,113.53,7230,371=>525
9.66542509,55.59473397,9.65802838,55.60220511,1,331,0.95,7360,5732=>3929
11.52566098,55.50739674,11.55538777,55.45773482,1,161,5.84,7344,4764=>1594
11.52566098,55.50739674,11.56194704,55.44008678,1,163,7.83,7344,4764=>1590
9.49149073,55.49190407,9.14255855,55.47592324,1,266,22.08,18653,656=>4334
10.52468885,55.17876846,10.70372579,55.36192302,1,29,23.34,7271,4869=>2129
10.52468885,55.17876846,10.60044103,55.21933629,1,47,6.6,7202,4869=>2106
10.52468885,55.17876846,10.49370528,55.35536226,1,354,19.76,7395,4869=>1904
