Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
9.90560469,56.08546193,10.1191493,55.26116322,1,172,92.73,1188,4860=>489
12.55338778,55.68488326,12.01156305,55.74154006,1,281,34.56,11,4685=>1390
12.55338778,55.68488326,12.43071196,55.84474055,2,337,19.38,"44 939","4685=>1355 4685=>1354"
12.55338778,55.68488326,8.65357844,56.84985354,1,300,273.69,127,4685=>2591
12.55338778,55.68488326,12.41140548,55.96966209,1,344,32.92,139,4685=>1352
12.55338778,55.68488326,11.59905949,55.91342466,1,293,64.91,316,4685=>1555
12.55338778,55.68488326,11.61967591,55.38041327,2,240,67.89,"462 678","4685=>1596 4685=>1596"
12.55338778,55.68488326,11.15514541,55.6801489,3,270,87.75,"473 1183 1303","4685=>1527 4685=>1204 4685=>1527"
12.55338778,55.68488326,8.75522903,56.83259379,1,300,267.3,573,4685=>2583
12.55338778,55.68488326,11.5637071,54.76184575,2,212,120.44,"614 1153","4685=>1833 4685=>1833"
12.55338778,55.68488326,12.63855722,55.63608257,1,135,7.62,694,4685=>607
12.55338778,55.68488326,11.62268931,55.37155702,1,240,68.23,802,4685=>805
12.55338778,55.68488326,11.52086553,54.79788693,1,214,118.5,1151,4685=>1831
12.55338778,55.68488326,11.21559751,55.61861785,2,266,84.35,"1352 1353","4685=>1266 4685=>1266"
12.55338778,55.68488326,10.94768309,55.73466966,1,274,100.85,14621,4685=>933
12.55338778,55.68488326,10.71351398,55.10606529,1,242,132.96,14830,4685=>1303
12.55338778,55.68488326,11.85227639,54.85005988,1,206,103.02,471,4685=>1848
12.55338778,55.68488326,11.30930063,55.50046107,1,256,80.9,481,4685=>1512
12.55338778,55.68488326,10.81506089,56.36394809,1,306,131.94,1081,4685=>3428
12.55338778,55.68488326,10.74093245,56.40873851,1,306,138.52,1260,4685=>3414
12.55338778,55.68488326,10.43807204,57.31823044,1,325,223.47,1175,4685=>2271
12.55338778,55.68488326,11.06625641,55.69549401,5,271,93.32,"108 506 936 680 680","4685=>1524 4685=>1328 4685=>1524 4685=>589 4685=>1328"
12.55338778,55.68488326,11.79638975,55.6060789,1,260,48.36,580,4685=>1084
12.55338778,55.68488326,12.27361833,55.73497767,1,288,18.41,742,4685=>1417
12.55338778,55.68488326,9.61684353,56.71861431,1,303,215.17,14233,4685=>246
12.55338778,55.68488326,10.50131206,56.47736864,1,305,155.01,14233,4685=>3369
12.55338778,55.68488326,9.71390405,57.06848707,1,312,233.11,14244,4685=>2384
12.55338778,55.68488326,11.62415043,55.66339984,1,268,58.38,943,4685=>935
12.55338778,55.68488326,11.50169992,55.65009951,1,267,66.14,1042,4685=>1500
12.55338778,55.68488326,11.99387683,55.83905468,1,296,39.02,759,4685=>1382
12.55338778,55.68488326,11.42292399,55.42422104,1,248,76.86,467,4685=>1637
12.55338778,55.68488326,11.4636582,55.42962554,1,248,74.26,467,4685=>1639
12.55338778,55.68488326,12.01929904,55.7797722,2,288,35.1,"260 890","4685=>1389 4685=>1389"
12.55338778,55.68488326,9.97477036,56.76993809,1,308,200.11,14875,4685=>84
12.55338778,55.68488326,12.03992675,55.57338978,1,249,34.57,14642,4685=>1453
12.55338778,55.68488326,11.7649764,55.57309263,2,256,51.09,"472 547","4685=>1478 4685=>282"
12.55338778,55.68488326,9.94599342,55.25663444,1,255,171.28,1356,4685=>2011
9.01688742,55.5661491,10.46058464,57.36707857,1,23,219.24,13938,5941=>2269
9.01688742,55.5661491,8.37206538,55.85016623,1,308,51.33,14728,4313=>4181
8.24156208,56.26451832,8.65055798,55.95891424,2,143,42.45,"16 122","5825=>170 5825=>170"
8.24156208,56.26451832,10.07121933,56.94828516,1,55,135.49,415,5825=>370
8.24156208,56.26451832,8.31251275,56.05118957,1,169,24.15,536,5825=>1305
8.24156208,56.26451832,11.419423,55.481001,1,112,216.76,623,5825=>1636
8.24156208,56.26451832,8.92271094,56.71482529,1,40,65.31,1057,5825=>403
8.24156208,56.26451832,8.90403439,56.69059165,1,40,62.52,1057,5825=>2955
8.24156208,56.26451832,9.82346994,55.50641302,1,130,129.9,1305,5825=>1979
8.24156208,56.26451832,8.42911614,56.36744735,1,45,16.29,14396,5825=>4032
9.07696481,54.9699841,9.75157225,55.96646262,1,21,118.81,14826,1002=>3685
9.88182547,56.11098135,12.01156305,55.74154006,1,106,139.04,11,5567=>1390
9.88182547,56.11098135,9.928916,56.040284,1,160,8.4,267,5567=>3572
9.88182547,56.11098135,9.8356371,56.07811135,4,218,4.65,"267 1398 1396 1400","5567=>3588 5567=>3594 5568=>1150 5571=>3585"
9.88182547,56.11098135,9.95281764,56.11665377,3,82,4.45,"1398 1396 1400","5567=>3535 5568=>3535 5571=>3537"
9.88182547,56.11098135,9.77414217,56.10741748,1,267,6.7,705,5569=>3638
9.88182547,56.11098135,9.54806367,56.09436861,1,265,20.8,702,5572=>3673
