Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
12.55338778,55.68488326,10.1191493,55.26116322,1,254,160.66,1695,4685=>637
12.55338778,55.68488326,10.94768309,55.73466966,1,274,100.85,1629,4685=>933
12.55338778,55.68488326,10.35104153,57.24032431,1,323,219.81,1666,4685=>2285
12.55338778,55.68488326,11.06625641,55.69549401,2,271,93.32,"1639 1639","4685=>589 4685=>1328"
12.55338778,55.68488326,10.23859857,55.10001559,1,247,160.17,16760,4685=>2025
12.55338778,55.68488326,12.23538072,55.39970485,2,212,37.54,"16750 16750","4685=>1695 4685=>1696"
12.55338778,55.68488326,9.49674939,54.93188828,1,248,211,1655,4684=>4527
12.55338778,55.68488326,9.40184802,54.93671437,1,249,216.31,1655,4684=>4555
12.55338778,55.68488326,9.30968473,55.02647158,1,252,217.94,1703,4684=>4517
9.01688742,55.5661491,8.67905298,54.9832984,1,198,68.33,15043,5941=>4457
8.24156208,56.26451832,9.82346994,55.50641302,2,130,129.9,"1732 1803","5825=>1297 5825=>1297"
8.24156208,56.26451832,8.59340696,55.98509217,3,145,38,"1687 1687 1793","5825=>4173 5825=>4174 5825=>4173"
8.24156208,56.26451832,8.810434,56.6441,1,39,54.86,1770,5825=>958
8.24156208,56.26451832,8.73672367,56.81203718,1,26,68.11,1770,5825=>2550
8.80624546,55.11730256,9.40756732,54.98983283,1,110,40.88,1632,6004=>4521
11.79638975,55.6060789,11.826782,55.616268,1,59,2.22,15102,4714=>104
9.31819277,55.02032089,9.72628521,54.91338897,3,114,28.67,"1623 1705 1800","6022=>4528 6022=>4528 6022=>4528"
9.32170212,55.51180511,8.80146899,55.46951931,1,262,33.15,1734,4295=>357
9.99781555,57.24808351,10.28792117,57.15748006,1,120,20.19,15009,2348=>242
10.11913347,56.53164726,9.9843203,56.65025328,1,328,15.58,1761,6340=>4648
9.93800241,55.79863714,9.86197942,55.85797729,1,324,8.14,1608,5682=>525
9.93800241,55.79863714,8.73672367,56.81203718,1,327,135.01,1785,5682=>2550
9.93800241,55.79863714,11.54457708,56.70505201,1,44,141.6,1595,5681=>3422
9.66542509,55.59473397,9.70370454,55.63840667,1,26,5.42,1649,5732=>809
9.66542509,55.59473397,9.40066468,55.65757088,1,293,18.05,1649,5732=>3890
11.52566098,55.50739674,11.59056834,55.53920625,1,49,5.41,1612,4764=>1487
11.52566098,55.50739674,11.15514541,55.6801489,1,310,30.22,1704,4764=>1204
11.52566098,55.50739674,11.21079755,55.47116625,1,259,20.26,1746,4764=>1519
11.52566098,55.50739674,11.7649764,55.57309263,1,64,16.75,1809,4764=>1477
10.52468885,55.17876846,10.430304,55.23965024,1,318,9.05,1661,4869=>2070
9.97477036,56.76993809,9.9260865,56.73172154,1,215,5.19,15027,6445=>973
9.97477036,56.76993809,10.14753869,56.73736302,2,109,11.15,"15023 15038","2770=>2755 2770=>2755"
9.97477036,56.76993809,9.58869625,57.06335248,1,324,40.21,15018,6445=>851
12.49697944,55.87703196,12.30569237,55.93228835,1,297,13.43,1729,4687=>4617
12.62629466,55.62123328,11.30667568,55.54653956,1,265,83.44,1596,4690=>1505
12.62629466,55.62123328,11.98343325,55.66905184,1,278,40.73,1740,4690=>449
10.53161141,55.23721546,9.90594911,55.480346,1,305,47.96,1619,4878=>115
9.5521637,55.71165991,8.61786553,55.80774922,1,281,59.49,16762,1300=>4255
10.31667047,56.31261766,10.12774216,56.3615738,1,295,12.87,1679,5484=>391
10.31667047,56.31261766,10.08609309,56.38771491,1,300,16.5,1679,5484=>345
8.59144328,56.40590419,8.34991012,56.3910552,1,264,14.97,1654,4030=>502
