Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
12.55338778,55.68488326,9.85556339,56.25716427,1,292,179.72,23392,4685=>3624
12.55338778,55.68488326,9.97718946,56.22214714,1,291,171.32,29333,4685=>3515
12.55338778,55.68488326,10.21049352,56.26873003,1,295,159.74,29333,4685=>3484
12.55338778,55.68488326,10.89117652,56.40594271,1,308,130.85,23480,4685=>364
12.55338778,55.68488326,10.71731268,56.28550177,1,301,132.44,23588,4685=>3436
9.94495944,57.49944519,9.99749113,57.45913657,1,145,5.48,23942,4940=>469
8.24156208,56.26451832,8.33953781,56.29960833,1,57,7.21,29499,5826=>4111
8.24156208,56.26451832,9.30973468,55.61507191,1,137,98.29,23662,5825=>3899
8.24156208,56.26451832,9.373212,55.885195,1,120,82.01,23662,5825=>3819
9.07696481,54.9699841,9.31819277,55.02032089,1,70,16.39,23561,6018=>4537
9.88182547,56.11098135,9.8356371,56.07811135,2,218,4.65,"23667 23317","5567=>1150 5569=>3593"
9.88182547,56.11098135,9.77414217,56.10741748,1,267,6.7,23317,5569=>3642
8.7024578,56.20224399,8.91775704,56.58922585,1,17,45.07,23435,6456=>202
8.7024578,56.20224399,8.85177166,56.57478117,1,12,42.48,23435,6456=>416
8.7024578,56.20224399,8.810434,56.6441,4,8,49.63,"23862 23864 23710 23643","6456=>958 6456=>958 6456=>846 6457=>958"
8.7024578,56.20224399,9.12831637,56.70268186,1,25,61.56,23511,6456=>1190
8.7024578,56.20224399,8.78632945,56.59122572,2,7,43.61,"23629 23628","6456=>2980 6456=>2980"
9.17733486,55.80010134,9.30436222,55.71874186,2,139,12.06,"29661 29661","5691=>3868 5691=>3875"
9.17733486,55.80010134,9.23259893,55.8468133,1,34,6.24,23409,5693=>3831
9.17733486,55.80010134,9.42949692,55.80849147,1,87,15.8,23409,5693=>3813
11.79638975,55.6060789,12.05240733,55.11870202,1,163,56.62,23372,4714=>1684
11.79638975,55.6060789,12.11865563,55.08975669,1,160,60.99,23372,4714=>1741
9.29617367,57.09917817,9.58869625,57.06335248,1,103,18.14,23257,5018=>851
9.29617367,57.09917817,9.16677663,57.09680291,1,268,7.83,23257,5018=>2436
9.32170212,55.51180511,9.75157225,55.96646262,1,28,57.33,23784,4295=>3685
9.32170212,55.51180511,9.73267011,56.02420768,1,24,62.58,23647,4295=>445
9.32170212,55.51180511,9.76258507,55.85186739,1,36,46.89,23711,4295=>3788
9.32170212,55.51180511,8.9366792,55.45078486,1,255,25.22,23685,4295=>315
9.32170212,55.51180511,9.420304,55.509753,1,92,6.22,23437,4295=>404
9.99781555,57.24808351,10.52416574,57.43632047,1,56,37.93,23457,2348=>2179
9.93800241,55.79863714,9.8414759,54.96362819,1,184,93.15,23448,5682=>39
9.68866011,56.1539,10.0483414,56.4586074,1,33,40.55,29532,6474=>923
9.14255855,55.47592324,8.97932374,55.35278211,1,217,17.16,23566,5949=>565
