Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
12.55338778,55.68488326,11.87018356,55.14565068,1,216,73.94,28940,4685=>292
12.55338778,55.68488326,10.19194129,56.76065659,1,310,188.93,29290,4685=>2753
12.55338778,55.68488326,8.78632945,56.59122572,1,295,254.46,28940,4685=>531
9.01688742,55.5661491,8.77858359,55.33618399,1,211,29.69,29187,5941=>945
9.88182547,56.11098135,9.77414217,56.10741748,3,267,6.7,"22757 23177 22756","5569=>3640 5569=>3640 5571=>3640"
8.80624546,55.11730256,9.25058971,54.9343524,1,125,34.91,29033,6004=>4492
8.80624546,55.11730256,8.81679207,55.06013901,2,174,6.4,"22992 29019","6004=>4469 6004=>4469"
8.80624546,55.11730256,9.36239271,55.19519696,3,76,36.42,"22842 22992 22998","6004=>1295 6004=>1295 6004=>1295"
8.80624546,55.11730256,9.35986674,55.11536159,1,90,35.25,22842,6004=>4508
8.80624546,55.11730256,9.30968473,55.02647158,1,107,33.64,22841,6004=>4517
9.17733486,55.80010134,9.5521637,55.71165991,1,113,25.46,22818,5693=>1300
11.79638975,55.6060789,12.03285693,55.1049871,1,165,57.75,22825,4714=>1740
10.94768309,55.73466966,9.050939,55.28936841,1,248,129.42,29236,4730=>4415
10.11913347,56.53164726,10.14363148,56.67328465,1,5,15.84,22736,6340=>1313
10.11913347,56.53164726,10.28886161,56.75487617,1,23,26.93,23023,6340=>38
9.93800241,55.79863714,10.0789662,55.8261813,1,71,9.34,23149,5682=>3787
9.14255855,55.47592324,8.26693924,56.09391203,4,322,87.96,"29186 29110 29079 29185","4334=>4126 4334=>4126 4334=>4126 4334=>4126"
9.49149073,55.49190407,8.49162946,55.80164939,1,299,71.65,29230,656=>4193
9.49149073,55.49190407,8.77858359,55.33618399,1,249,48.27,29230,656=>945
9.49149073,55.49190407,8.48301381,55.6233681,1,283,65.16,29230,656=>1293
9.49149073,55.49190407,8.31588601,55.83310891,1,298,83.01,29230,656=>4180
9.49149073,55.49190407,8.40857756,55.82287889,2,299,77.34,"29230 29230","656=>4184 656=>4185"
9.49149073,55.49190407,9.84559872,56.01132805,1,21,61.93,22741,5665=>1164
8.95267034,56.14219771,8.30700823,56.19509868,2,279,40.45,"22782 22937","5814=>4136 5814=>4136"
8.95267034,56.14219771,8.24156208,56.26451832,1,287,46.09,22782,5814=>4107
