Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
12.55338778,55.68488326,11.1239032,54.89912876,6,227,125.93,"19324 19273 19294 19321 19322 19323","4685=>1812 4685=>1812 4685=>1812 4685=>1812 4685=>1812 4685=>1812"
9.01688742,55.5661491,9.04227411,55.00316108,1,179,62.69,19162,5941=>4484
8.24156208,56.26451832,8.810434,56.6441,1,39,54.86,7939,5825=>958
8.24156208,56.26451832,9.38319082,55.70244629,2,131,94.7,"7994 8005","5826=>3852 5826=>3852"
8.24156208,56.26451832,8.33953781,56.29960833,1,57,7.21,7939,5825=>4114
8.24156208,56.26451832,9.44747622,55.70808741,1,129,97.34,8005,5826=>3849
8.7024578,56.20224399,8.810434,56.6441,1,8,49.63,7940,6456=>958
8.80624546,55.11730256,8.81679207,55.06013901,1,174,6.4,8073,6004=>4469
9.17733486,55.80010134,9.08327118,55.6296138,1,197,19.87,8008,5693=>4287
11.79638975,55.6060789,11.87536564,55.67183875,1,34,8.84,19190,4714=>1433
9.29617367,57.09917817,8.85868214,56.7945817,1,218,43.07,8570,5019=>844
10.11913347,56.53164726,10.24204167,56.66137113,1,28,16.29,8091,6340=>136
10.11913347,56.53164726,10.15333015,56.64244951,1,10,12.51,8091,6340=>605
10.11913347,56.53164726,9.89308009,55.88771326,1,191,73.04,8153,6340=>3726
10.11913347,56.53164726,10.03486015,56.61377013,1,331,10.5,8286,6340=>3249
9.93800241,55.79863714,9.92856546,55.77075429,1,191,3.16,7963,5682=>928
9.93800241,55.79863714,10.0789662,55.8261813,2,71,9.34,"7963 8301","5682=>3787 5682=>3787"
9.14255855,55.47592324,8.9892034,55.50158803,1,286,10.09,8006,4334=>281
8.46526917,56.51842152,9.08327118,55.6296138,1,158,106.13,8012,371=>4287
8.46526917,56.51842152,8.75039165,56.40578678,1,125,21.56,8067,371=>1239
9.49149073,55.49190407,9.66467701,55.85329784,1,15,41.67,8132,5665=>512
8.95267034,56.14219771,8.90706651,56.13391485,1,252,2.98,19291,446=>4088
9.97477036,56.76993809,9.23779608,56.9188957,1,291,47.83,8414,6449=>765
9.97477036,56.76993809,9.242163,56.762627,3,269,44.7,"19346 19347 19348","6448=>2833 6448=>2833 6448=>2833"
9.97477036,56.76993809,10.01132401,56.82231318,1,21,6.24,8357,5151=>1013
8.9366792,55.45078486,8.9892034,55.50158803,1,30,6.55,8293,5944=>203
9.5521637,55.71165991,9.57397269,55.67828641,8,160,3.96,"19245 19246 19247 19248 19249 19250 19251 19277","1300=>1317 1300=>1317 1300=>1317 1300=>1317 1300=>1317 1300=>1317 1300=>1317 1300=>1317"
9.5521637,55.71165991,10.19538302,55.99397479,1,52,51.02,19201,1300=>76
11.62189769,55.71362383,11.61945729,55.70048049,1,186,1.47,8074,4720=>1468
11.62189769,55.71362383,11.4397201,55.80248958,1,311,15.1,8088,4720=>289
11.62189769,55.71362383,11.31006328,55.68657399,1,261,19.79,8045,4720=>1542
11.62189769,55.71362383,11.21334063,55.65521253,1,256,26.45,8045,4720=>1550
11.21334063,55.65521253,11.21559751,55.61861785,1,178,4.08,8272,4733=>1533
11.21334063,55.65521253,9.70370454,55.63840667,1,269,94.85,8558,4733=>3930
11.21334063,55.65521253,11.79244904,55.43881169,1,123,43.71,8233,4733=>950
11.21334063,55.65521253,9.74948506,55.57076895,1,265,92.51,8254,4733=>3757
9.74794645,57.16692875,10.28792117,57.15748006,1,92,32.61,7991,5078=>549
11.42615124,55.74366106,10.62175761,55.0641916,1,214,91.14,19285,1561=>2024
10.09226362,57.2849937,10.32289645,57.34965454,1,63,15.62,19166,4990=>1222
10.09226362,57.2849937,10.13688564,57.42516618,1,10,15.83,19166,4990=>572
10.09226362,57.2849937,10.11557169,57.38471485,1,7,11.19,19166,4990=>1166
12.23538072,55.39970485,12.19971411,55.30811363,1,193,10.44,19192,4781=>1711
12.23538072,55.39970485,9.9752457,55.28372306,1,266,143.65,19192,4781=>2010
8.85730379,55.5490305,9.24202741,55.77058218,1,44,34.52,19204,4285=>3865
11.96429115,55.26538826,10.39599158,55.3017613,1,273,99.51,8036,4794=>1918
11.96429115,55.26538826,10.43689839,55.33173429,1,275,97.08,8270,4794=>481
11.96429115,55.26538826,10.48172023,55.2383892,2,269,94.11,"8023 8023","4794=>2093 4794=>2098"
9.66958207,57.21084237,9.69964954,57.27219689,1,15,7.07,7969,5006=>2361
9.66958207,57.21084237,9.7251651,57.38234045,1,10,19.38,8037,5009=>4674
9.4886069,55.5670455,9.54910428,55.55465867,1,110,4.05,8565,5752=>1310
