Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
12.55338778,55.68488326,11.9653639,55.59925368,1,256,38.15,10379,4685=>1425
12.55338778,55.68488326,11.77046667,55.6131776,1,261,49.82,10540,4685=>1474
12.55338778,55.68488326,11.1239032,54.89912876,2,227,125.93,"20249 20363","4685=>1812 4685=>1812"
12.55338778,55.68488326,12.36413324,55.78331028,1,313,16.15,10212,4685=>1420
12.55338778,55.68488326,11.34790612,55.41049695,1,249,81.83,10529,4685=>1081
12.55338778,55.68488326,11.99387683,55.83905468,1,296,39.02,10633,4685=>1381
12.55338778,55.68488326,12.57343889,56.01610814,1,2,36.89,10529,4685=>1344
12.55338778,55.68488326,12.54015172,56.07469026,1,359,43.4,10465,4685=>1351
12.55338778,55.68488326,9.75157225,55.96646262,2,281,177.96,"20327 20327","4685=>1282 4685=>3685"
12.55338778,55.68488326,12.12336702,55.49732762,1,233,34.17,20502,4685=>1458
8.24156208,56.26451832,9.82346994,55.50641302,1,130,129.9,10549,5825=>4588
8.24156208,56.26451832,9.38319082,55.70244629,1,131,94.7,10237,5826=>113
8.24156208,56.26451832,9.91719629,55.46591138,1,130,137.32,10591,5825=>1992
8.24156208,56.26451832,9.30436222,55.71874186,1,132,89.83,10672,5826=>3868
9.07696481,54.9699841,9.19196978,55.87934678,1,4,101.49,10407,6018=>4535
9.07696481,54.9699841,9.49674939,54.93188828,1,99,27.17,10562,6018=>4526
9.88182547,56.11098135,9.77414217,56.10741748,1,267,6.7,10438,5571=>1253
8.7024578,56.20224399,8.85177166,56.57478117,1,12,42.48,10405,6457=>2973
8.7024578,56.20224399,8.810434,56.6441,1,8,49.63,10404,6457=>2968
8.7024578,56.20224399,9.05689351,55.36810054,1,166,95.47,20335,6456=>960
8.80624546,55.11730256,8.78636022,55.0094511,1,186,12.07,10714,6004=>4453
8.80624546,55.11730256,8.30337426,56.3385926,1,347,139.56,10210,6004=>356
8.80624546,55.11730256,9.86775161,55.92840987,1,36,112.37,10590,6004=>3717
9.17733486,55.80010134,9.7076326,56.07812985,1,47,45.29,10242,5695=>836
9.17733486,55.80010134,9.23259893,55.8468133,1,34,6.24,10668,5693=>3829
11.79638975,55.6060789,11.77046667,55.6131776,1,296,1.81,10539,4714=>1474
11.79638975,55.6060789,11.87311353,55.63569967,1,56,5.84,10539,4714=>90
9.29617367,57.09917817,9.00383831,57.02701394,1,246,19.43,10266,5019=>2451
9.68121288,56.96651518,9.82021784,57.00134695,1,65,9.28,10602,5125=>2683
9.99781555,57.24808351,10.28792117,57.15748006,3,120,20.19,"10215 10221 10436","2348=>505 2348=>4665 2348=>242"
9.99781555,57.24808351,10.31225829,57.2885669,1,76,19.46,10323,2348=>248
