Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
12.55338778,55.68488326,12.34120301,55.97859883,1,338,35.28,7511,4685=>255
12.55338778,55.68488326,9.55584445,55.75117948,1,273,188.08,7733,4685=>3799
12.55338778,55.68488326,9.6598159,55.65100588,2,270,181.69,"18860 18860","4685=>563 4685=>3923"
12.55338778,55.68488326,11.99387683,55.83905468,1,296,39.02,7854,4685=>1384
12.55338778,55.68488326,10.08609309,56.38771491,1,298,172.22,7854,4685=>3313
12.55338778,55.68488326,9.97477036,56.76993809,2,308,200.11,"19022 19022","4685=>84 4685=>4652"
12.55338778,55.68488326,10.16351111,56.06922865,1,287,155.24,19007,4685=>770
9.01688742,55.5661491,9.6217602,54.93914052,1,151,79.65,18836,4313=>4525
9.01688742,55.5661491,8.71640042,56.03603078,1,340,55.58,18969,5940=>4155
9.94495944,57.49944519,10.02870892,57.55574435,1,39,8.02,7543,4940=>2254
9.94495944,57.49944519,9.9857954,57.55960816,1,20,7.13,7543,4940=>515
8.24156208,56.26451832,9.38319082,55.70244629,3,131,94.7,"7598 7677 7753","5826=>3852 5826=>3852 5826=>3856"
8.24156208,56.26451832,9.90594911,55.480346,1,129,135.73,7823,5825=>115
9.07696481,54.9699841,9.19196978,55.87934678,1,4,101.49,7541,4532=>4533
8.7024578,56.20224399,8.810434,56.6441,1,8,49.63,7608,6456=>958
8.80624546,55.11730256,9.25058971,54.9343524,1,125,34.91,7639,6004=>4491
8.80624546,55.11730256,9.46147095,55.09054028,1,94,41.83,7528,6004=>4510
9.68121288,56.96651518,9.61424246,56.94766364,1,243,4.57,7789,2721=>2710
9.68121288,56.96651518,9.64459583,56.98237689,1,308,2.84,7788,5125=>2612
9.32170212,55.51180511,10.67239199,55.53421698,2,88,85.15,"7805 7805","5937=>827 5937=>1141"
9.99781555,57.24808351,10.09226362,57.2849937,1,54,7.01,7575,2348=>2342
9.99781555,57.24808351,10.10058993,57.24046025,2,98,6.25,"7760 7760","4996=>2299 4996=>2301"
9.99781555,57.24808351,9.96556941,57.17978982,2,194,7.85,"7553 7743","2348=>2639 2348=>331"
9.99781555,57.24808351,10.00262436,57.36224501,1,1,12.71,7499,2348=>2314
9.99781555,57.24808351,9.74794645,57.16692875,1,239,17.57,7499,2348=>2614
9.99781555,57.24808351,10.01192636,57.15092785,1,175,10.85,7743,2348=>396
9.99781555,57.24808351,8.64201964,56.43840428,2,223,122.22,"18898 18898","4997=>1335 4997=>4018"
10.11913347,56.53164726,10.12903027,56.49923012,1,170,3.66,7731,6340=>3302
10.11913347,56.53164726,10.08609309,56.38771491,1,187,16.15,7716,6340=>3314
10.11913347,56.53164726,9.99211737,56.4052325,2,209,16.09,"7825 7825","6340=>3315 6340=>3316"
9.68866011,56.1539,9.38999496,55.96506418,1,222,28.04,7654,6475=>3678
9.68866011,56.1539,9.348564,55.931241,1,221,32.58,7707,6475=>970
9.14255855,55.47592324,10.28792117,57.15748006,1,20,200.09,7872,5946=>2295
9.14255855,55.47592324,8.48301381,55.6233681,2,292,44.66,"7737 7737","4334=>349 4334=>4202"
9.14255855,55.47592324,11.1239032,54.89912876,1,116,141.34,18852,4334=>1812
9.14255855,55.47592324,9.58826623,55.84747798,1,34,49.94,7574,5948=>454
9.14255855,55.47592324,9.30973468,55.61507191,1,34,18.73,7711,5952=>3899
9.66542509,55.59473397,9.70370454,55.63840667,1,26,5.42,18846,5733=>339
9.66542509,55.59473397,9.72271975,55.60815789,1,67,3.9,7536,5732=>3915
9.66542509,55.59473397,8.90740872,56.43289346,1,333,104.55,18846,5733=>810
9.61833913,56.27388691,9.49193263,55.58573142,1,186,77.01,19039,3177=>3945
9.49149073,55.49190407,9.90594911,55.480346,2,93,26.17,"19090 19090","656=>74 656=>115"
9.49149073,55.49190407,9.75157225,55.96646262,1,17,55.29,7802,5666=>3684
10.52468885,55.17876846,10.52600958,55.13564886,1,179,4.8,7623,4869=>727
9.97477036,56.76993809,9.9260865,56.73172154,1,215,5.19,7669,2770=>973
9.97477036,56.76993809,9.85612331,56.85858438,1,324,12.23,7520,5148=>2690
9.97477036,56.76993809,9.68121288,56.96651518,1,321,28.25,7648,6447=>2720
9.97477036,56.76993809,9.21998851,56.79001184,1,273,46.09,7759,6447=>2838
9.97477036,56.76993809,9.85296203,56.6747888,1,215,12.94,18891,5146=>2766
9.97477036,56.76993809,10.010862,56.940995,1,7,19.17,7644,2770=>2666
9.97477036,56.76993809,9.8965714,56.95132156,1,347,20.74,7663,2770=>302
9.97477036,56.76993809,9.88838246,56.83713849,1,325,9.15,7667,2770=>2745
9.97477036,56.76993809,9.9843203,56.65025328,1,177,13.34,7863,2770=>768
9.97477036,56.76993809,9.99999312,55.92744303,1,179,93.8,18834,2770=>3728
9.97477036,56.76993809,8.9884204,56.70460706,1,264,60.66,7638,6446=>2953
9.97477036,56.76993809,8.91959964,56.64164,1,258,66.04,7636,6446=>2902
9.97477036,56.76993809,8.98817125,56.76991976,1,270,60.18,7658,6446=>2945
10.53161141,55.23721546,10.48172023,55.2383892,2,272,3.17,"18987 18954","4878=>2098 2105=>2098"
10.53161141,55.23721546,9.90594911,55.480346,3,305,47.96,"7554 7683 7824","4878=>115 4878=>1980 4878=>115"
10.53161141,55.23721546,9.87184612,55.35964882,1,288,43.98,7513,4878=>180
10.53161141,55.23721546,10.56705931,56.37457766,1,1,126.63,19108,2105=>3376
12.23006556,55.56957498,12.27153924,55.64900973,1,16,9.22,7846,4701=>1413
9.5521637,55.71165991,9.65824266,55.74095127,1,64,7.41,19033,1300=>3797
9.5521637,55.71165991,9.292717,55.984939,1,332,34.47,19019,1300=>272
9.5521637,55.71165991,10.0036492,55.80811982,1,69,30.25,19019,1300=>3785
9.5521637,55.71165991,8.71941953,55.436327,1,240,60.71,7533,1300=>4348
9.5521637,55.71165991,8.80146899,55.46951931,2,241,54.37,"7533 7594","1300=>4341 1300=>357"
11.09581415,55.68344305,8.48820299,56.97051219,1,313,215.45,7650,4710=>2487
8.59144328,56.40590419,8.58734506,56.4491865,1,357,4.82,7778,5787=>4024
11.21334063,55.65521253,9.70370454,55.63840667,1,269,94.85,7606,4733=>809
9.74794645,57.16692875,9.66958207,57.21084237,3,316,6.8,"7689 7810 7810","5078=>2379 5078=>2379 5078=>2380"
9.74794645,57.16692875,9.55622921,56.69662805,1,193,53.63,7695,5078=>3038
9.74794645,57.16692875,10.01192636,57.15092785,1,96,16.04,7725,5078=>395
9.74794645,57.16692875,11.95936623,55.64460914,1,140,217.39,7782,5078=>168
11.30930063,55.50046107,10.72463304,55.19528098,1,228,50.24,18843,4726=>680
10.59139922,55.83257606,10.55290497,55.96474501,1,351,14.91,7587,4743=>825
