Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
12.55338778,55.68488326,11.5637071,54.76184575,1,212,120.44,6257,4685=>1832
12.55338778,55.68488326,11.52086553,54.79788693,1,214,118.5,6260,4685=>1831
12.55338778,55.68488326,11.50911616,54.77425467,2,214,121.12,"6257 6264","4685=>1806 4685=>4551"
12.55338778,55.68488326,9.25779543,55.90628978,1,278,207.68,6357,4685=>3835
12.55338778,55.68488326,11.54457708,56.70505201,1,332,129.61,6538,4685=>3422
12.55338778,55.68488326,11.06625641,55.69549401,1,271,93.32,6520,4685=>847
12.55338778,55.68488326,12.27361833,55.73497767,1,288,18.41,6724,4685=>1416
12.55338778,55.68488326,12.45177463,56.02090521,1,350,37.94,6417,4685=>1348
12.55338778,55.68488326,9.90012939,55.27057781,1,256,173.61,6719,4685=>77
12.55338778,55.68488326,9.17162542,56.48666115,1,294,228.19,6393,4685=>3003
9.01688742,55.5661491,9.06844645,55.47082031,2,163,11.1,"18263 18264","4313=>4328 4313=>4328"
9.01688742,55.5661491,9.01459535,55.45706344,1,181,12.14,18264,4313=>1107
9.94495944,57.49944519,9.94435879,57.52981312,1,359,3.38,6299,4940=>2256
9.94495944,57.49944519,9.78457859,57.46253693,1,247,10.44,6361,4940=>2262
8.24156208,56.26451832,8.810434,56.6441,1,39,54.86,6304,5825=>2967
8.24156208,56.26451832,8.26693924,56.09391203,1,175,19.06,6313,5825=>4126
8.24156208,56.26451832,10.39005511,55.39681993,1,125,165.44,6711,5825=>850
8.24156208,56.26451832,10.13091193,55.38709123,1,129,153.28,6364,5825=>1895
8.24156208,56.26451832,11.31006328,55.68657399,1,107,201.65,6711,5825=>193
9.88182547,56.11098135,9.68866011,56.1539,1,292,12.9,6628,5569=>702
9.88182547,56.11098135,9.44221523,56.32779423,1,312,36.37,6629,5569=>3173
8.7024578,56.20224399,8.97932374,55.35278211,1,169,96.14,18268,6456=>565
8.80624546,55.11730256,8.81679207,55.06013901,1,174,6.4,6693,6004=>4472
8.80624546,55.11730256,9.36239271,55.19519696,2,76,36.42,"6691 6691","6004=>1069 6004=>4564"
8.80624546,55.11730256,9.35986674,55.11536159,1,90,35.25,6315,6004=>4503
8.80624546,55.11730256,8.94781772,55.06049031,1,125,11.02,6409,6004=>4478
8.80624546,55.11730256,9.20524537,55.19953449,1,70,26.98,6691,6004=>4422
8.80624546,55.11730256,8.78636022,55.0094511,1,186,12.07,6692,6004=>4453
9.17733486,55.80010134,9.23259893,55.8468133,1,34,6.24,6660,5693=>3832
9.17733486,55.80010134,8.89396153,55.83813703,1,284,18.22,6664,5693=>3842
