Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
8.24156208,56.26451832,8.18988814,56.30624905,1,325,5.64,7901,5826=>4104
9.74794645,57.16692875,9.94435879,57.52981312,1,16,42.08,7914,5078=>2256
10.64140852,55.86326329,10.57176875,55.84903122,1,250,4.63,7905,4756=>1579
10.55290497,55.96474501,11.03403286,57.27247189,1,11,148.53,7911,4758=>2421
9.37836463,56.45780394,8.48820299,56.97051219,2,317,78.83,"19128 19128","5208=>1286 5208=>2484"
9.99749113,57.45913657,9.9857954,57.55960816,1,356,11.21,19148,469=>515
10.30975213,57.61903603,10.56422311,57.72685939,1,52,19.33,7926,4898=>2184
10.1928376,57.58773669,10.02870892,57.55574435,1,250,10.42,19149,2195=>2254
10.19922035,57.5422646,10.1928376,57.58773669,4,356,5.08,"19142 19144 19141 19145","127=>2195 127=>2195 4903=>2195 4903=>2195"
10.4799494,57.47709661,10.56422311,57.72685939,1,10,28.25,7916,4906=>2183
10.29659671,57.40928505,10.19922035,57.5422646,1,339,15.91,19146,2227=>127
10.29659671,57.40928505,10.1928376,57.58773669,1,343,20.81,19146,2227=>2195
10.40685789,57.44038976,10.1928376,57.58773669,1,322,20.8,19143,4924=>2195
10.40685789,57.44038976,10.4799494,57.47709661,2,47,5.99,"19147 19147","2228=>2205 2228=>4679"
10.40685789,57.44038976,10.56422311,57.72685939,1,16,33.24,7915,4925=>4682
9.77707939,57.41548443,9.78313657,57.40131627,1,167,1.62,7890,4943=>747
9.77707939,57.41548443,9.78457859,57.46253693,1,5,5.26,7890,4943=>773
9.62246601,57.24730572,9.46249934,57.13223706,1,217,16.04,7919,5004=>2395
9.62246601,57.24730572,9.4850338,57.07415465,1,203,20.98,7919,5004=>2408
8.33953781,56.29960833,9.46249934,57.13223706,1,36,115.31,7919,5832=>2395
8.33953781,56.29960833,9.4850338,57.07415465,1,39,111.08,7919,5832=>2408
8.33953781,56.29960833,8.18988814,56.30624905,2,275,9.27,"7931 7932","5832=>4098 5832=>4098"
8.33953781,56.29960833,8.17656268,56.27879324,1,257,10.33,7933,5832=>4096
8.73479715,57.01500974,9.00099051,57.10595107,1,58,19.03,7928,5028=>2445
8.73479715,57.01500974,8.81166219,57.05900617,1,44,6.76,7928,5028=>2470
8.73479715,57.01500974,10.4799494,57.47709661,1,63,117.01,7927,5028=>4679
8.54350526,56.86406245,8.60389504,57.11528803,1,7,28.2,7909,5044=>399
8.44661772,56.82524672,8.24072529,56.77887529,1,248,13.57,7912,5047=>14
8.44661772,56.82524672,8.17369803,56.62066705,1,216,28.22,7913,5047=>3991
8.31670931,56.75720487,8.24072529,56.77887529,1,297,5.23,7930,5051=>14
9.21746784,56.59746309,8.14158228,56.47814353,1,259,67.36,7889,5254=>4009
8.60045399,55.87516419,8.28146,55.632333,1,217,33.62,7895,6506=>4230
10.86238959,56.47355037,10.82520646,56.50293044,1,325,3.99,7917,5448=>3401
10.56303177,56.41067005,10.58465749,56.5070087,1,7,10.81,7918,5462=>3408
9.81157347,55.74439207,10.64140852,55.86326329,1,75,53.58,7906,5671=>1583
8.2861537,56.1439275,8.21425645,56.19854236,1,324,7.54,19132,5838=>4140
8.2861537,56.1439275,8.20005733,56.23337586,1,332,11.3,19133,5838=>4143
8.33130981,55.6159675,8.1431204,55.55530123,2,240,13.63,"7924 7896","5894=>4234 5896=>4234"
