Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
12.55338778,55.68488326,11.15514541,55.6801489,1,270,87.75,1868,4685=>1527
12.55338778,55.68488326,10.58546476,56.35727052,1,302,143.49,1961,4685=>3444
12.55338778,55.68488326,12.3043318,55.71112583,1,281,15.9,1866,4685=>1415
12.55338778,55.68488326,10.67239199,55.53421698,3,263,119.45,"1853 1853 1853","4685=>263 4685=>827 4685=>1945"
12.55338778,55.68488326,9.4116545,55.04862654,1,252,210.98,15160,4685=>1
12.55338778,55.68488326,9.14370589,55.30843464,1,260,219.03,15160,4685=>4404
9.88182547,56.11098135,9.8356371,56.07811135,1,218,4.65,1931,5567=>3588
8.80624546,55.11730256,8.81679207,55.06013901,1,174,6.4,1901,6004=>4469
8.80624546,55.11730256,8.67905298,54.9832984,1,209,16.98,1922,6004=>4456
9.17733486,55.80010134,9.32137834,55.77096642,1,110,9.58,1859,5693=>3860
9.49149073,55.49190407,9.54601738,55.7627968,1,6,30.35,1865,5665=>3803
10.52468885,55.17876846,10.49370528,55.35536226,1,354,19.76,1926,4869=>1904
9.97477036,56.76993809,9.242163,56.762627,2,269,44.7,"15202 1915","6446=>2833 6447=>2833"
9.97477036,56.76993809,9.21998851,56.79001184,2,273,46.09,"1844 1929","6447=>2838 6447=>2834"
12.49697944,55.87703196,11.90217116,55.00330223,1,201,104.26,1898,4687=>1338
11.21334063,55.65521253,11.76838014,55.49068151,2,117,39.44,"1869 1891","4733=>1621 4733=>1615"
11.21334063,55.65521253,11.21559751,55.61861785,1,178,4.08,1928,4733=>1266
11.21334063,55.65521253,11.79834719,55.46270563,1,120,42.61,1894,4733=>1610
11.21334063,55.65521253,11.72946498,55.42891109,1,128,41.13,1933,4733=>1611
9.74794645,57.16692875,9.69964954,57.27219689,1,346,12.07,1945,5078=>2361
9.74794645,57.16692875,10.11557169,57.38471485,1,42,32.82,1956,5078=>1029
9.74794645,57.16692875,10.38135001,57.32361016,1,65,41.95,1871,5078=>506
9.74794645,57.16692875,9.80331066,57.29650619,1,13,14.81,1956,5078=>2327
9.74794645,57.16692875,9.94517372,57.35331082,1,30,23.91,1957,5078=>2336
9.74794645,57.16692875,9.40161986,55.37312425,1,186,200.83,1964,5078=>4388
9.01276464,56.44164212,10.56795957,55.32034324,2,141,158.14,"15208 15208","5266=>301 5266=>1915"
11.56194704,55.44008678,10.67239199,55.53421698,3,281,57.08,"1852 1852 1852","1590=>827 1590=>1945 1590=>4594"
11.419423,55.481001,11.50942046,55.4901315,1,80,5.77,15231,4768=>1604
12.11441045,55.25465813,11.40951026,55.66108143,1,316,63.45,1870,4791=>1497
9.66958207,57.21084237,9.90701839,57.30294273,1,54,17.59,1874,5009=>2333
9.66958207,57.21084237,9.83422482,57.36607902,1,30,19.92,1874,5009=>4673
9.74889991,56.8216214,9.81335026,56.84640941,2,55,4.8,"1927 1932","2697=>2695 2697=>2695"
9.28273477,56.72716896,9.3387978,56.69549546,1,136,4.92,1913,5176=>3032
11.75351597,55.17756856,11.81749277,55.15569473,1,121,4.74,1897,1730=>1732
12.16277647,55.00013266,10.27390217,55.51951195,1,296,133.04,1886,4798=>1960
12.44955107,54.99609429,12.48500029,54.98462945,1,119,2.6,1818,4800=>1768
10.6586365,55.51612464,10.67239199,55.53421698,10,23,2.19,"1851 1854 15166 15166 15188 15188 15192 15192 15167 15167","4832=>1945 4832=>1945 4832=>827 4832=>1141 4832=>827 4832=>1141 4836=>1141 4836=>4594 4837=>1141 4837=>4594"
9.8643127,55.4901813,9.90594911,55.480346,2,113,2.85,"15216 15216","4853=>74 4853=>115"
9.82743558,55.4229237,9.91145513,55.40831693,1,107,5.55,1820,4857=>2001
10.1191493,55.26116322,10.56795957,55.32034324,2,77,29.2,"15207 15207","4858=>301 4858=>1915"
10.45547016,56.34646653,9.85556339,56.25716427,1,255,38.36,15228,1220=>3624
10.43171693,55.10334366,10.10813829,56.15817284,1,350,119.17,1872,4872=>1250
10.43171693,55.10334366,9.4116545,55.04862654,1,265,65.29,15172,4872=>1
10.43171693,55.10334366,8.86505426,56.72059777,1,332,204.84,15205,4872=>2962
8.90740872,56.43289346,8.86505426,56.72059777,1,355,32.13,15205,6453=>2962
8.90740872,56.43289346,8.90403439,56.69059165,1,360,28.69,15140,6455=>2955
8.90740872,56.43289346,8.912187,56.74484,1,0,34.73,15203,6453=>2960
8.52353886,56.89543114,8.57136705,56.83725467,1,156,7.1,1920,5040=>2497
8.52353886,56.89543114,9.26240033,56.96547142,1,80,45.55,1920,5040=>2613
9.99749113,57.45913657,10.11557169,57.38471485,1,139,10.9,1954,469=>1029
10.40685789,57.44038976,10.30975213,57.61903603,1,344,20.72,1938,4925=>2187
10.13688564,57.42516618,9.99749113,57.45913657,1,294,9.17,15221,4928=>469
10.13688564,57.42516618,10.516491,57.330506,1,115,25.1,15226,4928=>988
9.85202605,57.47912237,10.30975213,57.61903603,1,60,31.47,1950,4941=>2189
10.38135001,57.32361016,10.43807204,57.31823044,1,100,3.46,15224,506=>1332
10.38135001,57.32361016,10.28792117,57.15748006,1,197,19.33,15227,506=>241
10.38135001,57.32361016,10.14287997,55.92725107,1,185,156.13,15227,506=>3567
10.11557169,57.38471485,10.13688564,57.42516618,1,16,4.68,1953,4968=>572
10.11557169,57.38471485,11.87487653,55.10876991,1,156,275.71,1896,4968=>724
9.91113631,57.34394957,9.83422482,57.36607902,1,298,5.23,15181,4985=>4673
9.94420384,57.27277164,9.83422482,57.36607902,1,328,12.31,15183,2339=>4673
8.33208508,56.81422905,8.3638188,56.85163333,1,25,4.59,1930,5050=>2510
8.72294206,56.84403452,9.25829724,56.85728982,1,87,32.62,1936,5068=>146
8.72294206,56.84403452,9.00383831,57.02701394,1,40,26.57,1936,5068=>2451
8.86132089,56.92233293,10.15997114,55.47376268,1,153,180.19,15197,997=>1971
10.01192636,57.15092785,8.92627143,55.75784153,2,204,168.84,"15180 15232","5092=>366 5092=>366"
9.85612331,56.85858438,10.30975213,57.61903603,1,18,88.95,1951,5120=>2193
10.11611215,56.82866129,9.93214951,57.04020941,1,335,26.07,1879,2727=>27
9.50253441,56.72201154,10.13314571,56.31072258,1,139,59.97,15138,5277=>3333
9.6928785,56.18970837,9.51321614,56.26336109,1,306,13.81,1948,5584=>86
9.67463947,56.78461746,9.51687125,56.76774438,1,259,9.8,1881,424=>2814
9.86775161,55.92840987,9.985303,57.462684,1,2,170.94,1952,3717=>2236
9.4181296,56.80367274,9.46847879,56.98422923,1,9,20.33,1825,5159=>2874
