Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
12.55338778,55.68488326,9.97718946,56.22214714,2,291,171.32,"26739 26739","4685=>3513 4685=>3515"
12.55338778,55.68488326,10.68640214,56.30044853,1,301,134.93,22040,4685=>3435
12.55338778,55.68488326,8.78636022,55.0094511,1,254,249.98,26958,4685=>4453
12.55338778,55.68488326,9.62246601,57.24730572,1,315,250.43,26781,4685=>2366
12.55338778,55.68488326,9.66958207,57.21084237,1,315,245.59,26781,4685=>2377
12.55338778,55.68488326,9.4850338,57.07415465,1,310,244.26,26976,4685=>654
12.55338778,55.68488326,9.23779608,56.9188957,1,305,246.54,26976,4685=>765
12.55338778,55.68488326,9.3617377,56.71405477,1,301,228.42,26976,4685=>3025
12.55338778,55.68488326,9.932799,54.731609,1,239,197.38,22204,4684=>1100
8.80624546,55.11730256,9.21313241,55.07592424,1,100,26.32,26899,6004=>435
8.80624546,55.11730256,8.78636022,55.0094511,1,186,12.07,26966,6004=>4453
9.17733486,55.80010134,9.30436222,55.71874186,3,139,12.06,"26971 26993 26993","5691=>3868 5691=>3868 5691=>3875"
9.17733486,55.80010134,9.65824266,55.74095127,1,102,30.82,26971,5691=>3797
9.17733486,55.80010134,8.4446389,55.90317791,1,284,47.2,26971,5691=>4188
11.79638975,55.6060789,12.05240733,55.11870202,1,163,56.62,22113,4714=>1684
11.79638975,55.6060789,9.66542509,55.59473397,1,270,134.02,26925,4714=>3917
9.68121288,56.96651518,9.61424246,56.94766364,1,243,4.57,21997,2721=>2710
9.68121288,56.96651518,9.93214951,57.04020941,1,62,17.28,22236,2721=>27
9.32170212,55.51180511,9.75157225,55.96646262,1,28,57.33,21988,4295=>1282
9.99781555,57.24808351,9.94420384,57.27277164,1,310,4.24,26804,2348=>2339
10.11913347,56.53164726,10.14363148,56.67328465,1,5,15.84,21824,6340=>18
10.11913347,56.53164726,10.15333015,56.64244951,2,10,12.51,"21824 21832","6340=>605 6340=>3263"
10.11913347,56.53164726,10.03486015,56.61377013,1,331,10.5,21832,6340=>3249
9.93800241,55.79863714,10.023887,55.746783,1,137,7.89,22085,5682=>904
9.93800241,55.79863714,12.55338778,55.68488326,1,93,164.37,22091,5682=>1341
9.68866011,56.1539,9.5470055,56.16936133,5,281,8.95,"22027 22111 22132 22162 21892","5575=>1017 5575=>1017 5575=>1017 5575=>1017 5578=>1017"
9.68866011,56.1539,9.66364638,56.22223224,1,348,7.76,22108,5575=>3198
9.68866011,56.1539,9.37836463,56.45780394,1,331,38.88,22111,5575=>2887
9.68866011,56.1539,9.30436222,55.71874186,2,207,54.04,"22080 22080","5576=>3868 5576=>3871"
8.46526917,56.51842152,8.3083178,56.55861582,1,295,10.62,22196,371=>695
8.46526917,56.51842152,8.329496,56.55614435,1,297,9.33,22196,371=>835
8.46526917,56.51842152,8.30687234,56.33569219,1,206,22.56,22195,371=>299
8.46526917,56.51842152,8.55103757,56.47127886,1,135,7.44,22195,371=>626
9.61833913,56.27388691,12.55338778,55.68488326,1,108,194.18,26850,5331=>1341
11.52566098,55.50739674,12.08126874,55.64834763,1,66,38.32,22086,4764=>1394
9.49149073,55.49190407,8.56476803,55.66314101,1,288,61.35,22076,656=>831
10.52468885,55.17876846,10.48172023,55.2383892,1,338,7.18,21977,4869=>2094
10.52468885,55.17876846,10.53100515,55.11410639,1,177,7.21,22200,4869=>613
9.97477036,56.76993809,9.4850338,57.07415465,1,319,45.08,26976,5148=>654
9.97477036,56.76993809,9.23779608,56.9188957,1,291,47.83,26976,5148=>765
9.97477036,56.76993809,9.3617377,56.71405477,1,261,37.94,26976,5148=>3025
