Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
12.55338778,55.68488326,11.5637071,54.76184575,2,212,120.44,"2397 2417","4685=>1833 4685=>1833"
12.55338778,55.68488326,11.34790612,55.41049695,1,249,81.83,2334,4685=>1081
12.55338778,55.68488326,12.57343889,56.01610814,1,2,36.89,2354,4685=>1344
8.80624546,55.11730256,8.81679207,55.06013901,1,174,6.4,2349,6004=>4473
11.79638975,55.6060789,12.16277647,55.00013266,1,161,71.34,2322,4714=>591
11.52566098,55.50739674,11.29143588,55.48378264,1,260,15,2323,4764=>1503
10.52468885,55.17876846,11.24787983,55.43713416,1,58,54.1,2329,4870=>1644
12.09461913,55.5717187,12.24081087,55.59752102,1,73,9.64,2324,1452=>1434
11.73709316,55.71330482,9.5521637,55.71165991,1,271,137.01,15462,4708=>1300
9.5521637,55.71165991,11.73709316,55.71330482,1,89,137.01,15462,1300=>495
9.74794645,57.16692875,9.8071931,57.15011259,3,118,4.04,"2352 2353 2353","5078=>145 5078=>145 5078=>2636"
11.42615124,55.74366106,12.28696514,54.9899554,1,147,100.02,15441,1561=>4557
10.09226362,57.2849937,9.94435879,57.52981312,1,342,28.66,15445,4994=>2256
12.23538072,55.39970485,12.14493103,55.4144014,1,286,5.95,15431,4781=>1691
11.95792563,54.7421868,11.90379063,54.63389441,1,196,12.55,2328,1852=>1123
10.68390125,55.28366694,10.6106881,55.25116917,1,232,5.89,2395,4888=>2142
10.51428349,54.85569982,10.72419846,54.86456408,1,86,13.49,2411,4892=>2168
8.7957105,56.96737651,10.93322495,55.15280828,1,146,241.74,15454,533=>532
8.7957105,56.96737651,10.30657345,56.99519175,1,87,91.7,15454,533=>2656
10.21956972,56.97030321,9.8414759,54.96362819,2,186,224.62,"15459 15459","2673=>39 5113=>39"
10.21956972,56.97030321,10.241232,56.866053,2,174,11.68,"15459 15459","2673=>1195 5113=>1195"
9.21998851,56.79001184,9.3360757,56.86446245,1,40,10.89,2343,5182=>2800
9.02754383,56.82667681,10.35100168,56.36874798,1,122,95.79,2333,2963=>3384
9.49686839,56.41942697,9.92891517,56.54533545,1,62,30.03,2391,5316=>69
10.8669955,56.46153854,14.92711625,55.06815377,1,120,297.78,2416,5452=>1780
9.6720032,55.26493871,9.737277,55.892376,2,3,69.97,"15455 15455","6486=>3738 6486=>3741"
9.58826623,55.84747798,9.7034546,55.85291154,1,85,7.22,15460,593=>661
9.970865,56.094473,9.99651253,56.09972201,1,70,1.7,15434,584=>3581
9.36239271,55.19519696,9.74794645,57.16692875,2,6,220.79,"15444 15444","1295=>3 1295=>2633"
