Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
12.55338778,55.68488326,10.58237489,55.42378724,1,258,127.46,13506,4685=>1927
12.55338778,55.68488326,11.21559751,55.61861785,1,266,84.35,12502,4685=>1266
12.55338778,55.68488326,10.64962174,56.40887366,1,305,143.19,12185,4685=>3421
12.55338778,55.68488326,8.64674475,55.42798863,1,265,247.59,12189,4685=>4342
12.55338778,55.68488326,12.27361833,55.73497767,1,288,18.41,12106,4685=>1417
12.55338778,55.68488326,8.18454087,56.44940382,1,289,284.45,12654,4685=>3968
12.55338778,55.68488326,8.2237962,56.56018322,2,292,285.72,"12654 12767","4685=>3999 4685=>3999"
12.55338778,55.68488326,9.85612331,56.85858438,1,309,211.79,13211,4685=>1136
8.24156208,56.26451832,8.810434,56.6441,1,39,54.86,12413,5825=>958
8.24156208,56.26451832,10.05643768,55.33038827,2,132,153.97,"12139 12593","5825=>870 5825=>870"
8.24156208,56.26451832,8.34991012,56.3910552,1,25,15.59,12286,5825=>3973
8.24156208,56.26451832,8.2237962,56.56018322,1,358,32.93,12240,5825=>190
8.24156208,56.26451832,8.82771692,55.57328956,1,154,85.19,12260,5825=>102
8.24156208,56.26451832,8.77858359,55.33618399,1,162,108.67,12260,5825=>945
8.24156208,56.26451832,8.26198407,56.49910583,2,3,26.14,"12284 13526","5825=>3965 5825=>3965"
8.24156208,56.26451832,9.30436222,55.71874186,1,132,89.83,7494,5826=>3871
9.88182547,56.11098135,9.8356371,56.07811135,1,218,4.65,13172,5567=>3587
9.88182547,56.11098135,9.95281764,56.11665377,3,82,4.45,"12748 12749 13390","5568=>3536 5568=>3536 5568=>3536"
9.88182547,56.11098135,9.7076326,56.07812985,1,251,11.42,13172,5567=>3648
9.88182547,56.11098135,9.94012695,56.1357368,1,53,4.55,12748,5568=>3534
9.88182547,56.11098135,9.271131,55.769331,1,225,53.81,12748,5568=>1087
8.7024578,56.20224399,9.12831637,56.70268186,1,25,61.56,12279,6457=>1190
8.80624546,55.11730256,9.25058971,54.9343524,1,125,34.91,13324,6004=>4491
8.80624546,55.11730256,9.40756732,54.98983283,1,110,40.88,12515,6004=>4521
8.80624546,55.11730256,9.4116545,55.04862654,1,101,39.33,12649,6004=>1
8.80624546,55.11730256,9.21313241,55.07592424,1,100,26.32,12141,6004=>435
8.80624546,55.11730256,8.78636022,55.0094511,2,186,12.07,"12327 12611","6004=>4455 6004=>4455"
8.80624546,55.11730256,9.50267379,54.97894475,1,109,47.01,12410,6004=>4523
8.80624546,55.11730256,8.77858359,55.33618399,1,356,24.43,13559,6004=>945
9.17733486,55.80010134,12.34315195,54.99164443,1,113,219.41,13492,5695=>1762
9.17733486,55.80010134,12.39979713,54.99535345,1,112,222.51,13492,5695=>1765
9.17733486,55.80010134,9.30436222,55.71874186,3,139,12.06,"13451 21070 21070","5692=>3874 5690=>3871 5690=>3874"
9.17733486,55.80010134,9.32137834,55.77096642,1,110,9.58,12704,5692=>3858
9.17733486,55.80010134,9.24202741,55.77058218,2,129,5.21,"21075 21075","5691=>3865 5691=>3867"
9.17733486,55.80010134,9.23259893,55.8468133,5,34,6.24,"13433 13460 13486 13486 13525","5693=>3829 5693=>3829 5693=>3829 5693=>3831 5693=>3829"
11.79638975,55.6060789,12.05240733,55.11870202,2,163,56.62,"12374 12897","4714=>1684 4714=>1684"
9.29617367,57.09917817,9.00383831,57.02701394,1,246,19.43,13319,5019=>2450
9.31819277,55.02032089,8.77858359,55.33618399,1,316,49.12,21304,6023=>945
9.68121288,56.96651518,9.682732,57.027583,1,1,6.8,12118,2721=>645
9.68121288,56.96651518,9.34811902,56.93022611,1,259,20.62,13136,2721=>1312
9.68121288,56.96651518,9.85202605,57.47912237,1,10,57.98,13136,2721=>2258
9.32170212,55.51180511,9.76768063,56.00244817,1,27,61.35,13445,4295=>1339
9.32170212,55.51180511,9.271131,55.769331,1,354,28.84,13269,5936=>1087
9.32170212,55.51180511,9.64459232,55.79600588,1,33,37.58,13269,5936=>4607
9.32170212,55.51180511,9.11742998,55.5219207,2,275,12.92,"13536 12661","5936=>335 5936=>335"
9.99781555,57.24808351,10.28792117,57.15748006,2,120,20.19,"12761 12761","2348=>2288 2348=>2293"
9.99781555,57.24808351,9.93214951,57.04020941,1,190,23.48,13434,2348=>27
9.99781555,57.24808351,10.40375545,57.36109528,1,63,27.46,13434,2348=>600
9.99781555,57.24808351,10.50362009,57.45082532,1,53,37.84,12539,4996=>310
10.11913347,56.53164726,10.14363148,56.67328465,2,5,15.84,"12463 12552","6340=>1313 6340=>18"
10.11913347,56.53164726,10.24204167,56.66137113,1,28,16.29,13518,6340=>3259
10.11913347,56.53164726,10.2014359,56.61990065,1,27,11.04,13400,6340=>3267
10.11913347,56.53164726,10.03486015,56.61377013,2,331,10.5,"12417 12417","6340=>444 6340=>3249"
10.11913347,56.53164726,10.02530132,56.41896103,1,205,13.81,12403,6340=>3308
10.11913347,56.53164726,10.11196406,56.55608744,1,351,2.76,12113,6340=>386
10.11913347,56.53164726,9.9973083,56.57504773,1,303,8.9,12371,6340=>4647
10.11913347,56.53164726,9.98880571,56.50431637,1,249,8.56,12190,6340=>133
10.11913347,56.53164726,10.10813829,56.15817284,1,181,41.58,12193,6340=>1250
10.11913347,56.53164726,9.34811902,56.93022611,1,314,64.69,12269,6340=>1312
10.11913347,56.53164726,10.18655208,56.57922546,1,38,6.72,13459,6340=>3270
9.93800241,55.79863714,10.0789662,55.8261813,2,71,9.34,"13385 13386","5682=>3787 5682=>3787"
9.93800241,55.79863714,10.0036492,55.80811982,1,76,4.24,12273,5682=>3784
9.14255855,55.47592324,12.23006557,55.56957498,1,86,194.82,7452,5946=>1444
9.14255855,55.47592324,9.43858316,55.67283345,2,40,28.77,"12847 21239","4334=>3887 4334=>4601"
9.14255855,55.47592324,9.38319082,55.70244629,2,31,29.41,"12562 13464","4334=>3852 4334=>3854"
9.14255855,55.47592324,9.49068388,55.66364171,1,46,30.28,21239,4334=>483
9.14255855,55.47592324,9.11742998,55.5219207,2,343,5.36,"12103 12180","5952=>243 5952=>335"
10.15055444,55.97882035,9.82190191,56.72635189,1,346,85.65,13501,5544=>337
8.46526917,56.51842152,8.31181859,56.45083072,1,232,12.07,12250,371=>3972
8.46526917,56.51842152,8.40990349,56.55878913,3,323,5.63,"12629 13137 13413","371=>3964 5765=>3964 5765=>3964"
8.46526917,56.51842152,8.21046211,56.48868136,1,258,16,12698,371=>4006
8.46526917,56.51842152,8.42207159,56.31947279,1,187,22.31,12765,371=>929
8.46526917,56.51842152,8.38210526,56.52741547,1,281,5.2,13479,5765=>3980
8.46526917,56.51842152,8.52851154,56.64886781,3,15,15.03,"13105 13185 13185","5765=>254 5765=>254 5765=>2538"
8.46526917,56.51842152,8.56931314,56.61326781,1,31,12.34,13185,5765=>2542
8.46526917,56.51842152,8.2237962,56.56018322,1,287,15.53,13479,5765=>3999
9.61833913,56.27388691,9.50899595,57.09430845,1,356,91.57,12384,3177=>2397
9.61833913,56.27388691,9.66364638,56.22223224,2,154,6.4,"7442 7442","5332=>3196 5332=>3198"
11.52566098,55.50739674,11.59056834,55.53920625,2,49,5.41,"12677 12745","4764=>1486 4764=>1486"
9.49149073,55.49190407,8.64674475,55.42798863,1,263,53.79,21055,656=>4342
10.52468885,55.17876846,10.52600958,55.13564886,1,179,4.8,12592,4869=>727
10.52468885,55.17876846,10.70372579,55.36192302,1,29,23.34,12138,4869=>2129
10.52468885,55.17876846,10.67288794,55.15462415,1,106,9.8,13159,4869=>2124
10.52468885,55.17876846,10.60044103,55.21933629,1,47,6.6,12172,4869=>2109
10.52468885,55.17876846,10.430304,55.23965024,1,318,9.05,12816,4869=>2070
10.52468885,55.17876846,10.49930672,55.13097468,2,197,5.56,"13120 13429","4869=>2040 4869=>2040"
10.52468885,55.17876846,10.31002587,55.18398859,1,273,13.66,13147,4869=>2078
8.95267034,56.14219771,9.15762141,56.13579896,1,93,12.73,21279,5811=>4079
8.95267034,56.14219771,12.03507793,55.08196045,1,120,226.88,21134,446=>1745
8.95267034,56.14219771,12.01939282,54.86281625,1,125,240.1,21134,446=>1842
9.97477036,56.76993809,9.21998851,56.79001184,1,273,46.09,12819,6447=>2838
9.97477036,56.76993809,9.95603185,57.16277574,2,359,43.75,"7429 7429","5152=>1287 5152=>2637"
9.97477036,56.76993809,10.103645,57.190227,1,9,47.43,21175,5152=>672
