Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance,StoryIDs,PlacePairs
12.55338778,55.68488326,11.59905949,55.91342466,1,293,64.91,2138,4685=>480
12.55338778,55.68488326,12.50391673,55.77013224,1,342,9.98,2153,4685=>746
12.55338778,55.68488326,11.65536726,54.88942158,1,213,105.27,2293,4685=>1834
12.55338778,55.68488326,11.30930063,55.50046107,1,256,80.9,2150,4685=>1514
12.55338778,55.68488326,9.33949841,55.05584055,1,252,215,2148,4685=>952
12.55338778,55.68488326,11.30667568,55.54653956,1,259,79.87,2149,4685=>990
12.55338778,55.68488326,12.27361833,55.73497767,1,288,18.41,2151,4685=>1416
12.55338778,55.68488326,12.36413324,55.78331028,1,313,16.15,2112,4685=>1421
12.55338778,55.68488326,11.40951026,55.66108143,1,268,71.85,2241,4685=>1497
12.55338778,55.68488326,10.18626422,55.95692501,1,283,151.09,2206,4685=>3554
8.24156208,56.26451832,8.21073292,56.39423665,1,352,14.56,15408,5825=>3974
9.88182547,56.11098135,9.8614429,55.97300374,1,185,15.41,2163,5569=>3692
8.7024578,56.20224399,9.14028051,56.62178612,2,30,53.93,"2123 2195","6457=>2994 6457=>2994"
8.7024578,56.20224399,9.21746784,56.59746309,1,36,54.24,2123,6457=>384
9.17733486,55.80010134,9.12705174,55.9459115,2,349,16.53,"2177 2177","5693=>3837 5693=>3841"
11.79638975,55.6060789,14.70621665,55.10155898,1,106,192.51,2114,4714=>1775
11.79638975,55.6060789,12.05240733,55.11870202,1,163,56.62,2295,4714=>1684
9.68866011,56.1539,9.12705174,55.9459115,2,237,41.89,"2178 2178","6475=>3837 6475=>3841"
9.14255855,55.47592324,9.11742998,55.5219207,1,343,5.36,15371,5952=>4339
9.14255855,55.47592324,10.64791633,55.49989519,1,88,94.98,15371,5952=>1939
8.46526917,56.51842152,9.81387091,56.77518886,1,70,87.35,2214,371=>2776
8.46526917,56.51842152,8.73479715,57.01500974,1,16,57.67,15421,371=>459
8.46526917,56.51842152,8.362999,56.86183,1,351,38.74,2137,5765=>559
9.49149073,55.49190407,9.01688742,55.5661491,1,286,31.02,2159,5665=>4313
10.52468885,55.17876846,10.48172023,55.2383892,1,338,7.18,2118,4869=>2099
10.52468885,55.17876846,9.9260533,55.32945141,1,294,41.52,2121,4869=>2008
10.52468885,55.17876846,10.37733781,55.28532052,1,322,15.11,2127,4869=>1921
10.52468885,55.17876846,10.45413182,55.20170346,1,300,5.16,2188,4869=>2069
10.52468885,55.17876846,8.46526917,56.51842152,1,320,196.97,2211,4869=>3977
10.52468885,55.17876846,10.61029428,55.28111097,1,26,12.62,15329,4869=>447
8.95267034,56.14219771,12.08563216,54.84845785,1,125,244.44,15334,446=>103
